strategy,budget_n,n_reps,selected_pos_mean,d_auroc_mean,d_auroc_ci_low,d_auroc_ci_high,d_prauc_mean,d_prauc_ci_low,d_prauc_ci_high,d_brier_mean,d_brier_ci_low,d_brier_ci_high
domain_distance,10,20,0.9,0.0011168786257710005,-0.010614898909700595,0.013182224449243479,0.005047341386295545,-0.012911523555843744,0.02241275577078243,-0.0015008995545988633,-0.002689338487907438,-0.0002695553528614616
domain_distance,20,20,0.9,-0.0018446362505744162,-0.013635735673744548,0.010270252072933372,0.01205668377262076,-0.0007837798130932025,0.024935611327915067,-0.0026309797068714046,-0.003516665025957508,-0.0016671014949081707
domain_distance,30,20,2.15,-0.002021856959363155,-0.013039053739435423,0.010331018681885644,0.0005778597170478364,-0.016923027134585433,0.018214167645384024,-0.0023938831060941615,-0.0036736202744204662,-0.001196513590640181
domain_distance,50,20,3.45,0.008638615608282612,-0.0017304564178206101,0.01899200732642952,0.0097478834019553,-0.0019533476013551573,0.02171271039632933,-0.003030860265799481,-0.0040153313302647275,-0.002048884180438704
domain_distance,75,20,4.35,-0.002208228843689797,-0.015344712020269076,0.01101951045131683,0.012202507792388314,-0.005479117160164671,0.03021965024343321,-0.003817835397497707,-0.004953876849061636,-0.002667145041894925
domain_distance,100,20,5.35,-0.004822626379537764,-0.018216968922074632,0.009935551258345424,0.009999151484911185,-0.005758914986233253,0.025833860735011652,-0.004023236639126887,-0.005127265247428642,-0.0029814216997967042
hybrid,10,20,2.05,0.006996234452019407,-0.0033351955230599114,0.017483726473166705,0.029492513871270415,0.013382025383698906,0.04648641236938217,-0.004231405768003292,-0.005313009865292001,-0.0031364103576934166
hybrid,20,20,3.3,0.014003545198338158,0.0022158492361473202,0.026561988726096733,0.04188575778169943,0.019564322352341457,0.06393503964246919,-0.005288120251073258,-0.0064530327219384405,-0.004040078764623036
hybrid,30,20,4.0,0.0131994650443914,-0.00018780033421008098,0.0269720890126297,0.05052464518751887,0.031200518745478505,0.0693309998658732,-0.005768511968400869,-0.007091441365605718,-0.0044586425441696595
hybrid,50,20,6.35,0.006845902672896015,-0.004240809518320428,0.017908058131529094,0.045930031998374345,0.025823423997061366,0.06452245180281382,-0.0061781451288759354,-0.007538473247816458,-0.004709498811441426
hybrid,75,20,7.95,0.01067686940402084,0.00015018572887110561,0.02137470270441938,0.046297722752100624,0.026711422419540092,0.06707170786737254,-0.006022861944296054,-0.007328982906860353,-0.004725379921047884
hybrid,100,20,9.05,0.009697489739234589,0.0014768567201935605,0.01862051174832145,0.051525053990046976,0.039095626873047795,0.06442879169500128,-0.006149365240800045,-0.007358912085362164,-0.004967627759136189
kennard_stone,10,20,0.7,-0.007296043273219466,-0.01675337670143645,0.0024075436229558404,0.0009023387119433742,-0.00904641488311953,0.010448245253369704,-0.0023199876988497506,-0.0032060653429319737,-0.001371574008300242
kennard_stone,20,20,1.05,-0.0048615247567920464,-0.018497513322919677,0.009305205427031312,0.005405322715855721,-0.00816293353230437,0.019744704527357517,-0.0027065016018511497,-0.0038156775458461738,-0.0015503988995112044
kennard_stone,30,20,2.0,-0.0024054064862779724,-0.013797427908027191,0.010262849089508988,0.007966571768292833,-0.0071396835875694115,0.02441816988069375,-0.003134048932203564,-0.004273342561532574,-0.0020202350081315493
kennard_stone,50,20,3.8,-0.00020392928109559395,-0.012240707185123536,0.012249054986253605,0.014836003033755518,-7.749820820935312e-05,0.029522981907517707,-0.004031647872081798,-0.005195103775317768,-0.0028814979954067226
kennard_stone,75,20,5.25,0.0036816700464066985,-0.007563104197151015,0.01495759269191979,0.024225039682717657,0.010837284531227473,0.037867628930330126,-0.004930990061271208,-0.006139148456698444,-0.00379348961059184
kennard_stone,100,20,7.15,0.0050316683996656005,-0.0065997675154441295,0.016900627898460332,0.022647860443379113,0.004728390918204316,0.04036809162658006,-0.0044649892896591525,-0.005709008901861131,-0.0032391871130302338
random,10,20,0.8,0.0015126650073789439,-0.01153606696276642,0.014406721820731001,0.0046429247227162,-0.01329597679500961,0.02413990581109796,-0.0014783541354540298,-0.0024368159774598407,-0.0004265587623616607
random,20,20,1.25,0.0040770369011155164,-0.008978064918455016,0.017436462945188577,0.005626667874087956,-0.006795236804012248,0.018207986306259225,-0.0027143310423797754,-0.0039527822944537185,-0.0015108501317761666
random,30,20,1.45,-0.004882222724086216,-0.01786945087457636,0.008493903039099847,0.021794825888960943,0.0065625724761166,0.03781213495599163,-0.0038698292432085392,-0.005021716574480718,-0.002738475198558557
random,50,20,2.3,0.00498969218488039,-0.00914333342351206,0.01883048143260203,0.0127020622606752,-0.004578410501296226,0.029451769116102845,-0.004193637840136259,-0.005445276379205585,-0.0030449845751351124
random,75,20,3.95,0.007749022541533113,-0.004670952310377821,0.01992948115500849,0.022812211146269294,0.009107987780065212,0.0380073528619232,-0.004580011610004447,-0.005876449795623295,-0.00322903477888192
random,100,20,5.3,0.013060699661084973,0.0009291117164844659,0.02653761734990734,0.018558937059712132,0.00318949730535049,0.033546187493774714,-0.004271215477870463,-0.005405646330264384,-0.003137758358656335
uncertainty,10,20,0.75,-0.0040152527433923,-0.016564045780186783,0.0075222238493591834,0.006093013203608559,-0.0072648792663768,0.020369844276766046,-0.0007151189233016737,-0.0017264223864842118,0.0002471570208712737
uncertainty,20,20,1.05,-0.002725960324517823,-0.016700823311737546,0.011595268089450916,0.0038538012248546917,-0.009963770447953157,0.0186382114779143,-0.0006973707368894699,-0.0016755613019431767,0.0003824159842686467
uncertainty,30,20,1.25,-0.0006915842119873783,-0.015193960028104431,0.015507033544900314,0.0035855267742379306,-0.014734228392465869,0.021809839711744546,-0.0015761613303572869,-0.0030116395303304753,-0.0001674124211300002
uncertainty,50,20,1.55,-0.003654836008111434,-0.013693705861457364,0.0070423132085886495,-0.0004937497697443769,-0.018425209955023288,0.01653482157328488,-0.001429849202825959,-0.0024190181944728573,-0.00040967777285518
uncertainty,75,20,1.95,-0.0013513823999448226,-0.014790601480028193,0.012454220695457907,0.005487941835819627,-0.008074728259888326,0.018929425431758247,-0.002343963149986984,-0.003528435644096258,-0.001186543783090661
uncertainty,100,20,2.55,0.01585307462246497,0.006179133771052823,0.026588441073330128,0.004551219963884531,-0.008793688498330433,0.018053747031892376,-0.0023337194661491247,-0.0035528564496741335,-0.0010576799822119662
