,,auroc,auroc,prauc,prauc,brier,brier,egim,egim
,,mean,std,mean,std,mean,std,mean,std
strateji,n,,,,,,,,
finetune,25,0.723,0.033,0.402,0.051,0.083,0.004,0.456,0.142
finetune,50,0.727,0.023,0.411,0.038,0.083,0.003,0.469,0.061
finetune,100,0.732,0.02,0.397,0.059,0.086,0.004,0.468,0.082
finetune,200,0.731,0.016,0.332,0.071,0.09,0.008,0.333,0.111
finetune,500,0.734,0.021,0.341,0.079,0.087,0.012,0.308,0.122
local,25,0.581,0.048,0.151,0.058,0.104,0.01,0.169,0.156
local,50,0.558,0.056,0.14,0.037,0.098,0.002,0.141,0.144
local,100,0.591,0.054,0.163,0.044,0.099,0.0,0.235,0.153
local,200,0.633,0.036,0.202,0.044,0.099,0.001,0.352,0.097
local,500,0.681,0.022,0.301,0.038,0.093,0.002,0.501,0.077
pooled,25,0.766,0.016,0.48,0.025,0.074,0.002,0.737,0.056
pooled,50,0.774,0.018,0.485,0.021,0.073,0.002,0.738,0.047
pooled,100,0.774,0.021,0.492,0.027,0.073,0.002,0.739,0.051
pooled,200,0.776,0.018,0.506,0.019,0.073,0.002,0.746,0.028
pooled,500,0.769,0.013,0.515,0.023,0.072,0.002,0.725,0.036
recal,25,0.762,0.018,0.454,0.018,0.079,0.009,1.052,0.662
recal,50,0.703,0.17,0.414,0.132,0.077,0.006,-19.854,63.087
recal,100,0.76,0.022,0.457,0.024,0.073,0.004,1.214,0.727
recal,200,0.76,0.022,0.457,0.024,0.072,0.002,1.128,0.328
recal,500,0.76,0.022,0.457,0.024,0.071,0.002,1.028,0.132
source,0,0.76,0.022,0.457,0.024,0.074,0.002,0.688,0.046
