,,auroc,auroc,prauc,prauc,brier,brier,egim,egim
,,mean,std,mean,std,mean,std,mean,std
strateji,n,,,,,,,,
finetune,25,0.785,0.032,0.576,0.07,0.159,0.015,0.544,0.122
finetune,50,0.795,0.029,0.596,0.051,0.156,0.02,0.54,0.056
finetune,100,0.818,0.031,0.642,0.074,0.15,0.009,0.643,0.142
local,25,0.596,0.057,0.321,0.058,0.199,0.012,0.178,0.113
local,50,0.603,0.066,0.361,0.088,0.194,0.016,0.185,0.128
local,100,0.655,0.07,0.419,0.073,0.189,0.014,0.327,0.179
pooled,25,0.84,0.048,0.661,0.094,0.131,0.013,0.906,0.302
pooled,50,0.844,0.036,0.662,0.073,0.132,0.013,0.828,0.201
pooled,100,0.854,0.039,0.686,0.059,0.125,0.009,0.874,0.227
recal,25,0.819,0.026,0.634,0.071,0.138,0.012,1.443,1.901
recal,50,0.819,0.026,0.634,0.071,0.125,0.008,1.171,0.633
recal,100,0.819,0.026,0.634,0.071,0.123,0.009,1.002,0.371
source,0,0.819,0.026,0.634,0.071,0.134,0.011,0.771,0.136
