rep,strateji,n,auroc,prauc,brier,egim
0,source,0,0.8155,0.6873,0.1207,0.8592
0,recal,25,0.8155,0.6873,0.1348,1.9737
0,finetune,25,0.8295,0.6958,0.1714,0.7464
0,local,25,0.6667,0.4045,0.2046,0.3355
0,pooled,25,0.8387,0.7132,0.1231,0.998
0,recal,50,0.8155,0.6873,0.1076,0.8943
0,finetune,50,0.7662,0.665,0.1285,0.5007
0,local,50,0.6737,0.4964,0.1632,0.3169
0,pooled,50,0.8425,0.7416,0.1135,0.9598
0,recal,100,0.8155,0.6873,0.111,1.2804
0,finetune,100,0.8561,0.7365,0.1539,0.9317
0,local,100,0.7565,0.4317,0.2016,0.6521
0,pooled,100,0.8782,0.7511,0.1115,1.0716
1,source,0,0.776,0.5556,0.1446,0.6003
1,recal,25,0.776,0.5556,0.1521,1.0031
1,finetune,25,0.7343,0.4889,0.151,0.4612
1,local,25,0.559,0.3053,0.178,0.1136
1,pooled,25,0.7689,0.5658,0.1374,0.6355
1,recal,50,0.776,0.5556,0.1334,0.8637
1,finetune,50,0.7495,0.5304,0.1562,0.5036
1,local,50,0.6001,0.326,0.1995,0.144
1,pooled,50,0.7695,0.5533,0.1456,0.5626
1,recal,100,0.776,0.5556,0.1382,0.6141
1,finetune,100,0.7976,0.5658,0.1576,0.5729
1,local,100,0.7105,0.5115,0.1635,0.4977
1,pooled,100,0.7803,0.5997,0.1373,0.5726
2,source,0,0.8582,0.8056,0.1135,1.0945
2,recal,25,0.8582,0.8056,0.1607,6.6798
2,finetune,25,0.7831,0.5729,0.1718,0.4342
2,local,25,0.5212,0.2523,0.2131,0.0276
2,pooled,25,0.9037,0.8384,0.1167,1.5314
2,recal,50,0.8582,0.8056,0.1199,2.7687
2,finetune,50,0.7961,0.6146,0.1629,0.5662
2,local,50,0.5347,0.2575,0.2087,0.0453
2,pooled,50,0.898,0.8231,0.1133,1.297
2,recal,100,0.8582,0.8056,0.1055,1.9077
2,finetune,100,0.8437,0.7752,0.1456,0.7868
2,local,100,0.56,0.3033,0.1911,0.1068
2,pooled,100,0.9053,0.8026,0.1143,1.3511
3,source,0,0.8245,0.5948,0.1348,0.6782
3,recal,25,0.8245,0.5948,0.1493,0.3141
3,finetune,25,0.8033,0.6523,0.1494,0.5668
3,local,25,0.5947,0.368,0.1996,0.1885
3,pooled,25,0.8194,0.5765,0.1441,0.6319
3,recal,50,0.8245,0.5948,0.1284,0.7221
3,finetune,50,0.8173,0.6349,0.1432,0.5224
3,local,50,0.6827,0.497,0.1703,0.2727
3,pooled,50,0.8742,0.6464,0.1336,0.7068
3,recal,100,0.8245,0.5948,0.1299,0.7327
3,finetune,100,0.8163,0.6672,0.1325,0.5149
3,local,100,0.5787,0.3972,0.1883,0.1207
3,pooled,100,0.8732,0.6594,0.1234,0.7628
4,source,0,0.8385,0.5795,0.1479,0.8282
4,recal,25,0.8385,0.5795,0.1394,0.5861
4,finetune,25,0.7904,0.499,0.1831,0.5486
4,local,25,0.501,0.2255,0.2155,-0.0303
4,pooled,25,0.9084,0.7103,0.1395,1.2593
4,recal,50,0.8385,0.5795,0.1339,0.8404
4,finetune,50,0.8504,0.5786,0.1903,0.6749
4,local,50,0.5466,0.31,0.2121,0.0574
4,pooled,50,0.8551,0.6213,0.1456,0.8304
4,recal,100,0.8385,0.5795,0.129,1.1128
4,finetune,100,0.8608,0.6347,0.1573,0.7062
4,local,100,0.5507,0.2938,0.2035,0.1269
4,pooled,100,0.8944,0.7102,0.1285,1.0644
5,source,0,0.7899,0.5907,0.1388,0.6693
5,recal,25,0.7899,0.5907,0.1284,0.7296
5,finetune,25,0.7562,0.5467,0.157,0.4668
5,local,25,0.6755,0.3949,0.2003,0.296
5,pooled,25,0.8261,0.6831,0.1287,0.9107
5,recal,50,0.7899,0.5907,0.1271,0.8843
5,finetune,50,0.7712,0.565,0.1624,0.4998
5,local,50,0.6439,0.3609,0.2014,0.2143
5,pooled,50,0.8504,0.6752,0.1276,0.896
5,recal,100,0.7899,0.5907,0.1273,0.7777
5,finetune,100,0.7681,0.553,0.1548,0.4488
5,local,100,0.6651,0.4432,0.1947,0.3335
5,pooled,100,0.8292,0.6864,0.1247,0.7718
6,source,0,0.8003,0.6141,0.1384,0.7241
6,recal,25,0.8003,0.6141,0.1274,0.6809
6,finetune,25,0.7608,0.5002,0.1638,0.4379
6,local,25,0.619,0.2938,0.1978,0.1889
6,pooled,25,0.8279,0.5838,0.1411,0.7352
6,recal,50,0.8003,0.6141,0.1252,1.001
6,finetune,50,0.8068,0.5067,0.1663,0.4915
6,local,50,0.6239,0.3402,0.2003,0.2508
6,pooled,50,0.8279,0.6239,0.1393,0.7056
6,recal,100,0.8003,0.6141,0.1243,0.9177
6,finetune,100,0.7911,0.5779,0.1485,0.5454
6,local,100,0.7154,0.434,0.1899,0.287
6,pooled,100,0.836,0.6557,0.1214,0.7531
7,source,0,0.8339,0.633,0.1271,0.7377
7,recal,25,0.8339,0.633,0.1319,0.6663
7,finetune,25,0.7976,0.6043,0.1332,0.5065
7,local,25,0.6353,0.3455,0.1866,0.2034
7,pooled,25,0.8934,0.7599,0.1036,1.0021
7,recal,50,0.8339,0.633,0.1211,1.2172
7,finetune,50,0.789,0.6503,0.1208,0.548
7,local,50,0.4892,0.2667,0.1935,-0.0058
7,pooled,50,0.8701,0.6481,0.1167,0.8453
7,recal,100,0.8339,0.633,0.1253,0.823
7,finetune,100,0.7987,0.6107,0.1381,0.6011
7,local,100,0.6596,0.455,0.1662,0.3234
7,pooled,100,0.8766,0.7006,0.1186,0.8911
8,source,0,0.8442,0.6413,0.1412,0.7575
8,recal,25,0.8442,0.6413,0.1361,0.4834
8,finetune,25,0.7614,0.5788,0.1418,0.5
8,local,25,0.587,0.3088,0.1876,0.225
8,pooled,25,0.8292,0.5879,0.1428,0.7109
8,recal,50,0.8442,0.6413,0.1303,1.7291
8,finetune,50,0.8157,0.6092,0.156,0.5173
8,local,50,0.5688,0.313,0.1998,0.1609
8,pooled,50,0.8339,0.6524,0.1408,0.7821
8,recal,100,0.8442,0.6413,0.123,0.9606
8,finetune,100,0.8452,0.6835,0.1502,0.7026
8,local,100,0.6972,0.5027,0.194,0.4715
8,pooled,100,0.852,0.6627,0.1356,0.787
9,source,0,0.8057,0.642,0.1333,0.7586
9,recal,25,0.8057,0.642,0.1224,1.3177
9,finetune,25,0.8306,0.6255,0.1644,0.7756
9,local,25,0.6039,0.3111,0.2047,0.2303
9,pooled,25,0.7819,0.5924,0.1364,0.6409
9,recal,50,0.8057,0.642,0.1216,0.7933
9,finetune,50,0.7884,0.6013,0.1693,0.5734
9,local,50,0.6672,0.4401,0.1906,0.3909
9,pooled,50,0.8139,0.6364,0.1398,0.6908
9,recal,100,0.8057,0.642,0.1198,0.8895
9,finetune,100,0.8041,0.6123,0.1629,0.6166
9,local,100,0.6585,0.4142,0.1968,0.3467
9,pooled,100,0.8176,0.6316,0.1349,0.714
