,,auroc,auroc,prauc,prauc,brier,brier,egim,egim
,,mean,std,mean,std,mean,std,mean,std
strateji,n,,,,,,,,
finetune,25,0.66,0.034,0.333,0.046,0.146,0.009,0.276,0.051
finetune,50,0.667,0.029,0.326,0.036,0.147,0.007,0.27,0.046
finetune,100,0.684,0.023,0.359,0.041,0.146,0.012,0.298,0.087
finetune,200,0.666,0.036,0.315,0.042,0.148,0.009,0.24,0.067
finetune,400,0.689,0.034,0.345,0.046,0.142,0.011,0.25,0.079
local,25,0.571,0.065,0.236,0.056,0.159,0.013,0.125,0.116
local,50,0.575,0.04,0.23,0.044,0.159,0.008,0.153,0.1
local,100,0.638,0.028,0.283,0.046,0.157,0.005,0.267,0.05
local,200,0.665,0.025,0.318,0.046,0.156,0.003,0.331,0.087
local,400,0.691,0.021,0.369,0.039,0.142,0.013,0.507,0.184
pooled,25,0.668,0.033,0.351,0.029,0.133,0.005,0.391,0.068
pooled,50,0.667,0.038,0.344,0.044,0.134,0.006,0.381,0.073
pooled,100,0.669,0.034,0.357,0.044,0.133,0.006,0.399,0.075
pooled,200,0.681,0.032,0.373,0.039,0.131,0.005,0.43,0.071
pooled,400,0.697,0.032,0.386,0.036,0.13,0.005,0.477,0.066
recal,25,0.635,0.111,0.341,0.084,0.145,0.02,1.094,1.073
recal,50,0.669,0.031,0.363,0.033,0.128,0.005,1.151,0.745
recal,100,0.669,0.031,0.363,0.033,0.128,0.005,1.104,0.483
recal,200,0.669,0.031,0.363,0.033,0.127,0.004,1.226,0.856
recal,400,0.669,0.031,0.363,0.033,0.126,0.003,1.029,0.308
source,0,0.669,0.031,0.363,0.033,0.132,0.005,0.4,0.062
