rep,strateji,n,auroc,prauc,brier,egim
0,source,0,0.6844,0.3814,0.1296,0.4397
0,recal,25,0.6844,0.3814,0.1587,2.9202
0,finetune,25,0.6306,0.311,0.1638,0.25
0,local,25,0.4979,0.1975,0.189,0.0169
0,pooled,25,0.6823,0.3548,0.1315,0.4194
0,recal,50,0.6844,0.3814,0.1254,1.257
0,finetune,50,0.6444,0.3406,0.1499,0.3115
0,local,50,0.5371,0.2099,0.1624,0.1096
0,pooled,50,0.6611,0.3469,0.1331,0.3879
0,recal,100,0.6844,0.3814,0.1294,1.7547
0,finetune,100,0.6772,0.3344,0.1519,0.3112
0,local,100,0.5937,0.2391,0.1611,0.1424
0,pooled,100,0.6773,0.3659,0.1344,0.4206
0,recal,200,0.6844,0.3814,0.1237,1.0383
0,finetune,200,0.6487,0.2736,0.1552,0.2265
0,local,200,0.6131,0.2652,0.1552,0.2711
0,pooled,200,0.6899,0.405,0.1282,0.4685
0,recal,400,0.6844,0.3814,0.1239,1.0977
0,finetune,400,0.7017,0.3869,0.134,0.3071
0,local,400,0.7203,0.376,0.1543,0.3929
0,pooled,400,0.7091,0.3834,0.1307,0.5065
1,source,0,0.664,0.3458,0.1345,0.3918
1,recal,25,0.664,0.3458,0.1723,2.1659
1,finetune,25,0.6627,0.3506,0.1448,0.3047
1,local,25,0.6606,0.3043,0.1563,0.2528
1,pooled,25,0.6893,0.3412,0.1334,0.4274
1,recal,50,0.664,0.3458,0.1269,1.055
1,finetune,50,0.6515,0.2699,0.1509,0.2328
1,local,50,0.5534,0.2151,0.1581,0.0904
1,pooled,50,0.6447,0.3125,0.1375,0.3352
1,recal,100,0.664,0.3458,0.1281,0.9901
1,finetune,100,0.6719,0.353,0.137,0.3024
1,local,100,0.636,0.2623,0.1483,0.3004
1,pooled,100,0.6591,0.3145,0.1375,0.3749
1,recal,200,0.664,0.3458,0.127,0.9733
1,finetune,200,0.6809,0.3021,0.15,0.2548
1,local,200,0.6438,0.3326,0.1543,0.2677
1,pooled,200,0.6807,0.3693,0.1332,0.4572
1,recal,400,0.664,0.3458,0.1268,1.051
1,finetune,400,0.7054,0.359,0.1394,0.2918
1,local,400,0.7008,0.3895,0.1278,0.7618
1,pooled,400,0.6787,0.3497,0.1349,0.4738
2,source,0,0.6199,0.346,0.135,0.3083
2,recal,25,0.6199,0.346,0.1312,1.1613
2,finetune,25,0.5883,0.2789,0.1487,0.1785
2,local,25,0.5726,0.207,0.1608,0.1041
2,pooled,25,0.6223,0.317,0.138,0.2979
2,recal,50,0.6199,0.346,0.1371,0.7353
2,finetune,50,0.6489,0.335,0.1582,0.3035
2,local,50,0.5751,0.2293,0.1637,0.2463
2,pooled,50,0.6366,0.3105,0.1391,0.316
2,recal,100,0.6199,0.346,0.1292,0.5673
2,finetune,100,0.6502,0.3073,0.162,0.1741
2,local,100,0.658,0.341,0.1576,0.2449
2,pooled,100,0.6301,0.3061,0.1397,0.3015
2,recal,200,0.6199,0.346,0.132,0.6135
2,finetune,200,0.6389,0.3395,0.1448,0.2376
2,local,200,0.6828,0.3046,0.1582,0.2736
2,pooled,200,0.6357,0.3228,0.1373,0.3177
2,recal,400,0.6199,0.346,0.1293,0.6538
2,finetune,400,0.6288,0.3243,0.1461,0.2099
2,local,400,0.6889,0.4003,0.1259,0.7818
2,pooled,400,0.6354,0.361,0.1319,0.3727
3,source,0,0.6871,0.4025,0.1264,0.4551
3,recal,25,0.6871,0.4025,0.1285,0.4291
3,finetune,25,0.6627,0.3581,0.1434,0.3102
3,local,25,0.5234,0.1713,0.162,0.0167
3,pooled,25,0.6866,0.3916,0.1283,0.4429
3,recal,50,0.6871,0.4025,0.1293,2.9728
3,finetune,50,0.7229,0.3512,0.1459,0.2649
3,local,50,0.5908,0.231,0.1587,0.1312
3,pooled,50,0.7159,0.4105,0.1257,0.4863
3,recal,100,0.6871,0.4025,0.124,1.552
3,finetune,100,0.7278,0.4405,0.1308,0.4012
3,local,100,0.6903,0.3221,0.1595,0.3276
3,pooled,100,0.7173,0.4272,0.1243,0.5066
3,recal,200,0.6871,0.4025,0.1229,1.3053
3,finetune,200,0.7155,0.396,0.1338,0.3239
3,local,200,0.6838,0.3302,0.1553,0.3108
3,pooled,200,0.7051,0.4202,0.1261,0.4898
3,recal,400,0.6871,0.4025,0.1236,1.4474
3,finetune,400,0.7383,0.4232,0.1283,0.3608
3,local,400,0.7017,0.3741,0.1278,0.688
3,pooled,400,0.7234,0.4434,0.1231,0.5825
4,source,0,0.6691,0.3459,0.1337,0.393
4,recal,25,0.6691,0.3459,0.1321,0.5495
4,finetune,25,0.6947,0.3527,0.1448,0.284
4,local,25,0.6319,0.2659,0.1539,0.1505
4,pooled,25,0.6541,0.3271,0.1359,0.3406
4,recal,50,0.6691,0.3459,0.1305,0.6119
4,finetune,50,0.6833,0.3515,0.1387,0.306
4,local,50,0.6549,0.327,0.1489,0.3169
4,pooled,50,0.6756,0.3745,0.1309,0.4118
4,recal,100,0.6691,0.3459,0.1281,0.7456
4,finetune,100,0.6865,0.3695,0.146,0.3385
4,local,100,0.6422,0.3436,0.1618,0.2892
4,pooled,100,0.6691,0.3541,0.1357,0.3725
4,recal,200,0.6691,0.3459,0.1334,3.3832
4,finetune,200,0.6233,0.2783,0.1545,0.1685
4,local,200,0.6641,0.2784,0.1621,0.2466
4,pooled,200,0.6719,0.3743,0.1302,0.4246
4,recal,400,0.6691,0.3459,0.1267,1.009
4,finetune,400,0.6826,0.3008,0.1461,0.2233
4,local,400,0.6645,0.3305,0.1432,0.3629
4,pooled,400,0.6996,0.3844,0.1288,0.4675
5,source,0,0.6691,0.3386,0.1362,0.3806
5,recal,25,0.3309,0.1176,0.16,-0.7455
5,finetune,25,0.6339,0.231,0.1598,0.1989
5,local,25,0.5103,0.1837,0.1641,0.0345
5,pooled,25,0.6592,0.3293,0.137,0.3656
5,recal,50,0.6691,0.3386,0.1271,0.9572
5,finetune,50,0.6426,0.2833,0.149,0.2305
5,local,50,0.5884,0.2404,0.1466,0.2748
5,pooled,50,0.6584,0.3219,0.1382,0.3564
5,recal,100,0.6691,0.3386,0.1321,1.3166
