,,auroc,auroc,prauc,prauc,brier,brier,egim,egim
,,mean,std,mean,std,mean,std,mean,std
strateji,n,,,,,,,,
finetune,25,0.79,0.031,0.641,0.041,0.135,0.012,0.558,0.059
finetune,50,0.792,0.033,0.651,0.041,0.128,0.008,0.579,0.091
finetune,100,0.792,0.026,0.655,0.036,0.132,0.006,0.593,0.072
finetune,200,0.798,0.033,0.662,0.038,0.127,0.008,0.605,0.068
finetune,400,0.805,0.032,0.674,0.047,0.12,0.009,0.657,0.099
local,25,0.536,0.055,0.258,0.043,0.206,0.007,0.061,0.109
local,50,0.58,0.051,0.291,0.044,0.199,0.01,0.176,0.125
local,100,0.616,0.041,0.355,0.06,0.194,0.015,0.273,0.126
local,200,0.708,0.027,0.474,0.024,0.176,0.018,0.459,0.077
local,400,0.738,0.034,0.56,0.038,0.163,0.013,0.523,0.128
pooled,25,0.803,0.026,0.666,0.037,0.117,0.007,0.717,0.07
pooled,50,0.812,0.028,0.672,0.04,0.116,0.009,0.729,0.081
pooled,100,0.808,0.021,0.677,0.035,0.115,0.008,0.732,0.063
pooled,200,0.81,0.025,0.679,0.037,0.114,0.008,0.74,0.08
pooled,400,0.814,0.031,0.682,0.043,0.113,0.009,0.764,0.092
recal,25,0.746,0.196,0.623,0.177,0.123,0.023,-0.176,3.684
recal,50,0.807,0.026,0.678,0.038,0.115,0.008,0.998,0.228
recal,100,0.807,0.026,0.678,0.038,0.115,0.01,0.898,0.262
recal,200,0.807,0.026,0.678,0.038,0.114,0.007,0.977,0.244
recal,400,0.807,0.026,0.678,0.038,0.113,0.007,0.977,0.242
source,0,0.807,0.026,0.678,0.038,0.115,0.008,0.742,0.082
