rep,strateji,n,auroc,prauc,brier,egim
0,source,0,0.8275,0.7021,0.1091,0.7926
0,recal,25,0.8275,0.7021,0.1089,0.8497
0,finetune,25,0.8274,0.6782,0.1223,0.6632
0,local,25,0.5751,0.305,0.1938,0.1463
0,pooled,25,0.8304,0.6956,0.1117,0.7713
0,recal,50,0.8275,0.7021,0.1084,1.0476
0,finetune,50,0.8086,0.6687,0.1291,0.5825
0,local,50,0.6211,0.3533,0.1977,0.2345
0,pooled,50,0.835,0.6956,0.1122,0.7578
0,recal,100,0.8275,0.7021,0.1107,1.221
0,finetune,100,0.8013,0.6516,0.1404,0.6065
0,local,100,0.6149,0.3413,0.2113,0.3069
0,pooled,100,0.8175,0.7013,0.1096,0.7727
0,recal,200,0.8275,0.7021,0.1088,1.0706
0,finetune,200,0.8212,0.6867,0.1294,0.6279
0,local,200,0.7046,0.4452,0.2054,0.3307
0,pooled,200,0.8366,0.7057,0.1098,0.8248
0,recal,400,0.8275,0.7021,0.1084,1.1287
0,finetune,400,0.8281,0.7035,0.1165,0.7266
0,local,400,0.7174,0.5661,0.1631,0.4262
0,pooled,400,0.8302,0.7016,0.1109,0.8132
1,source,0,0.7792,0.6311,0.1256,0.6662
1,recal,25,0.7792,0.6311,0.1259,0.8263
1,finetune,25,0.7479,0.6054,0.1495,0.5121
1,local,25,0.5164,0.2714,0.2103,0.0622
1,pooled,25,0.7761,0.6262,0.1255,0.6505
1,recal,50,0.7792,0.6311,0.1215,1.0896
1,finetune,50,0.7521,0.5951,0.1384,0.466
1,local,50,0.4751,0.2083,0.2104,-0.049
1,pooled,50,0.774,0.621,0.1284,0.6328
1,recal,100,0.7792,0.6311,0.1251,0.7592
1,finetune,100,0.7559,0.6143,0.1347,0.5328
1,local,100,0.6522,0.3921,0.1708,0.3663
1,pooled,100,0.7886,0.6336,0.1249,0.6783
1,recal,200,0.7792,0.6311,0.125,0.7395
1,finetune,200,0.7488,0.6058,0.1332,0.4911
1,local,200,0.6769,0.4923,0.1521,0.5467
1,pooled,200,0.7875,0.6417,0.1239,0.6621
1,recal,400,0.7792,0.6311,0.1233,0.7925
1,finetune,400,0.7652,0.6079,0.1331,0.5212
1,local,400,0.7052,0.5162,0.1655,0.3294
1,pooled,400,0.7567,0.6061,0.13,0.5972
2,source,0,0.8067,0.6803,0.1126,0.7533
2,recal,25,0.1933,0.1305,0.1856,-10.6037
2,finetune,25,0.7694,0.6122,0.1327,0.4776
2,local,25,0.4513,0.1963,0.2049,-0.136
2,pooled,25,0.7979,0.6806,0.1131,0.7395
2,recal,50,0.8067,0.6803,0.1113,1.2097
2,finetune,50,0.8256,0.7018,0.1199,0.6663
2,local,50,0.6366,0.3153,0.2077,0.3112
2,pooled,50,0.837,0.7089,0.1069,0.8213
2,recal,100,0.8067,0.6803,0.1118,0.7758
2,finetune,100,0.8027,0.6764,0.1327,0.6709
2,local,100,0.6213,0.3083,0.2102,0.2808
2,pooled,100,0.822,0.7134,0.1054,0.798
2,recal,200,0.8067,0.6803,0.1115,1.0839
2,finetune,200,0.8306,0.6879,0.119,0.645
2,local,200,0.744,0.4554,0.1721,0.4248
2,pooled,200,0.8153,0.6871,0.1112,0.7661
2,recal,400,0.8067,0.6803,0.1107,0.9638
2,finetune,400,0.8315,0.7037,0.1147,0.7579
2,local,400,0.7916,0.5866,0.1645,0.5473
2,pooled,400,0.8389,0.719,0.1048,0.8562
3,source,0,0.7936,0.6669,0.1165,0.7182
3,recal,25,0.7936,0.6669,0.1163,0.7021
3,finetune,25,0.8015,0.661,0.1271,0.569
3,local,25,0.6023,0.2887,0.2042,0.152
3,pooled,25,0.8019,0.6756,0.1135,0.7204
3,recal,50,0.7936,0.6669,0.1245,0.7873
3,finetune,50,0.7562,0.626,0.1293,0.5205
3,local,50,0.5575,0.3235,0.2012,0.1226
3,pooled,50,0.8143,0.6769,0.1131,0.7642
3,recal,100,0.7936,0.6669,0.1151,0.8846
3,finetune,100,0.7884,0.6574,0.129,0.6202
3,local,100,0.6358,0.3732,0.1884,0.3468
3,pooled,100,0.8191,0.6864,0.1142,0.7594
3,recal,200,0.7936,0.6669,0.1137,1.0291
3,finetune,200,0.7695,0.6604,0.1259,0.5641
3,local,200,0.7381,0.4669,0.2008,0.3871
3,pooled,200,0.7939,0.6644,0.1165,0.7232
3,recal,400,0.7936,0.6669,0.1141,0.8755
3,finetune,400,0.7898,0.6667,0.1221,0.6471
3,local,400,0.7706,0.6145,0.1671,0.5862
3,pooled,400,0.8185,0.689,0.1111,0.8024
4,source,0,0.7713,0.617,0.1271,0.6596
4,recal,25,0.7713,0.617,0.1299,1.6488
4,finetune,25,0.7617,0.5769,0.1515,0.5037
4,local,25,0.5168,0.2656,0.2009,0.0402
4,pooled,25,0.7727,0.5977,0.1304,0.6345
4,recal,50,0.7713,0.617,0.1277,0.6302
4,finetune,50,0.757,0.5884,0.1367,0.5083
4,local,50,0.5683,0.2762,0.2009,0.124
4,pooled,50,0.7701,0.5907,0.135,0.5989
4,recal,100,0.7713,0.617,0.1274,0.6497
4,finetune,100,0.7489,0.5932,0.1439,0.512
4,local,100,0.6055,0.3933,0.1912,0.2596
4,pooled,100,0.7748,0.6111,0.1294,0.6395
4,recal,200,0.7713,0.617,0.1262,0.7266
4,finetune,200,0.7526,0.6104,0.1415,0.5303
4,local,200,0.6718,0.4798,0.1601,0.4909
4,pooled,200,0.7662,0.6063,0.13,0.6155
4,recal,400,0.7713,0.617,0.1251,0.7742
4,finetune,400,0.7477,0.5942,0.1363,0.5017
4,local,400,0.6908,0.5173,0.1437,0.6838
4,pooled,400,0.777,0.6148,0.1281,0.6588
5,source,0,0.8204,0.7074,0.1091,0.7573
5,recal,25,0.8204,0.7074,0.1181,0.4567
5,finetune,25,0.8217,0.6857,0.1335,0.5886
5,local,25,0.5796,0.2669,0.2148,0.1924
5,pooled,25,0.8076,0.6793,0.1141,0.7277
5,recal,50,0.8204,0.7074,0.1093,1.0374
5,finetune,50,0.8061,0.6754,0.1278,0.6243
5,local,50,0.5311,0.2463,0.1982,0.1135
5,pooled,50,0.8161,0.6885,0.113,0.7186
5,recal,100,0.8204,0.7074,0.1072,0.9554
5,finetune,100,0.8144,0.6905,0.1234,0.6289
5,local,100,0.6792,0.4289,0.1791,0.4806
5,pooled,100,0.8166,0.6996,0.1096,0.7502
5,recal,200,0.8204,0.7074,0.1075,0.9738
5,finetune,200,0.8324,0.7116,0.1214,0.6928
5,local,200,0.7208,0.4771,0.1854,0.4232
5,pooled,200,0.8258,0.7122,0.1064,0.7687
