,,auroc,auroc,prauc,prauc,brier,brier,egim,egim
,,mean,std,mean,std,mean,std,mean,std
strateji,n,,,,,,,,
finetune,25,0.708,0.014,0.479,0.018,0.148,0.01,0.431,0.034
finetune,50,0.699,0.024,0.467,0.034,0.149,0.009,0.418,0.067
finetune,100,0.706,0.012,0.488,0.015,0.148,0.007,0.446,0.039
finetune,200,0.71,0.013,0.478,0.049,0.146,0.011,0.428,0.081
finetune,500,0.716,0.02,0.471,0.038,0.137,0.006,0.448,0.059
local,25,0.566,0.028,0.244,0.025,0.185,0.006,0.137,0.052
local,50,0.543,0.043,0.229,0.036,0.182,0.006,0.09,0.085
local,100,0.556,0.027,0.232,0.027,0.182,0.006,0.117,0.053
local,200,0.61,0.03,0.307,0.043,0.173,0.012,0.282,0.106
local,500,0.649,0.019,0.395,0.041,0.165,0.014,0.432,0.15
pooled,25,0.726,0.019,0.526,0.034,0.128,0.005,0.608,0.057
pooled,50,0.736,0.02,0.54,0.031,0.127,0.005,0.639,0.073
pooled,100,0.739,0.016,0.548,0.03,0.126,0.005,0.672,0.066
pooled,200,0.736,0.016,0.546,0.024,0.126,0.004,0.659,0.061
pooled,500,0.739,0.02,0.552,0.023,0.125,0.004,0.71,0.078
recal,25,0.721,0.014,0.492,0.064,0.152,0.044,0.817,0.561
recal,50,0.725,0.014,0.513,0.026,0.132,0.006,0.957,0.38
recal,100,0.725,0.014,0.513,0.026,0.132,0.009,10.198,28.678
recal,200,0.725,0.014,0.513,0.026,0.129,0.005,1.01,0.275
recal,500,0.725,0.014,0.513,0.026,0.128,0.003,1.087,0.207
source,0,0.725,0.014,0.513,0.026,0.13,0.004,0.602,0.044
