rep,strateji,n,auroc,prauc,brier,egim
0,source,0,0.7461,0.5501,0.1237,0.6695
0,recal,50,0.7461,0.5501,0.1264,1.6802
0,finetune,50,0.7211,0.4939,0.1467,0.4487
0,local,50,0.5562,0.2364,0.1855,0.1111
0,pooled,50,0.7499,0.5718,0.1207,0.7156
0,recal,100,0.7461,0.5501,0.1239,1.1462
0,finetune,100,0.7249,0.5088,0.1389,0.5042
0,local,100,0.5232,0.2137,0.1763,0.081
0,pooled,100,0.7579,0.584,0.1183,0.7335
0,recal,200,0.7461,0.5501,0.1223,1.1815
0,finetune,200,0.7065,0.3608,0.1711,0.2243
0,local,200,0.6226,0.3293,0.1556,0.3949
0,pooled,200,0.757,0.5677,0.1219,0.686
0,recal,500,0.7461,0.5501,0.1235,1.225
0,finetune,500,0.7307,0.4907,0.1335,0.4891
0,local,500,0.6741,0.4318,0.138,0.8067
0,pooled,500,0.7547,0.5665,0.1205,0.745
1,source,0,0.7271,0.5086,0.1312,0.5912
1,recal,25,0.7271,0.5086,0.1305,0.732
1,finetune,25,0.7172,0.4794,0.1466,0.4267
1,local,25,0.5693,0.2343,0.1851,0.1195
1,pooled,25,0.749,0.553,0.1244,0.6631
1,recal,50,0.7271,0.5086,0.1464,0.4597
1,finetune,50,0.7015,0.4336,0.1546,0.4329
1,local,50,0.4939,0.1897,0.191,-0.0135
1,pooled,50,0.7423,0.5287,0.1286,0.6078
1,recal,100,0.7271,0.5086,0.1555,91.8118
1,finetune,100,0.6957,0.4672,0.1567,0.445
1,local,100,0.5254,0.2036,0.1878,0.0483
1,pooled,100,0.741,0.5364,0.1279,0.6647
1,recal,200,0.7271,0.5086,0.1288,1.2579
1,finetune,200,0.7163,0.4431,0.1498,0.3893
1,local,200,0.6135,0.2977,0.1807,0.2932
1,pooled,200,0.755,0.559,0.1245,0.7095
1,recal,500,0.7271,0.5086,0.1283,1.1961
1,finetune,500,0.7292,0.4742,0.1356,0.4613
1,local,500,0.6485,0.3381,0.159,0.4653
1,pooled,500,0.7641,0.5585,0.1261,0.7622
2,source,0,0.733,0.5379,0.1258,0.6104
2,recal,25,0.733,0.5379,0.1353,0.3513
2,finetune,25,0.7124,0.4991,0.1509,0.4566
2,local,25,0.6051,0.2766,0.1874,0.2254
2,pooled,25,0.7301,0.5467,0.125,0.5981
2,recal,50,0.733,0.5379,0.134,1.4134
2,finetune,50,0.7146,0.4915,0.1353,0.4785
2,local,50,0.4952,0.2009,0.1838,-0.0044
2,pooled,50,0.7484,0.5734,0.1196,0.7146
2,recal,100,0.733,0.5379,0.1239,0.7954
2,finetune,100,0.7225,0.4878,0.1517,0.4742
2,local,100,0.5545,0.2135,0.185,0.1138
2,pooled,100,0.7369,0.5526,0.1246,0.6676
2,recal,200,0.733,0.5379,0.1239,0.8458
2,finetune,200,0.7147,0.519,0.1442,0.4376
2,local,200,0.5766,0.2407,0.1752,0.1688
2,pooled,200,0.7435,0.5721,0.1236,0.6444
2,recal,500,0.733,0.5379,0.1248,1.0304
2,finetune,500,0.7202,0.5058,0.1316,0.4593
2,local,500,0.6592,0.412,0.1735,0.37
2,pooled,500,0.7433,0.5654,0.1222,0.6878
3,source,0,0.7245,0.5199,0.1291,0.6071
3,recal,25,0.7245,0.5199,0.1264,0.8607
3,finetune,25,0.708,0.495,0.1373,0.4212
3,local,25,0.5751,0.2533,0.1758,0.1672
3,pooled,25,0.7246,0.5202,0.1286,0.6124
3,recal,50,0.7245,0.5199,0.1289,0.8016
3,finetune,50,0.7068,0.4774,0.1449,0.404
3,local,50,0.5812,0.2325,0.1821,0.1428
3,pooled,50,0.7318,0.5351,0.1278,0.6139
3,recal,100,0.7245,0.5199,0.127,1.1149
3,finetune,100,0.7135,0.4936,0.1536,0.4881
3,local,100,0.5566,0.2286,0.1837,0.1212
3,pooled,100,0.7429,0.5408,0.1269,0.6535
3,recal,200,0.7245,0.5199,0.1265,0.8254
3,finetune,200,0.7235,0.4824,0.1469,0.4149
3,local,200,0.6429,0.3753,0.1785,0.2611
3,pooled,200,0.7369,0.5463,0.1269,0.6744
3,recal,500,0.7245,0.5199,0.1278,1.2428
3,finetune,500,0.7067,0.4424,0.1418,0.41
3,local,500,0.667,0.4505,0.1838,0.4191
3,pooled,500,0.7451,0.5668,0.1237,0.7657
4,source,0,0.7288,0.4958,0.1328,0.6305
4,recal,25,0.7288,0.4958,0.1303,1.132
4,finetune,25,0.696,0.4819,0.1389,0.3927
4,local,25,0.6052,0.2879,0.173,0.1752
4,pooled,25,0.7298,0.5125,0.1303,0.621
4,recal,50,0.7288,0.4958,0.1302,1.1741
4,finetune,50,0.715,0.4597,0.1596,0.4948
4,local,50,0.4921,0.195,0.1792,-0.0153
4,pooled,50,0.7435,0.5398,0.1279,0.7063
4,recal,100,0.7288,0.4958,0.13,1.3442
4,finetune,100,0.6977,0.4857,0.1549,0.484
4,local,100,0.5617,0.2284,0.1819,0.1438
4,pooled,100,0.7378,0.5337,0.129,0.6917
4,recal,200,0.7288,0.4958,0.1286,0.9295
4,finetune,200,0.7245,0.5208,0.144,0.5182
4,local,200,0.6417,0.3288,0.1593,0.4738
4,pooled,200,0.7254,0.5397,0.129,0.6743
4,recal,500,0.7288,0.4958,0.1289,1.161
4,finetune,500,0.7079,0.454,0.1406,0.4545
4,local,500,0.6081,0.3879,0.1681,0.2887
4,pooled,500,0.7084,0.5189,0.1299,0.6719
5,source,0,0.7214,0.4838,0.1344,0.5728
5,recal,25,0.701,0.3329,0.2581,0.05
5,finetune,25,0.7125,0.4701,0.1549,0.483
5,local,25,0.5705,0.2372,0.1857,0.156
5,pooled,25,0.7185,0.5012,0.131,0.589
5,recal,50,0.7214,0.4838,0.1321,0.6679
5,finetune,50,0.7046,0.4616,0.1507,0.4545
5,local,50,0.5371,0.2282,0.1851,0.1116
5,pooled,50,0.7484,0.5281,0.1297,0.6635
5,recal,100,0.7214,0.4838,0.1312,0.7679
5,finetune,100,0.6951,0.4806,0.1527,0.4173
5,local,100,0.5462,0.216,0.1845,0.0802
5,pooled,100,0.7371,0.5241,0.1299,0.6143
5,recal,200,0.7214,0.4838,0.1316,0.8342
5,finetune,200,0.6934,0.4623,0.1563,0.4555
5,local,200,0.6182,0.2985,0.1868,0.2788
5,pooled,200,0.7227,0.5031,0.1356,0.6205
5,recal,500,0.7214,0.4838,0.1302,0.8782
5,finetune,500,0.7222,0.442,0.1409,0.4586
5,local,500,0.6445,0.4162,0.1782,0.3416
5,pooled,500,0.7409,0.5431,0.1287,0.7245
6,source,0,0.7359,0.5361,0.1268,0.6408
6,recal,25,0.7359,0.5361,0.139,1.6102
6,finetune,25,0.7323,0.5054,0.1327,0.4808
6,local,25,0.5521,0.2276,0.1901,0.0892
6,pooled,25,0.7548,0.5789,0.1189,0.6875
6,recal,50,0.7359,0.5361,0.127,0.6004
6,finetune,50,0.7207,0.4998,0.1588,0.4782
6,local,50,0.5952,0.275,0.1906,0.2415
6,pooled,50,0.7498,0.5677,0.1245,0.6878
6,recal,100,0.7359,0.5361,0.1315,1.865
6,finetune,100,0.7067,0.5036,0.1385,0.4154
6,local,100,0.5607,0.2313,0.1826,0.1053
6,pooled,100,0.7547,0.6041,0.1158,0.8117
6,recal,200,0.7359,0.5361,0.1263,1.3046
6,finetune,200,0.6922,0.4953,0.1388,0.4792
6,local,200,0.5907,0.2926,0.1749,0.2353
6,pooled,200,0.7429,0.5692,0.1214,0.7667
6,recal,500,0.7359,0.5361,0.1269,1.3877
6,finetune,500,0.7386,0.5432,0.1256,0.5457
6,local,500,0.6632,0.3358,0.1764,0.3659
6,pooled,500,0.7491,0.5754,0.1204,0.7823
7,source,0,0.7308,0.535,0.1261,0.6244
7,recal,25,0.7308,0.535,0.1279,0.9965
7,finetune,25,0.7119,0.4706,0.1622,0.4198
7,local,25,0.5231,0.2173,0.1915,0.0625
7,pooled,25,0.7279,0.5507,0.1241,0.6449
7,recal,50,0.7308,0.535,0.1255,0.772
7,finetune,50,0.6898,0.4989,0.1371,0.3571
7,local,50,0.6021,0.2922,0.1713,0.1666
7,pooled,50,0.7436,0.5678,0.1229,0.6393
7,recal,100,0.7308,0.535,0.1239,0.876
7,finetune,100,0.7094,0.4982,0.1511,0.425
7,local,100,0.6109,0.2967,0.1786,0.2192
7,pooled,100,0.7527,0.5712,0.1239,0.6909
7,recal,200,0.7308,0.535,0.1276,1.4881
7,finetune,200,0.7272,0.5147,0.1372,0.4727
7,local,200,0.552,0.2512,0.1882,0.0992
7,pooled,200,0.7441,0.5603,0.1229,0.665
7,recal,500,0.7308,0.535,0.1252,1.1705
7,finetune,500,0.7338,0.4922,0.1337,0.4906
7,local,500,0.6451,0.3505,0.1625,0.4964
7,pooled,500,0.7548,0.581,0.1216,0.7805
8,source,0,0.7006,0.4811,0.1354,0.5239
8,recal,25,0.7006,0.4811,0.1871,0.1252
8,finetune,25,0.6843,0.4577,0.1545,0.4053
8,local,25,0.5626,0.2477,0.1863,0.1555
8,pooled,25,0.695,0.4777,0.1368,0.4951
8,recal,50,0.7006,0.4811,0.1365,1.0069
8,finetune,50,0.6686,0.4614,0.1424,0.3356
8,local,50,0.5646,0.2456,0.1794,0.1087
8,pooled,50,0.6958,0.5045,0.1316,0.527
8,recal,100,0.7006,0.4811,0.1344,1.2465
8,finetune,100,0.689,0.4624,0.1448,0.4026
8,local,100,0.5357,0.2285,0.1867,0.075
8,pooled,100,0.7081,0.5078,0.1329,0.5962
8,recal,200,0.7006,0.4811,0.1371,0.6798
8,finetune,200,0.6953,0.4786,0.1402,0.4157
8,local,200,0.6014,0.2965,0.1584,0.3357
8,pooled,200,0.7081,0.5184,0.1307,0.5418
8,recal,500,0.7006,0.4811,0.1326,0.7512
8,finetune,500,0.6742,0.4177,0.1471,0.3448
8,local,500,0.6375,0.4041,0.1655,0.2926
8,pooled,500,0.7009,0.5144,0.1304,0.5344
9,source,0,0.7054,0.4819,0.134,0.5477
9,recal,25,0.7054,0.4819,0.1333,1.4966
9,finetune,25,0.6969,0.4528,0.1552,0.3958
9,local,25,0.5309,0.2183,0.1896,0.0824
9,pooled,25,0.7018,0.4903,0.1325,0.5602
9,recal,50,0.7054,0.4819,0.1329,0.9898
9,finetune,50,0.6496,0.3906,0.1562,0.2985
9,local,50,0.5151,0.1903,0.1746,0.0491
9,pooled,50,0.7035,0.4793,0.1357,0.5175
9,recal,100,0.7054,0.4819,0.1354,1.0112
9,finetune,100,0.701,0.4876,0.138,0.4013
9,local,100,0.5851,0.2584,0.1685,0.1869
9,pooled,100,0.7175,0.5255,0.1276,0.5991
9,recal,200,0.7054,0.4819,0.135,0.749
9,finetune,200,0.7092,0.5065,0.1346,0.4731
9,local,200,0.6426,0.3604,0.1742,0.2796
9,pooled,200,0.7222,0.5275,0.1276,0.6041
9,recal,500,0.7054,0.4819,0.1312,0.8285
9,finetune,500,0.6929,0.4433,0.1405,0.3706
9,local,500,0.6456,0.4277,0.1492,0.4729
9,pooled,500,0.7297,0.5343,0.1275,0.648
