,,auroc,auroc,prauc,prauc,brier,brier,egim,egim
,,mean,std,mean,std,mean,std,mean,std
strateji,n,,,,,,,,
finetune,25,0.639,0.019,0.176,0.019,0.054,0.003,0.181,0.031
finetune,50,0.578,0.071,0.12,0.075,0.146,0.076,0.076,0.114
finetune,100,0.556,0.066,0.081,0.032,0.159,0.054,0.023,0.031
finetune,200,0.558,0.042,0.077,0.014,0.14,0.039,0.021,0.015
finetune,500,0.558,0.055,0.075,0.016,0.15,0.036,0.016,0.019
finetune,1000,0.576,0.042,0.082,0.012,0.129,0.022,0.032,0.017
local,25,0.627,0.059,0.092,0.019,0.057,0.0,0.161,0.04
local,50,0.563,0.049,0.088,0.032,0.057,0.001,0.125,0.098
local,100,0.589,0.048,0.089,0.024,0.057,0.0,0.211,0.128
local,200,0.588,0.058,0.11,0.047,0.057,0.0,0.223,0.129
local,500,0.605,0.04,0.128,0.033,0.057,0.001,0.293,0.08
local,1000,0.608,0.025,0.143,0.022,0.056,0.001,0.348,0.104
pooled,25,0.682,0.009,0.284,0.01,0.052,0.0,0.582,0.012
pooled,50,0.645,0.04,0.247,0.05,0.053,0.002,0.477,0.087
pooled,100,0.639,0.044,0.249,0.05,0.054,0.001,0.459,0.094
pooled,200,0.648,0.032,0.249,0.039,0.053,0.002,0.467,0.085
pooled,500,0.652,0.049,0.251,0.046,0.053,0.001,0.496,0.106
pooled,1000,0.657,0.039,0.254,0.041,0.053,0.001,0.512,0.101
recal,25,0.508,0.215,0.157,0.152,0.055,0.004,-9.867,15.579
recal,50,0.57,0.136,0.211,0.103,0.054,0.003,-1.812,5.645
recal,100,0.594,0.117,0.224,0.097,0.052,0.002,2.098,6.57
recal,200,0.64,0.042,0.256,0.047,0.049,0.002,1.019,0.615
recal,500,0.64,0.042,0.256,0.047,0.05,0.001,1.217,0.581
recal,1000,0.64,0.042,0.256,0.047,0.049,0.001,1.123,0.477
source,0,0.64,0.042,0.256,0.047,0.053,0.001,0.477,0.09
