rep,strateji,n,auroc,prauc,brier,egim
0,source,0,0.6413,0.2232,0.0529,0.4655
0,recal,50,0.6413,0.2232,0.0494,0.8912
0,finetune,50,0.6385,0.2094,0.0521,0.2677
0,local,50,0.5897,0.1073,0.0566,0.2739
0,pooled,50,0.6178,0.2189,0.0531,0.42
0,recal,100,0.3587,0.0477,0.0539,-6.5947
0,finetune,100,0.4363,0.0476,0.2532,-0.0225
0,local,100,0.5346,0.0892,0.0566,0.1416
0,pooled,100,0.6087,0.2184,0.0535,0.3964
0,recal,200,0.6413,0.2232,0.0491,0.6573
0,finetune,200,0.5053,0.062,0.1723,0.0125
0,local,200,0.5517,0.0782,0.0567,0.1708
0,pooled,200,0.6176,0.2146,0.0531,0.4198
0,recal,500,0.6413,0.2232,0.0501,1.2204
0,finetune,500,0.4992,0.0552,0.2359,-0.0061
0,local,500,0.6278,0.0987,0.0567,0.277
0,pooled,500,0.6237,0.1962,0.0533,0.4006
0,recal,1000,0.6413,0.2232,0.0496,1.0116
0,finetune,1000,0.6198,0.0864,0.1033,0.0391
0,local,1000,0.6,0.1143,0.0566,0.2569
0,pooled,1000,0.6326,0.2185,0.0531,0.4305
1,source,0,0.6198,0.2972,0.0508,0.4682
1,recal,50,0.6198,0.2972,0.0533,1.8484
1,finetune,50,0.4979,0.0811,0.1722,-0.0036
1,local,50,0.5761,0.0903,0.0566,0.1781
1,pooled,50,0.639,0.2576,0.0515,0.4728
1,recal,100,0.6198,0.2972,0.0468,0.7551
1,finetune,100,0.5171,0.0568,0.2167,-0.0018
1,local,100,0.5775,0.0711,0.0567,0.1359
1,pooled,100,0.6202,0.2751,0.0517,0.4434
1,recal,200,0.6198,0.2972,0.0466,0.8313
1,finetune,200,0.5938,0.0796,0.1302,0.0195
1,local,200,0.6393,0.1136,0.0567,0.2969
1,pooled,200,0.6742,0.2892,0.0517,0.5039
1,recal,500,0.6198,0.2972,0.0473,1.0101
1,finetune,500,0.5328,0.07,0.1197,0.0139
1,local,500,0.6209,0.1914,0.0566,0.3523
1,pooled,500,0.6455,0.2958,0.0508,0.5116
1,recal,1000,0.6198,0.2972,0.047,0.932
1,finetune,1000,0.5999,0.0877,0.1357,0.0461
1,local,1000,0.6343,0.1693,0.0567,0.3466
1,pooled,1000,0.6597,0.3049,0.0514,0.5285
2,source,0,0.6604,0.2649,0.0518,0.5275
2,recal,25,0.6604,0.2649,0.0522,1.1491
2,finetune,25,0.6257,0.1901,0.052,0.2023
2,local,25,0.5852,0.0781,0.0575,0.1324
2,pooled,25,0.6881,0.2772,0.052,0.5739
2,recal,50,0.6604,0.2649,0.0492,1.0254
2,finetune,50,0.5923,0.0925,0.1501,0.0488
2,local,50,0.5909,0.0749,0.0569,0.1376
2,pooled,50,0.6613,0.2692,0.052,0.5392
2,recal,100,0.6604,0.2649,0.0529,8.5534
2,finetune,100,0.5988,0.0765,0.1852,0.0217
2,local,100,0.5902,0.0819,0.0567,0.2314
2,pooled,100,0.6625,0.2474,0.0527,0.5017
2,recal,200,0.6604,0.2649,0.048,1.1121
2,finetune,200,0.5786,0.0883,0.0994,0.0329
2,local,200,0.5016,0.0778,0.0566,0.0684
2,pooled,200,0.6628,0.2609,0.0523,0.5135
2,recal,500,0.6604,0.2649,0.0489,1.4132
2,finetune,500,0.5951,0.0891,0.1236,0.034
2,local,500,0.5341,0.0836,0.0554,0.1318
2,pooled,500,0.6837,0.2474,0.0532,0.5349
