,,auroc,auroc,prauc,prauc,brier,brier,egim,egim
,,mean,std,mean,std,mean,std,mean,std
strateji,n,,,,,,,,
finetune,25,0.651,0.03,0.113,0.024,0.059,0.006,0.2,0.024
finetune,50,0.704,0.062,0.138,0.05,0.056,0.002,0.308,0.118
finetune,100,0.68,0.034,0.134,0.029,0.068,0.018,0.221,0.134
finetune,200,0.671,0.065,0.139,0.075,0.07,0.016,0.146,0.15
finetune,300,0.684,0.067,0.135,0.044,0.071,0.014,0.122,0.08
local,25,0.564,0.05,0.089,0.014,0.055,0.002,0.154,0.123
local,50,0.562,0.018,0.083,0.014,0.056,0.001,0.124,0.075
local,100,0.567,0.061,0.097,0.038,0.056,0.001,0.19,0.154
local,200,0.56,0.057,0.092,0.015,0.056,0.001,0.158,0.136
local,300,0.565,0.06,0.128,0.047,0.056,0.002,0.232,0.147
pooled,25,0.662,0.035,0.127,0.025,0.057,0.005,0.293,0.076
pooled,50,0.731,0.057,0.226,0.043,0.051,0.002,0.467,0.093
pooled,100,0.709,0.051,0.2,0.07,0.052,0.004,0.41,0.097
pooled,200,0.712,0.041,0.218,0.071,0.051,0.004,0.439,0.092
pooled,300,0.721,0.044,0.252,0.074,0.05,0.004,0.484,0.112
recal,25,0.663,0.026,0.118,0.012,0.06,0.008,0.977,0.22
recal,50,0.631,0.197,0.138,0.071,0.053,0.003,4.0,7.811
recal,100,0.713,0.05,0.16,0.047,0.053,0.002,0.94,0.563
recal,200,0.704,0.049,0.158,0.046,0.052,0.002,2.865,5.938
recal,300,0.704,0.049,0.158,0.046,0.051,0.002,1.245,0.672
source,0,0.704,0.049,0.158,0.046,0.057,0.003,0.359,0.091
