rep,strateji,n,auroc,prauc,brier,egim
0,source,0,0.6664,0.1168,0.0642,0.2662
0,recal,25,0.6664,0.1168,0.0692,0.8229
0,finetune,25,0.6445,0.092,0.0652,0.1717
0,local,25,0.5621,0.0735,0.0568,0.1145
0,pooled,25,0.6263,0.1053,0.0629,0.2188
0,recal,100,0.6664,0.1168,0.055,0.5144
0,finetune,100,0.6939,0.1405,0.0614,0.2377
0,local,100,0.5837,0.0825,0.0569,0.2497
0,pooled,100,0.6404,0.135,0.0577,0.2661
0,recal,200,0.6664,0.1168,0.0529,0.9348
0,finetune,200,0.6412,0.0917,0.0762,0.0527
0,local,200,0.5478,0.067,0.0569,0.0947
0,pooled,200,0.6684,0.1306,0.0586,0.2956
0,recal,300,0.6664,0.1168,0.0548,0.5273
0,finetune,300,0.6864,0.13,0.0698,0.1022
0,local,300,0.5275,0.0814,0.0569,0.0986
0,pooled,300,0.6872,0.1436,0.0574,0.3272
1,source,0,0.7092,0.1588,0.0576,0.3694
1,recal,50,0.2908,0.0411,0.0556,-1.744
1,finetune,50,0.7258,0.1377,0.0572,0.3211
1,local,50,0.5649,0.0905,0.0568,0.1398
1,pooled,50,0.7271,0.2173,0.0516,0.4646
1,recal,100,0.7092,0.1588,0.0549,0.6466
1,finetune,100,0.6943,0.1656,0.0586,0.2794
1,local,100,0.5531,0.0715,0.0567,0.0968
1,pooled,100,0.7458,0.2267,0.0527,0.4514
1,recal,200,0.7092,0.1588,0.0522,1.5099
1,finetune,200,0.6289,0.1213,0.0702,0.043
1,local,200,0.5944,0.0939,0.0569,0.175
1,pooled,200,0.7219,0.2231,0.0526,0.4672
1,recal,300,0.7092,0.1588,0.0517,1.197
1,finetune,300,0.6199,0.1021,0.0889,0.0565
1,local,300,0.5212,0.1164,0.0569,0.0943
1,pooled,300,0.7328,0.2408,0.0521,0.5248
2,source,0,0.6437,0.1149,0.0613,0.2528
2,recal,200,0.6437,0.1149,0.0541,0.4955
2,finetune,200,0.627,0.1485,0.0557,0.2168
2,local,200,0.5508,0.0982,0.0569,0.1658
2,pooled,200,0.6809,0.1476,0.0546,0.3658
2,recal,300,0.6437,0.1149,0.0534,0.5203
2,finetune,300,0.6456,0.159,0.056,0.2488
2,local,300,0.5512,0.1009,0.0569,0.2443
2,pooled,300,0.6564,0.1798,0.0531,0.3285
3,source,0,0.773,0.2265,0.0568,0.4744
3,recal,100,0.773,0.2265,0.051,2.2013
3,finetune,100,0.6505,0.0911,0.1022,0.0468
3,local,100,0.5164,0.0605,0.0569,0.0153
3,pooled,100,0.747,0.2418,0.0543,0.4342
3,recal,200,0.773,0.2265,0.0505,1.5622
3,finetune,200,0.7945,0.3214,0.0516,0.3442
3,local,200,0.5244,0.1111,0.0569,0.0791
3,pooled,200,0.7734,0.3123,0.0453,0.5851
3,recal,300,0.773,0.2265,0.0512,2.0904
3,finetune,300,0.7913,0.2009,0.0637,0.1625
3,local,300,0.5023,0.1052,0.0569,0.1238
3,pooled,300,0.7972,0.3776,0.046,0.6618
4,source,0,0.776,0.2329,0.0555,0.4824
4,recal,50,0.776,0.2329,0.055,17.7333
4,finetune,50,0.7469,0.1415,0.0577,0.3258
4,local,50,0.591,0.0827,0.0566,0.1435
4,pooled,50,0.7839,0.2958,0.0484,0.5658
4,recal,100,0.776,0.2329,0.0521,1.2379
4,finetune,100,0.6342,0.1521,0.0898,0.0577
4,local,100,0.6275,0.1708,0.0566,0.3165
4,pooled,100,0.7943,0.3479,0.0451,0.5962
4,recal,200,0.776,0.2329,0.0535,19.7202
