n,pos,auroc,prauc,brier,cal_slope,cal_intercept,kind,grouping,seed,fold,site,cfg
995,218,0.8763888396915921,0.7854594015654119,0.11000396047584729,0.4221993695821122,1.100001154310843,internal,patient,0,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
993,218,0.8946019532406038,0.8096316306247388,0.12446751387982927,0.5444497519244007,1.9882178824765742,internal,patient,0,1,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
991,216,0.8574492234169653,0.7571415480154668,0.10802366887639112,0.6911319185826872,0.7416492775084543,internal,patient,0,2,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
991,217,0.8831612665071028,0.7994210744126905,0.09925566868655478,0.5169024380635779,0.7036796518597557,internal,patient,0,3,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
991,217,0.8774693673418353,0.751794176965971,0.11189343614696534,0.4576955753252915,0.6230156155491955,internal,patient,0,4,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
991,217,0.8735517212636493,0.782618834588277,0.09481074853335718,0.9317371897330822,0.6756325956027741,internal,patient,1,0,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 20, ""learning_rate"": 0.05, ""n_estimators"": 300}"
993,218,0.8936549274933412,0.7668679698756847,0.10912387045340334,0.5161734343415127,0.8046983114919167,internal,patient,1,1,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
991,216,0.8887574671445639,0.7973776048064792,0.11558153030757407,0.48839687340928084,1.4210942377720335,internal,patient,1,2,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
995,219,0.8631019629995762,0.7634903123086675,0.10418083326891406,0.6529293697633983,0.5415877114010327,internal,patient,1,3,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
991,216,0.8582019115890084,0.7487870669598157,0.1269245348853273,0.40303395969837996,1.1264740260874109,internal,patient,1,4,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
991,216,0.8927060931899642,0.8062945835993814,0.09990370109511389,0.5188549353581481,0.8412998173109731,internal,patient,2,0,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
991,216,0.8743189964157706,0.7698385281073006,0.11873580357344296,0.40813295697617585,1.015289582663592,internal,patient,2,1,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
993,218,0.87045279668541,0.763099670360638,0.11501518834012324,0.7845245046472399,1.4040387213572965,internal,patient,2,2,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 20, ""learning_rate"": 0.05, ""n_estimators"": 300}"
995,219,0.8807195311396694,0.7870611449164613,0.10919483883957644,0.5110824492084847,0.8153881865693304,internal,patient,2,3,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
991,217,0.8549458793269746,0.7542662722817279,0.12015482999904323,0.3984691338409357,0.9626455648026123,internal,patient,2,4,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
993,218,0.8875170168688961,0.774634374925109,0.10640846881905912,0.5253689900692993,0.9905734146138666,internal,isolate,0,0,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
992,217,0.8830147168128437,0.7778790275092937,0.10634781429148663,0.4914389401336981,0.7601223054876699,internal,isolate,0,1,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
992,217,0.915766314850602,0.8357252951071092,0.10826193668799493,0.5389125390577901,1.6806459162201803,internal,isolate,0,2,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
992,217,0.911818046677568,0.8256785707903966,0.11605608330991027,0.5404071411659642,1.794190730341144,internal,isolate,0,3,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
992,217,0.9050750706109708,0.8140586068558244,0.09389916058786157,0.8162110769073939,0.8624272939352192,internal,isolate,0,4,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
992,217,0.9057350973688122,0.8053598237218235,0.09979174915285975,0.5572954120574399,0.8645263670431279,internal,isolate,1,0,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
992,217,0.9106466478370745,0.8166233554307589,0.10165892581058555,0.5829971610623742,1.1426266995520362,internal,isolate,1,1,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
993,218,0.903468481799349,0.8121690011659874,0.11573201138316468,0.48954868325147516,1.4352590588644794,internal,isolate,1,2,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
992,217,0.9009662553887321,0.8281117859695195,0.10634955037752049,0.49968155672721737,1.5274515927869519,internal,isolate,1,3,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
992,217,0.8896922848223576,0.7978655883627368,0.11923862920491857,0.4826170392089597,1.543406709387573,internal,isolate,1,4,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
992,217,0.8950379069421733,0.793017077828877,0.11247094680219132,0.4466005937313038,1.2306180530200628,internal,isolate,2,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
992,217,0.9136019027798425,0.840139686619797,0.107318430390324,0.556628005286956,1.8483840796022684,internal,isolate,2,1,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
992,217,0.8948357365839155,0.7756763680289712,0.12187047419436607,0.4567324911944072,1.2847692210452575,internal,isolate,2,2,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
992,217,0.906734056786086,0.8316014756321632,0.09571711979333392,0.5984616806048642,1.129784165626147,internal,isolate,2,3,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
993,218,0.9028292394199466,0.8076640118961241,0.1223721012466,0.517361596509074,1.8287861684016233,internal,isolate,2,4,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
213,45,0.8247354497354498,0.6412771262957033,0.12265822078200421,0.7861430397147852,0.49419468805513006,external,-,0,-1,DRIAMS-B,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
916,151,0.6663463619443362,0.3373747565945022,0.1330137029887594,0.38406584355256634,-0.525021657181306,external,-,0,-1,DRIAMS-C,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
1994,198,0.7690462531776562,0.4622965059253243,0.07252015853751026,0.7038862856564608,0.22185774068308226,external,-,0,-1,DRIAMS-D,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
