n,pos,auroc,prauc,brier,cal_slope,cal_intercept,kind,grouping,seed,fold,site,cfg
573,90,0.8435932827237175,0.6402525568328327,0.12020702214784221,0.5629473031554467,2.8509362955550754,internal,patient,0,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
572,90,0.7065006915629323,0.5026472136678489,0.12161539701241501,0.3150677453672586,0.5941994549876911,internal,patient,0,1,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
571,90,0.8097713097713098,0.681844583932893,0.09563466780254,0.5517084017913199,1.2063386717118358,internal,patient,0,2,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
571,89,0.7823208541190732,0.6208561438132237,0.09991543247680827,0.46936808737384417,0.8581241781180058,internal,patient,0,3,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
573,90,0.8204738900391074,0.6428852758839199,0.09363685834978688,0.6619730717209134,0.6797396900594103,internal,patient,0,4,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 20, ""learning_rate"": 0.05, ""n_estimators"": 300}"
573,90,0.8422820335863814,0.7144797482523041,0.09467688539768504,0.6280262552782223,1.4585380488777209,internal,patient,1,0,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
573,90,0.7532551184725098,0.541119588163112,0.12379230004774666,0.3756750701253356,0.9211086995157245,internal,patient,1,1,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
572,90,0.8342323651452282,0.6991479154357558,0.09330467104632273,0.439244138370848,1.0310053079377206,internal,patient,1,2,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
571,90,0.7267267267267268,0.5382666704501542,0.1184100338222441,0.3225385124857106,0.6422308272035954,internal,patient,1,3,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
571,89,0.7861904983915333,0.6138379010128938,0.10769237880258214,0.5320281848245689,1.2960609590174939,internal,patient,1,4,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
572,90,0.7976486860304287,0.6178342305353896,0.12404215492043384,0.5184923683079157,2.6831495359005895,internal,patient,2,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
573,90,0.8090867264780308,0.6185825891853615,0.10441485417382174,0.7844546971603995,1.2812699705461512,internal,patient,2,1,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 20, ""learning_rate"": 0.05, ""n_estimators"": 300}"
