n,pos,auroc,prauc,brier,cal_slope,cal_intercept,kind,grouping,seed,fold,site,cfg
628,128,0.7233125,0.4604757749967672,0.18004535325876006,0.31886465967950134,0.7268248365290308,internal,patient,0,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
628,127,0.691231709808729,0.4112457884496427,0.1642888408281399,0.41339498197311214,0.0695962545179598,internal,patient,0,1,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
643,135,0.6996354622338874,0.38938514466831753,0.19766793284338993,0.26904324914351707,0.47145644761493466,internal,patient,0,2,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
628,128,0.6758437500000001,0.3298226622597983,0.19784874475085837,0.23109670970899418,0.2633146687217427,internal,patient,0,3,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
626,127,0.7113597273286729,0.3654063361936619,0.19112174822858916,0.26640544253736576,0.3066605147727767,internal,patient,0,4,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
626,129,0.6688971035515419,0.4011064287809938,0.17995584160723893,0.21539165227750617,0.0073652723862986285,internal,patient,1,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
628,127,0.8032910556839077,0.519688025827632,0.18539882978685135,0.4936485695203264,1.6998223196697715,internal,patient,1,1,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
631,129,0.6852589641434264,0.37804220877271943,0.19460649798825744,0.25284137952636093,0.39450660992285314,internal,patient,1,2,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
627,127,0.7317637795275591,0.42484277934655806,0.1777002757542369,0.511169020213279,0.725566742514721,internal,patient,1,3,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 20, ""learning_rate"": 0.05, ""n_estimators"": 300}"
641,133,0.6162897400982772,0.2907290871062843,0.1996485193176505,0.13981303942841705,-0.3891207630039882,internal,patient,1,4,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
628,128,0.746375,0.49323456670922616,0.17648398042262295,0.35286317487570984,0.8155773420022597,internal,patient,2,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
629,127,0.7293503152743357,0.41968384641071405,0.16749968051650724,0.47527689611751023,0.37633277087687544,internal,patient,2,1,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
643,136,0.745185056271029,0.45120381098592266,0.18195711209000373,0.4146228834793345,0.6020791239374301,internal,patient,2,2,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
626,128,0.631839859437751,0.34565409171257194,0.1879499236762437,0.21273556218578968,-0.14978004235824194,internal,patient,2,3,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
627,126,0.7051452650255047,0.3715413919197278,0.1904122658843886,0.26612458265637895,0.3867502493503877,internal,patient,2,4,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
631,129,0.7661447234318539,0.5096581648775611,0.1788592771974222,0.37959143919884625,1.0751926593313321,internal,isolate,0,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
631,129,0.7664381234750919,0.5390023081655472,0.1712671855820228,0.3640400888132631,0.8991493514817331,internal,isolate,0,1,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
631,129,0.8069273294419221,0.5986033362164537,0.16276340378721874,0.5642721710312802,1.2791532406018131,internal,isolate,0,2,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
630,129,0.7747605564065667,0.5437202062598262,0.15111696221127685,0.5892472624251641,0.6368395354900751,internal,isolate,0,3,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
