n,pos,auroc,prauc,brier,cal_slope,cal_intercept,kind,grouping,seed,fold,site,cfg
983,293,0.803531681258347,0.7048605202526168,0.18830138367312194,0.4436437207448404,0.8137873786029943,internal,patient,0,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
981,293,0.7864265021033414,0.701964883095194,0.1662712330652831,0.42599384249858363,0.12532646633977268,internal,patient,0,1,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
982,293,0.8335422063930018,0.7549870582427459,0.1594426897885058,0.4316064594050068,0.5927150344416058,internal,patient,0,2,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
981,293,0.8211564409873799,0.7303579177558303,0.1749060384169534,0.40814534440040295,0.6309737762691336,internal,patient,0,3,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
984,294,0.8418909592822637,0.7592609800357643,0.15240364830509737,0.546337134326682,0.4933382715095544,internal,patient,0,4,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
985,295,0.7690886760009825,0.6514248788770827,0.2044842243053624,0.3444089618544242,0.5143075018751168,internal,patient,1,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
981,292,0.8225092947889536,0.7455833671044371,0.1613260091763079,0.44592185068112405,0.6033837882347843,internal,patient,1,1,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
982,293,0.8243237218702477,0.7468955418081245,0.1667325392556573,0.43856162529155995,0.6819317971785674,internal,patient,1,2,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
981,293,0.8275111119930153,0.7272566338308184,0.1762009784363778,0.406743791390872,0.5334104579698152,internal,patient,1,3,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
982,293,0.8500720735893639,0.7742593938546918,0.1574252122597672,0.4895515048226358,0.8035380383091101,internal,patient,1,4,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
981,292,0.8228721394914209,0.7499986253961756,0.15891042495829055,0.4229055443451313,0.5809793511656869,internal,patient,2,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
981,293,0.8169547186284625,0.7446266094566867,0.163477434319426,0.4218413978305729,0.6275875956837057,internal,patient,2,1,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
980,292,0.8190854969735584,0.748164912131238,0.16582163507988126,0.43185458309389085,0.6862363292572528,internal,patient,2,2,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
982,293,0.8029195995581467,0.7091846367245233,0.18436159738384358,0.40729448757283565,0.6781218610018093,internal,patient,2,3,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
987,296,0.8138127273438417,0.7132933581839886,0.16602691108286113,0.5052304134525403,0.3235399824643121,internal,patient,2,4,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
982,293,0.8652991673147511,0.7879943701752634,0.15211706307594577,0.4945217118270603,0.7548542815334174,internal,isolate,0,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
983,294,0.8520432846578401,0.7679414978681757,0.1661680598348283,0.5002007339932624,0.8406765267305429,internal,isolate,0,1,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
982,293,0.8534256007370824,0.7649188151238926,0.16991776680087614,0.5035432673218178,0.9690217345264024,internal,isolate,0,2,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
982,293,0.8348053517736048,0.7582519301261623,0.16378644640801526,0.43196058988610475,0.6081288675740445,internal,isolate,0,3,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
982,293,0.8344041173585897,0.7424372181468082,0.17430902554836586,0.4769989598421451,0.91918538825944,internal,isolate,0,4,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
983,294,0.8453491701470138,0.7700007248754891,0.15688964283826243,0.46747121618349674,0.666915287438564,internal,isolate,1,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
982,293,0.8580670408218867,0.7734651048941921,0.16759978181678634,0.507514979160083,0.9331053683699869,internal,isolate,1,1,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
982,293,0.8299162361239765,0.7464444408346154,0.15501009586870945,0.5364615596391797,0.4797587767560391,internal,isolate,1,2,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
982,293,0.8629710170054042,0.78525107086568,0.15669439850073585,0.5133195663798898,0.8571004925015844,internal,isolate,1,3,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
982,293,0.8606626807412433,0.7745907286163531,0.16956876417186464,0.5220011563104943,1.0842366905979421,internal,isolate,1,4,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
