n,pos,auroc,prauc,brier,cal_slope,cal_intercept,kind,grouping,seed,fold,site,cfg
628,128,0.7066250000000001,0.481350716559572,0.15593668630894847,0.4623028167715474,0.19083527558863655,internal,patient,0,0,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
628,127,0.7016518144812738,0.4165117335708831,0.1551520983781794,0.5503748774490188,0.02320238978338836,internal,patient,0,1,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 20, ""learning_rate"": 0.05, ""n_estimators"": 300}"
643,135,0.6558326042578011,0.3536828092040852,0.1990778105883864,0.2241254636995015,0.175697254013507,internal,patient,0,2,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
628,128,0.6700156250000001,0.3361055166651722,0.19661582654255538,0.22921679128121228,0.26377306447982246,internal,patient,0,3,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
626,127,0.6692124406292901,0.3169334171680421,0.16983256686618772,0.43220840846831576,-0.24985714087212535,internal,patient,0,4,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 20, ""learning_rate"": 0.05, ""n_estimators"": 300}"
626,129,0.6450797810116513,0.3871661898979919,0.1703063295617639,0.28853741184164183,-0.4017241244148121,internal,patient,1,0,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
628,127,0.7961400034576517,0.54697047022996,0.16513708238117558,0.7705302066808218,1.5072490790368898,internal,patient,1,1,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 20, ""learning_rate"": 0.05, ""n_estimators"": 300}"
631,129,0.6702646777232157,0.3590067913668023,0.1870315072335429,0.2878198373406898,0.17560862957880127,internal,patient,1,2,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
627,127,0.7295275590551181,0.42247344323446845,0.18268255043708154,0.41793480221847984,0.7429016190803968,internal,patient,1,3,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
641,133,0.6271979160499674,0.29822603613585974,0.18808636944728885,0.21920117587068425,-0.5192213690462616,internal,patient,1,4,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
628,128,0.7415,0.4822081929758904,0.17577508460277205,0.36183308164266254,0.8768361460302279,internal,patient,2,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
629,127,0.7213978730746307,0.40475607573322553,0.18813696757134782,0.31992010638023083,0.8086671567007249,internal,patient,2,1,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
643,136,0.7284342731175311,0.43920994372020106,0.18399206962833956,0.4074407899044199,0.6002496528437309,internal,patient,2,2,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
626,128,0.6019860692771084,0.29333716408029353,0.1989208028189381,0.1544081469434529,-0.22704143989318634,internal,patient,2,3,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
627,126,0.6517599721192534,0.3137713245511806,0.1837543117240753,0.30396904808091296,-0.12461926002658348,internal,patient,2,4,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 20, ""learning_rate"": 0.05, ""n_estimators"": 300}"
631,129,0.7714722505327526,0.4901854698853527,0.1845886840046693,0.41348567876164166,1.3056287799159612,internal,isolate,0,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
631,129,0.7773556935050495,0.5405616569654593,0.1753085285121765,0.39709716077921325,1.0856270792437603,internal,isolate,0,1,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
631,129,0.7912535902900026,0.5657832212708307,0.1830372060309487,0.49415574006187696,1.7505492916555712,internal,isolate,0,2,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
630,129,0.7593649909483358,0.5189305109277789,0.17899037329243125,0.3844059829961071,1.0600852141885513,internal,isolate,0,3,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
630,129,0.7898002444722957,0.5178889684378633,0.16808818213900614,0.48632510923860234,0.8486974308049733,internal,isolate,0,4,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
631,129,0.7968436332190617,0.517709931354914,0.18541617520753614,0.45965214184268344,1.4829806546586417,internal,isolate,1,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
631,129,0.7400166774761421,0.49695014908364676,0.18241833076850414,0.35817616222020465,0.9489858539716044,internal,isolate,1,1,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
630,129,0.7582973587708305,0.4845840223162912,0.18159349943311195,0.36167004178051537,0.8614411689068608,internal,isolate,1,2,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
