n,pos,auroc,prauc,brier,cal_slope,cal_intercept,kind,grouping,seed,fold,site,cfg
759,145,0.893788610580703,0.7758265547745664,0.11913240842357978,0.5229108265767002,1.9135592410911897,internal,patient,0,0,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
759,146,0.8727457596817806,0.7746238199405576,0.10215430057394595,0.45274861567911434,1.367301313442989,internal,patient,0,1,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
757,145,0.8529524453459546,0.7137492038453414,0.11328606549643379,0.41539279146320474,0.7421404597996216,internal,patient,0,2,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
757,145,0.8911426639621366,0.7828102776832132,0.10817679292827498,0.5535194998215045,1.4715331049518368,internal,patient,0,3,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
758,145,0.8708555999324972,0.743122753758359,0.1224862528837346,0.4235075738468894,1.3546569505249604,internal,patient,0,4,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
759,146,0.9158863885226485,0.8314324025802698,0.0897320344962052,0.9006511887472792,1.6027967069086895,internal,patient,1,0,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
759,145,0.8840952487925419,0.7752206709866141,0.0983816873438633,0.4809228586823946,1.000134668114861,internal,patient,1,1,DRIAMS-A,"{""num_leaves"": 31, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
757,145,0.8489858012170385,0.7211889082134253,0.10228345153590213,0.5493168015323461,0.48095235864035335,internal,patient,1,2,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
758,145,0.8602238847949598,0.7470789652906806,0.09318238449444417,0.8221981706511055,0.7117600734345547,internal,patient,1,3,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 20, ""learning_rate"": 0.05, ""n_estimators"": 300}"
757,145,0.8838629704755465,0.7500125342285964,0.12368159983580553,0.47470099401468585,1.746135244329606,internal,patient,1,4,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
759,145,0.8963158485903627,0.7994009099755671,0.08256272766928117,0.9758523527384815,0.9057558016567643,internal,patient,2,0,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 20, ""learning_rate"": 0.05, ""n_estimators"": 300}"
759,146,0.8500413417059599,0.7406420332225182,0.1266913071241466,0.4651759474835864,1.7283794006599853,internal,patient,2,1,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
758,145,0.8828598751195366,0.799186813733438,0.08660413186634597,0.6896711439932369,0.9270806453067719,internal,patient,2,2,DRIAMS-A,"{""num_leaves"": 15, ""min_child_samples"": 50, ""learning_rate"": 0.05, ""n_estimators"": 500}"
757,145,0.8674216813162048,0.749493342324006,0.11615909648289006,0.42879588905362315,1.3148578026371747,internal,patient,2,3,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
757,145,0.8568402073473068,0.7157547157920494,0.11565728609713095,0.3701135611879714,0.9114862453198119,internal,patient,2,4,DRIAMS-A,"{""num_leaves"": 63, ""min_child_samples"": 20, ""learning_rate"": 0.03, ""n_estimators"": 700}"
