site,kol,esik,net_fayda
DRIAMS-A,model,0.05,0.158
DRIAMS-A,model,0.06,0.15341
DRIAMS-A,model,0.07,0.14848
DRIAMS-A,model,0.08,0.14554
DRIAMS-A,model,0.09,0.14346
DRIAMS-A,model,0.1,0.13944
DRIAMS-A,model,0.11,0.13507
DRIAMS-A,model,0.12,0.1334
DRIAMS-A,model,0.13,0.13192
DRIAMS-A,model,0.14,0.13026
DRIAMS-A,model,0.15,0.12835
DRIAMS-A,model,0.16,0.12758
DRIAMS-A,model,0.17,0.12681
DRIAMS-A,model,0.18,0.12454
DRIAMS-A,model,0.19,0.12282
DRIAMS-A,model,0.2,0.12261
DRIAMS-A,model,0.21,0.12055
DRIAMS-A,model,0.22,0.11959
DRIAMS-A,model,0.23,0.11908
DRIAMS-A,model,0.24,0.11802
DRIAMS-A,model,0.25,0.1157
DRIAMS-A,model,0.26,0.11416
DRIAMS-A,model,0.27,0.11323
DRIAMS-A,model,0.28,0.11191
DRIAMS-A,model,0.29,0.11085
DRIAMS-A,model,0.3,0.10991
DRIAMS-A,model,0.31,0.10938
DRIAMS-A,model,0.32,0.10765
DRIAMS-A,model,0.33,0.10613
DRIAMS-A,model,0.34,0.10512
DRIAMS-A,model,0.35,0.10423
DRIAMS-A,model,0.36,0.10292
DRIAMS-A,model,0.37,0.10223
DRIAMS-A,model,0.38,0.1014
DRIAMS-A,model,0.39,0.10062
DRIAMS-A,model,0.4,0.09985
DRIAMS-A,model,0.41,0.09907
DRIAMS-A,model,0.42,0.09849
DRIAMS-A,model,0.43,0.09711
DRIAMS-A,model,0.44,0.09598
DRIAMS-A,model,0.45,0.0952
DRIAMS-A,model,0.46,0.09419
DRIAMS-A,model,0.47,0.09324
DRIAMS-A,model,0.48,0.09223
DRIAMS-A,model,0.49,0.09185
DRIAMS-A,model,0.5,0.09111
DRIAMS-A,hepsi,0.05,0.1778
DRIAMS-A,hepsi,0.06,0.16905
DRIAMS-A,hepsi,0.07,0.16012
DRIAMS-A,hepsi,0.08,0.15099
DRIAMS-A,hepsi,0.09,0.14166
DRIAMS-A,hepsi,0.1,0.13212
DRIAMS-A,hepsi,0.11,0.12237
DRIAMS-A,hepsi,0.12,0.11239
DRIAMS-A,hepsi,0.13,0.10219
DRIAMS-A,hepsi,0.14,0.09175
DRIAMS-A,hepsi,0.15,0.08107
DRIAMS-A,hepsi,0.16,0.07013
DRIAMS-A,hepsi,0.17,0.05892
DRIAMS-A,hepsi,0.18,0.04745
DRIAMS-A,hepsi,0.19,0.03569
DRIAMS-A,hepsi,0.2,0.02363
DRIAMS-A,hepsi,0.21,0.01128
DRIAMS-A,hepsi,0.22,-0.0014
DRIAMS-A,hepsi,0.23,-0.01441
DRIAMS-A,hepsi,0.24,-0.02775
DRIAMS-A,hepsi,0.25,-0.04146
DRIAMS-A,hepsi,0.26,-0.05553
DRIAMS-A,hepsi,0.27,-0.06999
DRIAMS-A,hepsi,0.28,-0.08485
DRIAMS-A,hepsi,0.29,-0.10013
DRIAMS-A,hepsi,0.3,-0.11585
DRIAMS-A,hepsi,0.31,-0.13202
DRIAMS-A,hepsi,0.32,-0.14867
DRIAMS-A,hepsi,0.33,-0.16581
DRIAMS-A,hepsi,0.34,-0.18347
DRIAMS-A,hepsi,0.35,-0.20168
DRIAMS-A,hepsi,0.36,-0.22046
DRIAMS-A,hepsi,0.37,-0.23983
DRIAMS-A,hepsi,0.38,-0.25983
DRIAMS-A,hepsi,0.39,-0.28048
DRIAMS-A,hepsi,0.4,-0.30182
DRIAMS-A,hepsi,0.41,-0.32389
DRIAMS-A,hepsi,0.42,-0.34671
DRIAMS-A,hepsi,0.43,-0.37034
DRIAMS-A,hepsi,0.44,-0.39481
DRIAMS-A,hepsi,0.45,-0.42017
DRIAMS-A,hepsi,0.46,-0.44647
DRIAMS-A,hepsi,0.47,-0.47376
DRIAMS-A,hepsi,0.48,-0.5021
DRIAMS-A,hepsi,0.49,-0.53155
DRIAMS-A,hepsi,0.5,-0.56219
DRIAMS-B,ham,0.05,0.16034
DRIAMS-B,ham,0.06,0.15607
DRIAMS-B,ham,0.07,0.14745
DRIAMS-B,ham,0.08,0.14385
DRIAMS-B,ham,0.09,0.13775
DRIAMS-B,ham,0.1,0.1374
DRIAMS-B,ham,0.11,0.12972
DRIAMS-B,ham,0.12,0.12996
DRIAMS-B,ham,0.13,0.11575
DRIAMS-B,ham,0.14,0.11084
DRIAMS-B,ham,0.15,0.1121
DRIAMS-B,ham,0.16,0.11127
DRIAMS-B,ham,0.17,0.10453
DRIAMS-B,ham,0.18,0.0967
DRIAMS-B,ham,0.19,0.08885
DRIAMS-B,ham,0.2,0.0912
DRIAMS-B,ham,0.21,0.08492
DRIAMS-B,ham,0.22,0.08003
DRIAMS-B,ham,0.23,0.08019
DRIAMS-B,ham,0.24,0.06916
DRIAMS-B,ham,0.25,0.06854
DRIAMS-B,ham,0.26,0.06791
DRIAMS-B,ham,0.27,0.06726
DRIAMS-B,ham,0.28,0.06518
DRIAMS-B,ham,0.29,0.06449
DRIAMS-B,ham,0.3,0.06378
DRIAMS-B,ham,0.31,0.06305
DRIAMS-B,ham,0.32,0.06089
DRIAMS-B,ham,0.33,0.06012
DRIAMS-B,ham,0.34,0.05933
DRIAMS-B,ham,0.35,0.0585
DRIAMS-B,ham,0.36,0.05766
DRIAMS-B,ham,0.37,0.05421
DRIAMS-B,ham,0.38,0.05338
DRIAMS-B,ham,0.39,0.04971
DRIAMS-B,ham,0.4,0.03615
DRIAMS-B,ham,0.41,0.03524
DRIAMS-B,ham,0.42,0.03429
DRIAMS-B,ham,0.43,0.03331
DRIAMS-B,ham,0.44,0.03229
DRIAMS-B,ham,0.45,0.0347
DRIAMS-B,ham,0.46,0.03375
DRIAMS-B,ham,0.47,0.03277
DRIAMS-B,ham,0.48,0.03824
DRIAMS-B,ham,0.49,0.03745
DRIAMS-B,ham,0.5,0.03662
DRIAMS-B,kalibre,0.05,0.17183
DRIAMS-B,kalibre,0.06,0.16665
DRIAMS-B,kalibre,0.07,0.15909
DRIAMS-B,kalibre,0.08,0.15095
DRIAMS-B,kalibre,0.09,0.14498
DRIAMS-B,kalibre,0.1,0.14397
DRIAMS-B,kalibre,0.11,0.14032
DRIAMS-B,kalibre,0.12,0.13912
DRIAMS-B,kalibre,0.13,0.13343
DRIAMS-B,kalibre,0.14,0.13239
DRIAMS-B,kalibre,0.15,0.12916
DRIAMS-B,kalibre,0.16,0.12622
DRIAMS-B,kalibre,0.17,0.12276
DRIAMS-B,kalibre,0.18,0.11862
DRIAMS-B,kalibre,0.19,0.1173
DRIAMS-B,kalibre,0.2,0.11303
DRIAMS-B,kalibre,0.21,0.11227
DRIAMS-B,kalibre,0.22,0.11369
DRIAMS-B,kalibre,0.23,0.10991
DRIAMS-B,kalibre,0.24,0.11171
DRIAMS-B,kalibre,0.25,0.10798
DRIAMS-B,kalibre,0.26,0.10582
DRIAMS-B,kalibre,0.27,0.10517
DRIAMS-B,kalibre,0.28,0.10055
DRIAMS-B,kalibre,0.29,0.09808
DRIAMS-B,kalibre,0.3,0.09577
DRIAMS-B,kalibre,0.31,0.09337
DRIAMS-B,kalibre,0.32,0.09006
DRIAMS-B,kalibre,0.33,0.09062
DRIAMS-B,kalibre,0.34,0.08852
DRIAMS-B,kalibre,0.35,0.08429
DRIAMS-B,kalibre,0.36,0.08081
DRIAMS-B,kalibre,0.37,0.0776
DRIAMS-B,kalibre,0.38,0.07565
DRIAMS-B,kalibre,0.39,0.07091
DRIAMS-B,kalibre,0.4,0.06714
DRIAMS-B,kalibre,0.41,0.06305
DRIAMS-B,kalibre,0.42,0.06299
DRIAMS-B,kalibre,0.43,0.06004
DRIAMS-B,kalibre,0.44,0.05604
DRIAMS-B,kalibre,0.45,0.05339
DRIAMS-B,kalibre,0.46,0.0519
DRIAMS-B,kalibre,0.47,0.04922
DRIAMS-B,kalibre,0.48,0.04919
DRIAMS-B,kalibre,0.49,0.04786
DRIAMS-B,kalibre,0.5,0.04225
DRIAMS-B,havuz,0.05,0.16516
DRIAMS-B,havuz,0.06,0.15921
DRIAMS-B,havuz,0.07,0.15581
DRIAMS-B,havuz,0.08,0.14972
DRIAMS-B,havuz,0.09,0.14855
DRIAMS-B,havuz,0.1,0.14257
DRIAMS-B,havuz,0.11,0.14024
DRIAMS-B,havuz,0.12,0.13707
DRIAMS-B,havuz,0.13,0.13257
DRIAMS-B,havuz,0.14,0.12817
DRIAMS-B,havuz,0.15,0.12295
DRIAMS-B,havuz,0.16,0.12019
DRIAMS-B,havuz,0.17,0.11865
DRIAMS-B,havuz,0.18,0.11779
DRIAMS-B,havuz,0.19,0.11469
DRIAMS-B,havuz,0.2,0.11444
DRIAMS-B,havuz,0.21,0.10998
DRIAMS-B,havuz,0.22,0.10657
DRIAMS-B,havuz,0.23,0.10498
DRIAMS-B,havuz,0.24,0.10526
DRIAMS-B,havuz,0.25,0.10329
DRIAMS-B,havuz,0.26,0.09989
DRIAMS-B,havuz,0.27,0.09647
DRIAMS-B,havuz,0.28,0.09585
DRIAMS-B,havuz,0.29,0.09579
DRIAMS-B,havuz,0.3,0.09437
DRIAMS-B,havuz,0.31,0.09235
DRIAMS-B,havuz,0.32,0.08674
DRIAMS-B,havuz,0.33,0.08682
DRIAMS-B,havuz,0.34,0.08626
DRIAMS-B,havuz,0.35,0.0857
DRIAMS-B,havuz,0.36,0.08231
DRIAMS-B,havuz,0.37,0.0789
DRIAMS-B,havuz,0.38,0.07547
DRIAMS-B,havuz,0.39,0.07151
DRIAMS-B,havuz,0.4,0.06808
DRIAMS-B,havuz,0.41,0.06744
DRIAMS-B,havuz,0.42,0.06537
DRIAMS-B,havuz,0.43,0.06469
DRIAMS-B,havuz,0.44,0.06398
DRIAMS-B,havuz,0.45,0.05903
DRIAMS-B,havuz,0.46,0.05686
DRIAMS-B,havuz,0.47,0.05326
DRIAMS-B,havuz,0.48,0.05103
DRIAMS-B,havuz,0.49,0.05018
DRIAMS-B,havuz,0.5,0.04648
DRIAMS-B,hepsi,0.05,0.16976
DRIAMS-B,hepsi,0.06,0.16092
DRIAMS-B,hepsi,0.07,0.1519
DRIAMS-B,hepsi,0.08,0.14268
DRIAMS-B,hepsi,0.09,0.13326
DRIAMS-B,hepsi,0.1,0.12363
DRIAMS-B,hepsi,0.11,0.11378
DRIAMS-B,hepsi,0.12,0.10371
DRIAMS-B,hepsi,0.13,0.09341
DRIAMS-B,hepsi,0.14,0.08287
DRIAMS-B,hepsi,0.15,0.07208
DRIAMS-B,hepsi,0.16,0.06103
DRIAMS-B,hepsi,0.17,0.04972
DRIAMS-B,hepsi,0.18,0.03813
DRIAMS-B,hepsi,0.19,0.02626
DRIAMS-B,hepsi,0.2,0.01408
DRIAMS-B,hepsi,0.21,0.0016
DRIAMS-B,hepsi,0.22,-0.0112
DRIAMS-B,hepsi,0.23,-0.02433
DRIAMS-B,hepsi,0.24,-0.03781
DRIAMS-B,hepsi,0.25,-0.05164
DRIAMS-B,hepsi,0.26,-0.06585
DRIAMS-B,hepsi,0.27,-0.08046
DRIAMS-B,hepsi,0.28,-0.09546
DRIAMS-B,hepsi,0.29,-0.11089
DRIAMS-B,hepsi,0.3,-0.12676
DRIAMS-B,hepsi,0.31,-0.14309
DRIAMS-B,hepsi,0.32,-0.1599
DRIAMS-B,hepsi,0.33,-0.17721
DRIAMS-B,hepsi,0.34,-0.19505
DRIAMS-B,hepsi,0.35,-0.21343
DRIAMS-B,hepsi,0.36,-0.23239
DRIAMS-B,hepsi,0.37,-0.25196
DRIAMS-B,hepsi,0.38,-0.27215
DRIAMS-B,hepsi,0.39,-0.293
DRIAMS-B,hepsi,0.4,-0.31455
DRIAMS-B,hepsi,0.41,-0.33683
DRIAMS-B,hepsi,0.42,-0.35988
DRIAMS-B,hepsi,0.43,-0.38374
DRIAMS-B,hepsi,0.44,-0.40845
DRIAMS-B,hepsi,0.45,-0.43406
DRIAMS-B,hepsi,0.46,-0.46062
DRIAMS-B,hepsi,0.47,-0.48817
DRIAMS-B,hepsi,0.48,-0.51679
DRIAMS-B,hepsi,0.49,-0.54653
DRIAMS-B,hepsi,0.5,-0.57746
DRIAMS-C,ham,0.05,0.07921
DRIAMS-C,ham,0.06,0.07262
DRIAMS-C,ham,0.07,0.06329
DRIAMS-C,ham,0.08,0.05938
DRIAMS-C,ham,0.09,0.05567
DRIAMS-C,ham,0.1,0.05203
DRIAMS-C,ham,0.11,0.04892
DRIAMS-C,ham,0.12,0.04766
DRIAMS-C,ham,0.13,0.04584
DRIAMS-C,ham,0.14,0.04272
DRIAMS-C,ham,0.15,0.04227
DRIAMS-C,ham,0.16,0.04036
DRIAMS-C,ham,0.17,0.04053
DRIAMS-C,ham,0.18,0.03963
DRIAMS-C,ham,0.19,0.03844
DRIAMS-C,ham,0.2,0.03799
DRIAMS-C,ham,0.21,0.03544
DRIAMS-C,ham,0.22,0.03064
DRIAMS-C,ham,0.23,0.03031
DRIAMS-C,ham,0.24,0.02982
DRIAMS-C,ham,0.25,0.02806
DRIAMS-C,ham,0.26,0.02232
DRIAMS-C,ham,0.27,0.02
DRIAMS-C,ham,0.28,0.01866
DRIAMS-C,ham,0.29,0.01817
DRIAMS-C,ham,0.3,0.01643
DRIAMS-C,ham,0.31,0.01517
DRIAMS-C,ham,0.32,0.0149
DRIAMS-C,ham,0.33,0.01534
DRIAMS-C,ham,0.34,0.01321
DRIAMS-C,ham,0.35,0.01379
DRIAMS-C,ham,0.36,0.012
