site,kol,esik,uygunsuz,gereksiz_genis,uygunsuz_referans,bagil_azalma,agirlikli_maliyet,referans_maliyet
DRIAMS-B,ham,0.05,0.038,0.2451,0.2113,0.82,0.0748,0.2113
DRIAMS-B,ham,0.1,0.0606,0.1197,0.2113,0.7133,0.0785,0.2113
DRIAMS-B,ham,0.2,0.1099,0.0408,0.2113,0.48,0.116,0.2113
DRIAMS-B,havuz,0.05,0.0366,0.1803,0.2113,0.8267,0.0637,0.2113
DRIAMS-B,havuz,0.1,0.0592,0.0859,0.2113,0.72,0.072,0.2113
DRIAMS-B,havuz,0.2,0.0873,0.038,0.2113,0.5867,0.093,0.2113
DRIAMS-B,kalibre,0.05,0.0099,0.562,0.2113,0.9533,0.0942,0.2113
DRIAMS-B,kalibre,0.1,0.0239,0.3901,0.2113,0.8867,0.0825,0.2113
DRIAMS-B,kalibre,0.2,0.0493,0.1958,0.2113,0.7667,0.0787,0.2113
DRIAMS-C,ham,0.05,0.0737,0.2309,0.165,0.554,0.1083,0.165
DRIAMS-C,ham,0.1,0.0986,0.13,0.165,0.4031,0.1181,0.165
DRIAMS-C,ham,0.2,0.111,0.0642,0.165,0.3276,0.1206,0.165
DRIAMS-C,havuz,0.05,0.0733,0.2135,0.165,0.5558,0.1054,0.165
DRIAMS-C,havuz,0.1,0.0956,0.1179,0.165,0.4209,0.1133,0.165
DRIAMS-C,havuz,0.2,0.1153,0.0612,0.165,0.3017,0.1244,0.165
DRIAMS-C,kalibre,0.05,0.0092,0.7453,0.165,0.9445,0.121,0.165
DRIAMS-C,kalibre,0.1,0.0383,0.5007,0.165,0.7684,0.1134,0.165
DRIAMS-C,kalibre,0.2,0.093,0.1585,0.165,0.4369,0.1168,0.165
DRIAMS-D,ham,0.05,0.0508,0.1164,0.0992,0.4879,0.0683,0.0992
DRIAMS-D,ham,0.1,0.0617,0.0415,0.0992,0.3788,0.0679,0.0992
DRIAMS-D,ham,0.2,0.0707,0.0102,0.0992,0.2879,0.0722,0.0992
DRIAMS-D,havuz,0.05,0.0513,0.0588,0.0992,0.4833,0.0601,0.0992
DRIAMS-D,havuz,0.1,0.0609,0.023,0.0992,0.3864,0.0644,0.0992
DRIAMS-D,havuz,0.2,0.0689,0.0074,0.0992,0.3061,0.07,0.0992
DRIAMS-D,kalibre,0.05,0.0153,0.5257,0.0992,0.8455,0.0942,0.0992
DRIAMS-D,kalibre,0.1,0.0352,0.2513,0.0992,0.6455,0.0729,0.0992
DRIAMS-D,kalibre,0.2,0.0576,0.0716,0.0992,0.4197,0.0683,0.0992
