protokol,k,rho,ic_auroc,ic_prauc,dis_auroc,dis_prauc,dis_egim,site_gorulen,site_gorulmeyen,site_gorev
A_transductive,0,0.0,0.893,0.801,0.703,0.157,0.35,0.993,0.994,0.997
A_transductive,1,0.5,0.896,0.809,0.681,0.178,0.34,0.993,0.993,0.996
A_transductive,1,1.0,0.899,0.809,0.685,0.18,0.34,0.991,0.992,0.996
A_transductive,2,0.5,0.896,0.808,0.652,0.172,0.29,0.992,0.993,0.996
A_transductive,2,1.0,0.897,0.81,0.679,0.185,0.34,0.992,0.993,0.996
A_transductive,5,0.5,0.893,0.805,0.689,0.229,0.35,0.991,0.992,0.996
A_transductive,5,1.0,0.893,0.806,0.684,0.185,0.33,0.989,0.992,0.995
A_transductive,10,0.5,0.893,0.805,0.7,0.196,0.37,0.991,0.992,0.996
A_transductive,10,1.0,0.892,0.805,0.656,0.189,0.29,0.987,0.99,0.995
A_transductive,20,0.5,0.893,0.806,0.704,0.24,0.41,0.99,0.992,0.995
A_transductive,20,1.0,0.896,0.808,0.725,0.224,0.41,0.986,0.99,0.994
A_transductive,50,0.5,0.894,0.806,0.693,0.173,0.34,0.99,0.993,0.995
A_transductive,50,1.0,0.891,0.801,0.688,0.159,0.34,0.97,0.988,0.993
B_unseen_site,0,0.0,0.893,0.801,0.703,0.157,0.35,0.993,0.994,0.997
B_unseen_site,1,0.5,0.895,0.805,0.692,0.197,0.37,0.992,0.993,0.996
B_unseen_site,1,1.0,0.902,0.811,0.678,0.197,0.33,0.991,0.993,0.996
B_unseen_site,2,0.5,0.893,0.803,0.684,0.207,0.35,0.992,0.993,0.996
B_unseen_site,2,1.0,0.895,0.806,0.685,0.139,0.35,0.991,0.993,0.996
B_unseen_site,5,0.5,0.89,0.803,0.667,0.185,0.33,0.991,0.993,0.996
B_unseen_site,5,1.0,0.898,0.809,0.685,0.203,0.36,0.989,0.991,0.995
B_unseen_site,10,0.5,0.896,0.807,0.669,0.163,0.32,0.992,0.992,0.996
B_unseen_site,10,1.0,0.897,0.806,0.695,0.177,0.32,0.989,0.991,0.995
B_unseen_site,20,0.5,0.898,0.811,0.664,0.161,0.31,0.993,0.992,0.996
B_unseen_site,20,1.0,0.894,0.804,0.698,0.195,0.34,0.989,0.99,0.995
B_unseen_site,50,0.5,0.895,0.803,0.681,0.171,0.29,0.992,0.993,0.995
B_unseen_site,50,1.0,0.901,0.809,0.692,0.187,0.35,0.982,0.988,0.994
