protokol,k,rho,ic_auroc,ic_prauc,dis_auroc,dis_prauc,dis_egim,site_train_species,site_heldout_species,site_task_species
A_transductive,0,0.0,0.893,0.801,0.703,0.157,0.35,0.994,0.995,0.997
A_transductive,1,0.25,0.897,0.806,0.663,0.153,0.28,0.993,0.996,0.996
A_transductive,1,0.5,0.898,0.807,0.685,0.218,0.35,0.993,0.995,0.996
A_transductive,1,0.75,0.899,0.812,0.698,0.175,0.36,0.993,0.994,0.997
A_transductive,1,1.0,0.899,0.809,0.677,0.191,0.33,0.993,0.994,0.996
A_transductive,2,0.25,0.895,0.805,0.644,0.141,0.28,0.993,0.995,0.997
A_transductive,2,0.5,0.896,0.807,0.663,0.15,0.3,0.994,0.994,0.996
A_transductive,2,0.75,0.899,0.811,0.669,0.184,0.33,0.993,0.993,0.996
A_transductive,2,1.0,0.898,0.811,0.657,0.157,0.31,0.993,0.993,0.996
A_transductive,3,0.25,0.894,0.804,0.667,0.179,0.32,0.993,0.995,0.996
A_transductive,3,0.5,0.894,0.808,0.669,0.169,0.31,0.993,0.994,0.996
A_transductive,3,0.75,0.892,0.804,0.669,0.17,0.33,0.991,0.993,0.996
A_transductive,3,1.0,0.894,0.801,0.725,0.196,0.4,0.991,0.993,0.996
A_transductive,5,0.25,0.895,0.808,0.648,0.154,0.27,0.993,0.995,0.996
A_transductive,5,0.5,0.893,0.807,0.677,0.173,0.33,0.993,0.994,0.996
A_transductive,5,0.75,0.895,0.805,0.68,0.164,0.32,0.992,0.993,0.996
A_transductive,5,1.0,0.894,0.805,0.701,0.202,0.36,0.991,0.992,0.995
A_transductive,10,0.25,0.896,0.807,0.672,0.196,0.34,0.993,0.994,0.996
A_transductive,10,0.5,0.893,0.802,0.691,0.178,0.36,0.992,0.993,0.996
A_transductive,10,0.75,0.892,0.803,0.715,0.207,0.39,0.991,0.992,0.995
A_transductive,10,1.0,0.894,0.806,0.685,0.207,0.36,0.99,0.992,0.995
A_transductive,20,0.25,0.895,0.804,0.68,0.213,0.34,0.993,0.994,0.996
A_transductive,20,0.5,0.896,0.809,0.703,0.231,0.38,0.991,0.993,0.995
A_transductive,20,0.75,0.896,0.807,0.689,0.21,0.36,0.989,0.991,0.995
A_transductive,20,1.0,0.893,0.806,0.707,0.244,0.41,0.989,0.992,0.995
A_transductive,30,0.25,0.893,0.804,0.697,0.176,0.36,0.992,0.994,0.996
A_transductive,30,0.5,0.893,0.807,0.714,0.233,0.41,0.992,0.993,0.995
A_transductive,30,0.75,0.894,0.806,0.72,0.261,0.44,0.989,0.991,0.995
A_transductive,30,1.0,0.894,0.807,0.69,0.206,0.37,0.985,0.99,0.994
A_transductive,50,0.25,0.894,0.803,0.69,0.205,0.35,0.994,0.995,0.996
A_transductive,50,0.5,0.892,0.803,0.673,0.211,0.32,0.991,0.994,0.995
A_transductive,50,0.75,0.896,0.804,0.71,0.195,0.39,0.987,0.992,0.994
A_transductive,50,1.0,0.893,0.798,0.687,0.203,0.35,0.976,0.991,0.992
A_transductive,100,0.25,0.896,0.806,0.694,0.22,0.36,0.993,0.995,0.996
A_transductive,100,0.5,0.893,0.802,0.711,0.193,0.38,0.99,0.994,0.995
A_transductive,100,0.75,0.897,0.805,0.706,0.207,0.37,0.983,0.99,0.993
A_transductive,100,1.0,0.896,0.796,0.683,0.241,0.35,0.957,0.986,0.992
B_unseen_site,0,0.0,0.893,0.801,0.703,0.157,0.35,0.994,0.995,0.997
B_unseen_site,1,0.25,0.897,0.807,0.673,0.171,0.31,0.993,0.995,0.997
B_unseen_site,1,0.5,0.896,0.807,0.684,0.168,0.34,0.993,0.995,0.996
B_unseen_site,1,0.75,0.896,0.808,0.681,0.164,0.31,0.993,0.994,0.997
B_unseen_site,1,1.0,0.9,0.812,0.705,0.19,0.35,0.993,0.994,0.997
B_unseen_site,2,0.25,0.893,0.806,0.676,0.174,0.32,0.993,0.995,0.996
B_unseen_site,2,0.5,0.889,0.797,0.67,0.202,0.33,0.993,0.994,0.997
B_unseen_site,2,0.75,0.898,0.811,0.696,0.183,0.35,0.993,0.993,0.996
B_unseen_site,2,1.0,0.896,0.808,0.665,0.163,0.31,0.993,0.993,0.996
B_unseen_site,3,0.25,0.894,0.807,0.668,0.15,0.3,0.993,0.995,0.996
B_unseen_site,3,0.5,0.894,0.801,0.676,0.172,0.33,0.993,0.994,0.996
B_unseen_site,3,0.75,0.892,0.804,0.688,0.171,0.33,0.992,0.993,0.996
B_unseen_site,3,1.0,0.895,0.81,0.678,0.195,0.33,0.991,0.993,0.995
B_unseen_site,5,0.25,0.892,0.807,0.689,0.18,0.35,0.993,0.995,0.996
B_unseen_site,5,0.5,0.893,0.806,0.664,0.171,0.3,0.992,0.994,0.996
B_unseen_site,5,0.75,0.895,0.808,0.672,0.19,0.33,0.991,0.991,0.995
B_unseen_site,5,1.0,0.893,0.807,0.696,0.204,0.36,0.99,0.992,0.996
B_unseen_site,10,0.25,0.894,0.806,0.636,0.149,0.26,0.993,0.995,0.996
B_unseen_site,10,0.5,0.893,0.803,0.694,0.182,0.36,0.993,0.994,0.996
B_unseen_site,10,0.75,0.896,0.805,0.687,0.153,0.33,0.992,0.992,0.996
B_unseen_site,10,1.0,0.898,0.805,0.695,0.167,0.32,0.991,0.991,0.995
B_unseen_site,20,0.25,0.895,0.807,0.662,0.151,0.29,0.993,0.994,0.996
B_unseen_site,20,0.5,0.891,0.799,0.671,0.239,0.33,0.993,0.994,0.995
B_unseen_site,20,0.75,0.896,0.804,0.684,0.214,0.34,0.992,0.992,0.996
B_unseen_site,20,1.0,0.892,0.804,0.691,0.227,0.37,0.991,0.991,0.996
B_unseen_site,30,0.25,0.892,0.804,0.677,0.167,0.32,0.994,0.994,0.996
B_unseen_site,30,0.5,0.892,0.801,0.648,0.166,0.27,0.994,0.993,0.995
B_unseen_site,30,0.75,0.898,0.807,0.691,0.172,0.34,0.992,0.992,0.995
B_unseen_site,30,1.0,0.894,0.802,0.72,0.181,0.4,0.989,0.99,0.995
