source,target,species,drug,baseline_auroc,baseline_prauc,domain_auc_svd,target_prevalence
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,0.6334907120743034,0.5061585062582207,0.9942292239415216,0.3568075117370892
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,0.7142535535117056,0.7972850767057481,0.9994880764472504,0.5863636363636363
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Cefepime,0.7156893162393162,0.7982539526256835,0.9992330012161036,0.5863636363636363
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,0.9133468422830125,0.9144933998773587,0.999393809866133,0.4272727272727272
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,0.668884324394741,0.6143505102128455,0.9995516150692678,0.412037037037037
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,0.6099208679234406,0.5475466155739744,0.9993873836028844,0.449074074074074
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,0.7208414205658886,0.6760574057107288,0.9994082378883687,0.463302752293578
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,0.7185746492939429,0.7965139060099383,0.9994717760798378,0.5863636363636363
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,0.5768804347826088,0.34315628547106575,0.9942364575474862,0.2549889135254989
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,0.666884280593958,0.42358066165200287,0.9921129807534242,0.202572347266881
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,0.6372097491549547,0.30558091243462104,0.992367858607974,0.1595628415300546
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,0.6592335789133134,0.35009044895031693,0.9939924423604553,0.1648471615720524
DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,0.8139816204192429,0.681264305561637,0.993189458525992,0.2148481439820022
DRIAMS-A,DRIAMS-C,Escherichia coli,Cotrimoxazole,0.5918221017069701,0.41825667942486505,0.9929772894990648,0.3392857142857143
DRIAMS-A,DRIAMS-C,Escherichia coli,Norfloxacin,0.7778850435134588,0.6959411748212725,0.9940661314431748,0.273542600896861
DRIAMS-A,DRIAMS-C,Klebsiella pneumoniae,Cotrimoxazole,0.5802739726027397,0.287149812502917,0.9926792422484404,0.2021857923497267
DRIAMS-A,DRIAMS-C,Proteus mirabilis,Cotrimoxazole,0.5446428571428572,0.4304511940019218,0.9853551912568306,0.3636363636363636
DRIAMS-A,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.5768337367760445,0.1963449592308834,0.9915280418506224,0.1213517665130568
DRIAMS-A,DRIAMS-C,Staphylococcus aureus,Penicillin,0.7327489430576253,0.8934863068949386,0.991449647116792,0.7411924119241192
DRIAMS-B,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.5082500896539358,0.1436316136805636,0.9922841958437064,0.1213517665130568
