source,target,species,drug,budget_n,metric,n_pairs,hybrid_mean,random_mean,delta_mean,delta_ci_low,delta_ci_high,significant
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,20,auroc,50,0.630905572755418,0.6313003095975233,-0.0003947368421052,-0.0145288312693498,0.0134289860681114,False
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,20,prauc,50,0.514512719431596,0.5217780138554258,-0.0072652944238296,-0.0233585074769571,0.0084169038218015,False
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,20,brier,50,0.2627390078965358,0.2635790918483417,-0.0008400839518059,-0.004898832751377,0.0031601927820228,False
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,20,selected_pos,50,9.46,7.06,2.4,1.62,3.1604999999999928,True
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,30,auroc,50,0.6470975232198143,0.638266253869969,0.0088312693498451,-0.0019057662538699,0.0193188854489163,False
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,30,prauc,50,0.5375796639090452,0.5301756555410069,0.0074040083680383,-0.0052832880017756,0.0198129695781273,False
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,30,brier,50,0.2543247428599262,0.2598423379206136,-0.0055175950606874,-0.008649397932051,-0.0024876828854869,True
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,30,selected_pos,50,13.76,10.1,3.66,2.86,4.48,True
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,50,auroc,50,0.6366099071207431,0.6337383900928792,0.0028715170278637,-0.0081201625386997,0.0146054566563467,False
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,50,prauc,50,0.5312625531631435,0.5243169959327544,0.006945557230389,-0.0081039973454164,0.0222260998192266,False
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,50,brier,50,0.2468392803333239,0.2554096097518492,-0.0085703294185252,-0.0124853591130737,-0.0047757306843,True
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,50,selected_pos,50,22.34,17.8,4.54,3.74,5.32,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,20,auroc,50,0.7258719156447418,0.7285030216462282,-0.0026311060014864,-0.0091463560827759,0.0038720784559643,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,20,prauc,50,0.8017356155807633,0.8086231366051412,-0.0068875210243776,-0.0147815194505339,0.00095283620497,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,20,brier,50,0.2457494514584023,0.2411562612895176,0.0045931901688847,0.000375888351737,0.0088528926985089,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,20,selected_pos,50,8.84,11.7,-2.86,-3.62,-2.1,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,30,auroc,50,0.7293833937198066,0.7330671009847639,-0.0036837072649572,-0.01042288084123,0.0035030615942028,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,30,prauc,50,0.8048494001748384,0.8141081936458637,-0.0092587934710254,-0.0165984021437891,-0.0012517566099645,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,30,brier,50,0.2387164123284048,0.2408844677801167,-0.0021680554517119,-0.0060422656803947,0.0017657337605662,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,30,selected_pos,50,13.44,17.86,-4.42,-5.16,-3.66,True
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,50,auroc,50,0.7428226704756596,0.7453692632850242,-0.0025465928093645,-0.0096040451969528,0.0041997836538461,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,50,prauc,50,0.8173139755539188,0.8223826741326079,-0.0050686985786888,-0.012507115549823,0.0020569137651717,False
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,50,brier,50,0.2294453949281209,0.2308556255243153,-0.0014102305961943,-0.0051051403327396,0.0023532834905988,False
