transfer_id,source,target,species,drug,predicted_delta_prauc_hybrid_random,observed_delta_prauc_hybrid_random,selected_alpha,policy_choice,oracle_choice,prauc_random,prauc_hybrid,prauc_policy,prauc_oracle,auroc_random,auroc_hybrid,auroc_policy,auroc_oracle,brier_random,brier_hybrid,brier_policy,brier_oracle,policy_correct_direction,regret_prauc,budget_n
DRIAMS-A->DRIAMS-B|Escherichia coli|Amoxicillin-Clavulanic acid,DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,-0.0006992433259907,-0.0072652944238296,10.0,random,random,0.5217780138554258,0.514512719431596,0.5217780138554258,0.5217780138554258,0.6313003095975231,0.630905572755418,0.6313003095975231,0.6313003095975231,0.2635790918483417,0.2627390078965358,0.2635790918483417,0.2635790918483417,True,0.0,20
DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Amoxicillin-Clavulanic acid,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,-0.0034265759348141,-0.0068875210243776,10.0,random,random,0.8086231366051411,0.8017356155807634,0.8086231366051411,0.8086231366051411,0.7285030216462282,0.7258719156447416,0.7285030216462282,0.7285030216462282,0.2411562612895176,0.2457494514584023,0.2411562612895176,0.2411562612895176,True,0.0,20
DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Cefepime,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Cefepime,-0.0036500262263901,-0.0054611231979123,10.0,random,random,0.8063753058239068,0.8009141826259945,0.8063753058239068,0.8063753058239068,0.7292496028428094,0.7241882316053512,0.7292496028428094,0.7292496028428094,0.2416773166869711,0.2449453672668329,0.2416773166869711,0.2416773166869711,True,0.0,20
DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Ciprofloxacin,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,-0.0043746415083241,0.0029724364314139,10.0,random,hybrid,0.9195687269094992,0.9225411633409134,0.9195687269094992,0.9225411633409134,0.9184262073623776,0.9226409996622762,0.9184262073623776,0.9226409996622762,0.1100439236694365,0.0986220880928833,0.1100439236694365,0.0986220880928833,False,0.002972436431414,20
DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Clindamycin,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,-0.0032169567208647,-0.008814432305745,10.0,random,random,0.630054685366843,0.6212402530610979,0.630054685366843,0.630054685366843,0.6832056026535193,0.676197027316819,0.6832056026535193,0.6832056026535193,0.232711456100189,0.2316180720441716,0.232711456100189,0.232711456100189,True,0.0,20
DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Erythromycin,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,-0.0038665162732098,-0.0024815544166876,10.0,random,random,0.5570138871646919,0.5545323327480043,0.5570138871646919,0.5570138871646919,0.6297770187170914,0.6293388629463085,0.6297770187170914,0.6297770187170914,0.2594164078962869,0.2589550878604368,0.2594164078962869,0.2594164078962869,True,0.0,20
DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Fusidic acid,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,-0.003184041410456,-0.0061791210004867,10.0,random,random,0.6899989886390611,0.6838198676385743,0.6899989886390611,0.6899989886390611,0.7329051557969768,0.7284025165881666,0.7329051557969768,0.7329051557969768,0.2119350194202661,0.2128548699525049,0.2119350194202661,0.2119350194202661,True,0.0,20
DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Oxacillin,DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,-0.0033214016232298,-0.0047956781255374,10.0,random,random,0.8084384624907847,0.8036427843652473,0.8084384624907847,0.8084384624907847,0.7295231837606838,0.727788951597919,0.7295231837606838,0.7295231837606838,0.2364934889949176,0.2387583799776665,0.2364934889949176,0.2364934889949176,True,0.0,20
DRIAMS-A->DRIAMS-C|Escherichia coli|Amoxicillin-Clavulanic acid,DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,0.0051938975977118,-0.0018068402842357,1.0,hybrid,random,0.3403446406436144,0.3385378003593786,0.3385378003593786,0.3403446406436144,0.575945652173913,0.574018115942029,0.574018115942029,0.575945652173913,0.2015959843369813,0.202155294367001,0.202155294367001,0.2015959843369813,False,0.0018068402842357,20
DRIAMS-A->DRIAMS-C|Escherichia coli|Cefepime,DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,0.0032364626697984,0.0008703953505124,10.0,hybrid,hybrid,0.4336368981617194,0.434507293512232,0.434507293512232,0.434507293512232,0.671605222734255,0.671737071172555,0.671737071172555,0.671737071172555,0.1677900075727848,0.1647724200842963,0.1647724200842963,0.1647724200842963,True,0.0,20
DRIAMS-A->DRIAMS-C|Escherichia coli|Ceftazidime,DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,0.0028413943026836,0.0116636326718043,10.0,hybrid,hybrid,0.3043665685462357,0.3160302012180401,0.3160302012180401,0.3160302012180401,0.6369941291585127,0.6372375022238036,0.6372375022238036,0.6372375022238036,0.138929545890439,0.1380477662932632,0.1380477662932632,0.1380477662932632,True,0.0,20
DRIAMS-A->DRIAMS-C|Escherichia coli|Ceftriaxone,DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,0.0023663044855436,0.0109172853811356,1.0,hybrid,hybrid,0.3483973062266501,0.3593145916077858,0.3593145916077858,0.3593145916077858,0.6618751933282826,0.6637944609483465,0.6637944609483465,0.6637944609483465,0.1342429970998165,0.1327871205636526,0.1327871205636526,0.1327871205636526,True,0.0,20
DRIAMS-A->DRIAMS-C|Escherichia coli|Ciprofloxacin,DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,0.0041723360396236,0.0001148964418653,10.0,hybrid,hybrid,0.6824137353533398,0.6825286317952052,0.6825286317952052,0.6825286317952052,0.814588724677022,0.8148584615191274,0.8148584615191274,0.8148584615191274,0.11363039756696,0.1134329958220864,0.1134329958220864,0.1134329958220864,True,0.0,20
DRIAMS-A->DRIAMS-C|Escherichia coli|Cotrimoxazole,DRIAMS-A,DRIAMS-C,Escherichia coli,Cotrimoxazole,0.0041157217761945,-0.0004320398236363,10.0,hybrid,random,0.4232219465471963,0.42278990672356,0.42278990672356,0.4232219465471963,0.5928818456614509,0.5934641714082504,0.5934641714082504,0.5928818456614509,0.2339841581387176,0.2346034132401684,0.2346034132401684,0.2339841581387176,False,0.0004320398236363,20
DRIAMS-A->DRIAMS-C|Escherichia coli|Norfloxacin,DRIAMS-A,DRIAMS-C,Escherichia coli,Norfloxacin,0.0099518556168379,0.004544315835607,1.0,hybrid,hybrid,0.7039515236719883,0.7084958395075954,0.7084958395075954,0.7084958395075954,0.7861040275247926,0.7866140457397287,0.7866140457397287,0.7866140457397287,0.1507440925025993,0.1480637585799108,0.1480637585799108,0.1480637585799108,True,0.0,20
DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae|Cotrimoxazole,DRIAMS-A,DRIAMS-C,Klebsiella pneumoniae,Cotrimoxazole,0.0043110974523808,0.0104808711979213,1.0,hybrid,hybrid,0.3090656710663437,0.3195465422642652,0.3195465422642652,0.3195465422642652,0.6045279526101445,0.610925583117364,0.610925583117364,0.610925583117364,0.1790254262700463,0.177954388162086,0.177954388162086,0.177954388162086,True,0.0,20
DRIAMS-A->DRIAMS-C|Proteus mirabilis|Cotrimoxazole,DRIAMS-A,DRIAMS-C,Proteus mirabilis,Cotrimoxazole,0.0044323190655416,-0.0009487299359429,1.0,hybrid,random,0.4340502572297253,0.4331015272937823,0.4331015272937823,0.4340502572297253,0.5476357142857143,0.5405571428571428,0.5405571428571428,0.5476357142857143,0.3260212194267127,0.3263924097663355,0.3263924097663355,0.3260212194267127,False,0.000948729935943,20
DRIAMS-A->DRIAMS-C|Staphylococcus aureus|Clindamycin,DRIAMS-A,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.0013800268753242,0.009977915675868,1.0,hybrid,hybrid,0.2034089712674728,0.2133868869433408,0.2133868869433408,0.2133868869433408,0.5860627577550654,0.5987731307154384,0.5987731307154384,0.5987731307154384,0.117929502389276,0.1174449875133199,0.1174449875133199,0.1174449875133199,True,0.0,20
DRIAMS-A->DRIAMS-C|Staphylococcus aureus|Penicillin,DRIAMS-A,DRIAMS-C,Staphylococcus aureus,Penicillin,0.0024356916085994,0.0013080777207229,10.0,hybrid,hybrid,0.8908002092338115,0.8921082869545346,0.8921082869545346,0.8921082869545346,0.7291531175050672,0.7290673032947332,0.7290673032947332,0.7290673032947332,0.1982448479165062,0.1981435512318167,0.1981435512318167,0.1981435512318167,True,0.0,20
