source,target,species,drug,n_reps,baseline_auroc,baseline_prauc,baseline_brier,target_prevalence,target_n,target_positives,source_n,source_positives,source_prevalence,domain_auc_svd,centroid_distance_svd,covariance_distance_svd,source_to_target_nn_distance,source_internal_diversity
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,50,0.6334907120743034,0.5061585062582207,0.2753907156966467,0.3568075117370892,213.0,76.0,4826,1177,0.2438872772482387,0.9942292239415216,0.8213404417037964,0.7121804839896885,12.199859769671376,8.379811144072734
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,50,0.7142535535117056,0.7972850767057481,0.254504222894967,0.5863636363636363,220.0,129.0,4262,3006,0.7053026748005631,0.9994880764472504,0.9185713529586792,0.7998564673671007,13.192700684478954,8.246063873002587
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Cefepime,50,0.7156893162393162,0.7982539526256835,0.25400640053638596,0.5863636363636363,220.0,129.0,4261,3006,0.7054681999530626,0.9992330012161036,0.9226214289665222,0.8059718127041214,13.249262015580628,8.242995247984123
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,50,0.9133468422830125,0.9144933998773587,0.12532841497838068,0.4272727272727272,220.0,94.0,4679,2687,0.5742680059841847,0.999393809866133,0.9011023640632628,0.7968549406103177,13.086288299293544,8.171675860109836
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,50,0.668884324394741,0.6143505102128455,0.2432522556186662,0.412037037037037,216.0,89.0,4192,2125,0.5069179389312977,0.9995516150692678,0.9042452573776244,0.7971723828110981,13.281214346275984,8.251635692115048
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,50,0.6099208679234406,0.5475466155739744,0.27528374027938146,0.449074074074074,216.0,97.0,4232,2591,0.6122400756143668,0.9993873836028844,0.8977175951004028,0.8084371524301323,13.253133959254155,8.245121218407762
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,50,0.7208414205658886,0.6760574057107288,0.2161470425605729,0.463302752293578,218.0,101.0,4589,2407,0.5245151449117454,0.9994082378883687,0.893692672252655,0.7946105959498119,13.130813639479332,8.16495491566287
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,50,0.7185746492939429,0.7965139060099383,0.246396154087605,0.5863636363636363,220.0,129.0,4664,3324,0.7126929674099486,0.9994717760798378,0.8974229097366333,0.796219232488808,13.085826600466952,8.165518407337048
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,50,0.5768804347826088,0.34315628547106575,0.2012672148604795,0.2549889135254989,902.0,230.0,4826,1177,0.2438872772482387,0.9942364575474862,0.4535341262817383,0.6427631261622219,10.64051394575224,8.379811144072734
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,50,0.666884280593958,0.42358066165200287,0.16995405529197505,0.202572347266881,622.0,126.0,4890,839,0.1715746421267893,0.9921129807534242,0.510299563407898,0.6352050586154934,10.800730241159233,8.362169704076459
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,50,0.6372097491549547,0.30558091243462104,0.13900874660059684,0.1595628415300546,915.0,146.0,4822,871,0.1806304437992534,0.992367858607974,0.4452377259731293,0.6480576985783254,10.65829632380156,8.374368254993032
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,50,0.6592335789133134,0.35009044895031693,0.13388273056448052,0.1648471615720524,916.0,151.0,4961,1086,0.2189074783309816,0.9939924423604553,0.4444908499717712,0.6428219507555718,10.641363873344304,8.363616211754112
DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,50,0.8139816204192429,0.681264305561637,0.1139229425711442,0.2148481439820022,889.0,191.0,4911,1466,0.29851354103034,0.993189458525992,0.4327592849731445,0.6377758694086874,10.63365694876966,8.365212154038883
DRIAMS-A,DRIAMS-C,Escherichia coli,Cotrimoxazole,50,0.5918221017069701,0.41825667942486505,0.23501453334084924,0.3392857142857143,896.0,304.0,4888,1595,0.3263093289689034,0.9929772894990648,0.4493109285831451,0.6454129404702896,10.656523301617018,8.375323706943353
DRIAMS-A,DRIAMS-C,Escherichia coli,Norfloxacin,50,0.7778850435134588,0.6959411748212725,0.15232440099404143,0.273542600896861,446.0,122.0,1488,390,0.2620967741935484,0.9940661314431748,0.535570502281189,0.8564721015107754,11.395111713422242,9.367816715631434
DRIAMS-A,DRIAMS-C,Klebsiella pneumoniae,Cotrimoxazole,50,0.5802739726027397,0.287149812502917,0.18003286081873943,0.2021857923497267,366.0,74.0,2854,606,0.212333566923616,0.9926792422484404,0.5369187593460083,0.7660956986186117,11.283856003002096,8.537282455761114
DRIAMS-A,DRIAMS-C,Proteus mirabilis,Cotrimoxazole,50,0.5446428571428572,0.4304511940019218,0.3308651896422063,0.3636363636363636,220.0,80.0,915,266,0.2907103825136612,0.9853551912568306,0.3598484098911285,0.5053771404032915,11.119237328878516,9.592021888201351
DRIAMS-A,DRIAMS-C,Staphylococcus aureus,Clindamycin,50,0.5768337367760445,0.1963449592308834,0.1179118277295855,0.1213517665130568,651.0,79.0,3575,519,0.1451748251748251,0.9915280418506224,0.5557421445846558,0.6546996317663976,11.238172866781277,8.49693292089609
DRIAMS-A,DRIAMS-C,Staphylococcus aureus,Penicillin,50,0.7327489430576253,0.8934863068949386,0.19792630011594287,0.7411924119241192,738.0,547.0,3553,2611,0.7348719392063046,0.991449647116792,0.551287829875946,0.658242171622038,11.17401468487414,8.498923017721662
DRIAMS-B,DRIAMS-C,Staphylococcus aureus,Clindamycin,50,0.5082500896539358,0.1436316136805636,0.12135519943640145,0.1213517665130568,651.0,79.0,348,37,0.1063218390804597,0.9922841958437064,0.5828742980957031,0.7033335002769913,11.805748193017369,10.475410621878744
