source,target,species,drug,mean_delta_prauc,median_delta_prauc,positive_budget_fraction,domain_auc_svd,centroid_distance_svd,covariance_distance_svd,source_to_target_nn_distance,source_internal_diversity,source_only_auroc_mean
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,0.0065765651652003,0.0026629879341739,1.0,0.9942292239415216,0.8213404417037964,0.7121804839896885,12.199859769671376,8.379811144072734,0.6410990712074304
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,-0.0019874028518225,-0.0026968731036351,0.3333333333333333,0.9994880764472504,0.9185713529586792,0.7998564673671007,13.192700684478954,8.246063873002587,0.712153079710145
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Cefepime,-0.0110179832753168,-0.0107547162779716,0.0,0.9992330012161036,0.9226214289665222,0.8059718127041214,13.249262015580628,8.242995247984123,0.7131473894463024
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,0.0024524631517466,0.0022031804143643,1.0,0.999393809866133,0.9011023640632628,0.7968549406103177,13.086288299293544,8.171675860109836,0.914049307666329
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,-0.0095608670964938,-0.0126876546371947,0.0,0.9995516150692678,0.9042452573776244,0.7971723828110981,13.281214346275984,8.251635692115048,0.6780924072069905
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,-0.0059838669887056,-0.0110505642800014,0.3333333333333333,0.9993873836028844,0.8977175951004028,0.8084371524301323,13.253133959254155,8.245121218407762,0.6464996853261079
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,-0.020605991772772,-0.0262481168975882,0.0,0.9994082378883687,0.893692672252655,0.7946105959498119,13.130813639479332,8.16495491566287,0.6991127995324372
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,-0.0103516599573486,-0.0100544576787303,0.0,0.9994717760798378,0.8974229097366333,0.796219232488808,13.085826600466952,8.165518407337048,0.720480165366035
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,-0.0003851474944947,-0.0012828602876611,0.3333333333333333,0.9942364575474862,0.4535341262817383,0.6427631261622219,10.64051394575224,8.379811144072734,0.5697774327122154
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,0.0043515622414668,0.0015081666073192,0.6666666666666666,0.9921129807534242,0.510299563407898,0.6352050586154934,10.800730241159233,8.362169704076459,0.6730222734254993
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,0.0063586823847156,0.0074861018465884,0.6666666666666666,0.992367858607974,0.4452377259731293,0.6480576985783254,10.65829632380156,8.374368254993032,0.6413307240704501
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,0.0162612912296115,0.0159273054824462,1.0,0.9939924423604553,0.4444908499717712,0.6428219507555718,10.641363873344304,8.363616211754112,0.6613963809569033
DRIAMS-A,DRIAMS-C,Escherichia coli,Ciprofloxacin,0.0049576295280817,0.0047662530125771,1.0,0.993189458525992,0.4327592849731445,0.6377758694086874,10.63365694876966,8.365212154038883,0.8106549414366864
DRIAMS-A,DRIAMS-C,Escherichia coli,Cotrimoxazole,0.0038903612466751,0.005738120625229,0.6666666666666666,0.9929772894990648,0.4493109285831451,0.6454129404702896,10.656523301617018,8.375323706943353,0.6016447368421053
DRIAMS-A,DRIAMS-C,Escherichia coli,Norfloxacin,0.0022308972583622,0.0011511316628463,0.6666666666666666,0.9940661314431748,0.535570502281189,0.8564721015107754,11.395111713422242,9.367816715631434,0.7833130945152803
DRIAMS-A,DRIAMS-C,Klebsiella pneumoniae,Cotrimoxazole,0.012497158586615,0.0096114562162278,0.6666666666666666,0.9926792422484404,0.5369187593460083,0.7660956986186117,11.283856003002096,8.537282455761114,0.5860051832654573
DRIAMS-A,DRIAMS-C,Proteus mirabilis,Cotrimoxazole,0.030057832680758,0.0266481971467343,1.0,0.9853551912568306,0.3598484098911285,0.5053771404032915,11.119237328878516,9.592021888201351,0.5275000000000001
DRIAMS-A,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.0127005836856705,0.0079895221035125,1.0,0.9915280418506224,0.5557421445846558,0.6546996317663976,11.238172866781277,8.49693292089609,0.5648765017034247
DRIAMS-A,DRIAMS-C,Staphylococcus aureus,Penicillin,0.0052197999139486,0.0048260093486982,1.0,0.991449647116792,0.551287829875946,0.658242171622038,11.17401468487414,8.498923017721662,0.7350663312548638
DRIAMS-B,DRIAMS-C,Staphylococcus aureus,Clindamycin,0.0062479331855896,0.0077162974527751,0.6666666666666666,0.9922841958437064,0.5828742980957031,0.7033335002769913,11.805748193017369,10.475410621878744,0.5077454276492739
