budget_n,cluster_id,n_tasks,mean_gain_vs_random,direction_accuracy,mean_regret
20,DRIAMS-A->DRIAMS-B|Escherichia coli,1,-0.007265294423829727,0.0,0.007265294423829727
20,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,7,-0.0037408386344886285,0.2857142857142857,0.004165472410404928
20,DRIAMS-A->DRIAMS-C|Escherichia coli,7,0.003695949367578991,0.7142857142857143,0.00031984001541029983
20,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,1,0.0,0.0,0.01048087119792146
20,DRIAMS-A->DRIAMS-C|Proteus mirabilis,1,-0.0009487299359430268,0.0,0.0009487299359430268
20,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,2,0.005642996698295558,1.0,0.0
20,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,1,0.0,1.0,0.0
30,DRIAMS-A->DRIAMS-B|Escherichia coli,1,0.0074040083680383395,1.0,0.0
30,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,7,-0.007112864049019484,0.14285714285714285,0.007619336490857775
30,DRIAMS-A->DRIAMS-C|Escherichia coli,7,0.004846914267586743,1.0,0.0
30,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,1,0.021057341624166503,1.0,0.0
30,DRIAMS-A->DRIAMS-C|Proteus mirabilis,1,0.0053135485393879245,1.0,0.0
30,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,2,0.006383806388258209,1.0,0.0
30,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,1,0.005021939057864827,1.0,0.0
50,DRIAMS-A->DRIAMS-B|Escherichia coli,1,0.006945557230388921,1.0,0.0
50,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,7,-0.007540485979849687,0.14285714285714285,0.007888991294487233
50,DRIAMS-A->DRIAMS-C|Escherichia coli,7,0.003676291912977422,0.7142857142857143,0.0012253786023201613
50,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,1,0.015887151630269547,1.0,0.0
50,DRIAMS-A->DRIAMS-C|Proteus mirabilis,1,0.013342279610064789,1.0,0.0
50,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,2,0.011269860967205766,1.0,0.0
50,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,1,0.00830911356780542,1.0,0.0
