budget_n,outer_held_cluster,predictor,coefficient,selected_alpha
20,DRIAMS-A->DRIAMS-B|Escherichia coli,domain_auc_svd,-0.0001551077754915751,100.0
20,DRIAMS-A->DRIAMS-B|Escherichia coli,centroid_distance_svd,-0.0002708358313396955,100.0
20,DRIAMS-A->DRIAMS-B|Escherichia coli,covariance_distance_svd,0.00015240245103451857,100.0
20,DRIAMS-A->DRIAMS-B|Escherichia coli,source_to_target_nn_distance,-0.0003670214777944319,100.0
20,DRIAMS-A->DRIAMS-B|Escherichia coli,source_internal_diversity,-0.00028479843054018543,100.0
20,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,domain_auc_svd,5.523169176900139e-05,100.0
20,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,centroid_distance_svd,-0.0003675069016525431,100.0
20,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,covariance_distance_svd,0.00023669236556261478,100.0
20,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,source_to_target_nn_distance,-0.00036803226216113635,100.0
20,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,source_internal_diversity,-0.0001642953124624797,100.0
20,DRIAMS-A->DRIAMS-C|Escherichia coli,domain_auc_svd,0.001078460965380015,1.0
20,DRIAMS-A->DRIAMS-C|Escherichia coli,centroid_distance_svd,-0.005393622507334791,1.0
20,DRIAMS-A->DRIAMS-C|Escherichia coli,covariance_distance_svd,0.003847551999156852,1.0
20,DRIAMS-A->DRIAMS-C|Escherichia coli,source_to_target_nn_distance,-0.003636637373606504,1.0
20,DRIAMS-A->DRIAMS-C|Escherichia coli,source_internal_diversity,-0.0011419996591216575,1.0
20,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,domain_auc_svd,-0.00015960279265224338,100.0
20,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,centroid_distance_svd,-0.0003771539491042955,100.0
20,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,covariance_distance_svd,-0.00011798165641339243,100.0
20,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,source_to_target_nn_distance,-0.0003499444887808929,100.0
20,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,source_internal_diversity,1.8977058152116238e-05,100.0
20,DRIAMS-A->DRIAMS-C|Proteus mirabilis,domain_auc_svd,-0.00039522144185647135,100.0
20,DRIAMS-A->DRIAMS-C|Proteus mirabilis,centroid_distance_svd,-0.0005925541450876312,100.0
20,DRIAMS-A->DRIAMS-C|Proteus mirabilis,covariance_distance_svd,-2.19212977391711e-05,100.0
20,DRIAMS-A->DRIAMS-C|Proteus mirabilis,source_to_target_nn_distance,-0.00047058185961625315,100.0
20,DRIAMS-A->DRIAMS-C|Proteus mirabilis,source_internal_diversity,-6.177493465724314e-05,100.0
20,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,domain_auc_svd,-0.0009935899120236684,1.0
20,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,centroid_distance_svd,-0.005704105475403448,1.0
20,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,covariance_distance_svd,0.004833754092413893,1.0
20,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,source_to_target_nn_distance,-0.001970599424623879,1.0
20,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,source_internal_diversity,-0.0008110036320716852,1.0
20,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,domain_auc_svd,-0.002290890640803671,1.0
20,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,centroid_distance_svd,-0.006075123115202803,1.0
20,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,covariance_distance_svd,0.004705953409135608,1.0
20,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,source_to_target_nn_distance,-0.0014159039060933091,1.0
20,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,source_internal_diversity,-0.001829140645989215,1.0
30,DRIAMS-A->DRIAMS-B|Escherichia coli,domain_auc_svd,-0.0004731949079840455,100.0
30,DRIAMS-A->DRIAMS-B|Escherichia coli,centroid_distance_svd,-0.0005264964488897629,100.0
30,DRIAMS-A->DRIAMS-B|Escherichia coli,covariance_distance_svd,0.0001066689746611398,100.0
30,DRIAMS-A->DRIAMS-B|Escherichia coli,source_to_target_nn_distance,-0.0005615368941465454,100.0
30,DRIAMS-A->DRIAMS-B|Escherichia coli,source_internal_diversity,-9.801259017805576e-06,100.0
30,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,domain_auc_svd,0.00010910839669558387,100.0
30,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,centroid_distance_svd,3.935865090827054e-06,100.0
30,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,covariance_distance_svd,0.0003461006985030795,100.0
30,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,source_to_target_nn_distance,-1.734340958231708e-05,100.0
30,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,source_internal_diversity,-0.00024955335418353153,100.0
30,DRIAMS-A->DRIAMS-C|Escherichia coli,domain_auc_svd,-0.0002836478529815022,100.0
30,DRIAMS-A->DRIAMS-C|Escherichia coli,centroid_distance_svd,-0.0003971237877872366,100.0
30,DRIAMS-A->DRIAMS-C|Escherichia coli,covariance_distance_svd,5.696910091213529e-05,100.0
30,DRIAMS-A->DRIAMS-C|Escherichia coli,source_to_target_nn_distance,-0.0005076072726944009,100.0
30,DRIAMS-A->DRIAMS-C|Escherichia coli,source_internal_diversity,-4.648850287196028e-05,100.0
30,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,domain_auc_svd,-0.0004142096526389502,100.0
30,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,centroid_distance_svd,-0.0002573731416644288,100.0
30,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,covariance_distance_svd,-0.00030815627452598107,100.0
30,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,source_to_target_nn_distance,-0.0003483654988397518,100.0
30,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,source_internal_diversity,0.00017854793684780082,100.0
30,DRIAMS-A->DRIAMS-C|Proteus mirabilis,domain_auc_svd,-0.0006868745024141463,100.0
30,DRIAMS-A->DRIAMS-C|Proteus mirabilis,centroid_distance_svd,-0.0005253550699161905,100.0
30,DRIAMS-A->DRIAMS-C|Proteus mirabilis,covariance_distance_svd,-2.0773338514814276e-05,100.0
30,DRIAMS-A->DRIAMS-C|Proteus mirabilis,source_to_target_nn_distance,-0.000531679972852903,100.0
30,DRIAMS-A->DRIAMS-C|Proteus mirabilis,source_internal_diversity,-4.845901781697453e-06,100.0
30,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,domain_auc_svd,-0.0004563812692360648,100.0
30,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,centroid_distance_svd,-0.00043256386317372527,100.0
30,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,covariance_distance_svd,9.918464959411903e-05,100.0
30,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,source_to_target_nn_distance,-0.0005138108029858718,100.0
30,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,source_internal_diversity,-5.195594013203205e-05,100.0
30,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,domain_auc_svd,-0.00045984422934631017,100.0
30,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,centroid_distance_svd,-0.00044980254556044,100.0
30,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,covariance_distance_svd,0.00012567210407791248,100.0
30,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,source_to_target_nn_distance,-0.0005250377441950654,100.0
30,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,source_internal_diversity,5.188602595503525e-05,100.0
50,DRIAMS-A->DRIAMS-B|Escherichia coli,domain_auc_svd,-0.0008005860684509935,100.0
50,DRIAMS-A->DRIAMS-B|Escherichia coli,centroid_distance_svd,-0.0006084553275916548,100.0
50,DRIAMS-A->DRIAMS-B|Escherichia coli,covariance_distance_svd,-0.00034335657198009026,100.0
50,DRIAMS-A->DRIAMS-B|Escherichia coli,source_to_target_nn_distance,-0.0005425070423754878,100.0
50,DRIAMS-A->DRIAMS-B|Escherichia coli,source_internal_diversity,0.0003617640785684488,100.0
50,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,domain_auc_svd,-0.0002633359271825154,100.0
50,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,centroid_distance_svd,-0.00012921612155774423,100.0
50,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,covariance_distance_svd,1.1212390640036173e-05,100.0
50,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,source_to_target_nn_distance,1.660842731816342e-05,100.0
50,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,source_internal_diversity,1.5050201042716813e-05,100.0
50,DRIAMS-A->DRIAMS-C|Escherichia coli,domain_auc_svd,-0.0033053606002422845,1.0
50,DRIAMS-A->DRIAMS-C|Escherichia coli,centroid_distance_svd,-0.000760187920624145,1.0
50,DRIAMS-A->DRIAMS-C|Escherichia coli,covariance_distance_svd,0.0020809601926654667,1.0
50,DRIAMS-A->DRIAMS-C|Escherichia coli,source_to_target_nn_distance,-0.006086778651447816,1.0
50,DRIAMS-A->DRIAMS-C|Escherichia coli,source_internal_diversity,-0.00026602670028800965,1.0
50,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,domain_auc_svd,-0.0023344934538757633,10.0
50,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,centroid_distance_svd,-0.0003009724315463981,10.0
50,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,covariance_distance_svd,-0.0010524844816692577,10.0
50,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,source_to_target_nn_distance,-0.0011703259657437062,10.0
50,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,source_internal_diversity,0.0007642279920065291,10.0
50,DRIAMS-A->DRIAMS-C|Proteus mirabilis,domain_auc_svd,-0.009536070772863014,1.0
50,DRIAMS-A->DRIAMS-C|Proteus mirabilis,centroid_distance_svd,0.0005587129254519466,1.0
50,DRIAMS-A->DRIAMS-C|Proteus mirabilis,covariance_distance_svd,0.0032898401239718905,1.0
50,DRIAMS-A->DRIAMS-C|Proteus mirabilis,source_to_target_nn_distance,-0.0007932392903008231,1.0
50,DRIAMS-A->DRIAMS-C|Proteus mirabilis,source_internal_diversity,-0.0006152313802335376,1.0
50,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,domain_auc_svd,-0.0007565039392859661,100.0
50,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,centroid_distance_svd,-0.0005237420240490617,100.0
50,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,covariance_distance_svd,-0.00029913374735619037,100.0
50,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,source_to_target_nn_distance,-0.00047480240222923465,100.0
50,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,source_internal_diversity,0.00039177940667291196,100.0
50,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,domain_auc_svd,-0.0007654649606677695,100.0
50,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,centroid_distance_svd,-0.0005416478531975514,100.0
50,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,covariance_distance_svd,-0.00031000482932173385,100.0
50,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,source_to_target_nn_distance,-0.0005177701753149408,100.0
50,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,source_internal_diversity,0.000476524246341411,100.0
