budget_n,excluded_species,excluded_n,remaining_n,full_mean_gain_vs_random,delta_from_full,n_transfers,mean_random_prauc,mean_hybrid_prauc,mean_policy_prauc,mean_oracle_prauc,mean_gain_vs_random,mean_gain_vs_hybrid,sign_accuracy,mean_regret,zero_regret_fraction
20,Escherichia coli,8,12,0.0023344890115811244,-0.0014730503898604504,12,0.6003043112311786,0.599372352335645,0.6011657498528992,0.6023659196500057,0.000861438621720674,0.0017933975172540844,0.75,0.0012001697971065484,0.75
20,Klebsiella pneumoniae,1,19,0.0023344890115811244,-0.00042875695717580734,19,0.560668247195472,0.5605072984167826,0.5625739792498773,0.5628981922222579,0.001905732054405317,0.0020666808330947473,0.7894736842105263,0.00032421297238048526,0.7894736842105263
20,Proteus mirabilis,1,19,0.0023344890115811244,-0.00020958291980555663,19,0.5540901110816098,0.5545307202573343,0.5562150171733853,0.5568716809082862,0.002124906091775568,0.0016842969160510775,0.7894736842105263,0.0006566637349008378,0.7894736842105263
20,Staphylococcus aureus,3,17,0.0023344890115811244,-0.00019610567211204247,17,0.5718411620177745,0.5716347795925903,0.5739795453572436,0.5742860933889662,0.002138383339469082,0.002344765764653266,0.8235294117647058,0.0003065480317227172,0.8235294117647058
20,Staphylococcus epidermidis,7,13,0.0023344890115811244,0.0006708831455077258,13,0.44166839806002955,0.4446737702171184,0.4446737702171184,0.4455051203889094,0.0030053721570888503,0.0,0.6153846153846154,0.000831350171790966,0.6153846153846154
30,Escherichia coli,8,12,0.003653345140658902,-0.0004161040191132566,12,0.6054171915984197,0.6049480577363194,0.6086544327199652,0.6093926706893198,0.0032372411215456456,0.003706374983645705,0.8333333333333334,0.000738237969354664,0.8333333333333334
30,Klebsiella pneumoniae,1,19,0.003653345140658902,-0.0002620025819791809,19,0.5642126384002527,0.5649834520987674,0.5676039809589324,0.5677905760690835,0.0033913425586797213,0.002620528860165073,0.9473684210526315,0.00018659511015094968,0.9473684210526315
30,Proteus mirabilis,1,19,0.003653345140658902,0.0005666181066933756,19,0.5574043804046355,0.5590038147918226,0.5616243436519877,0.5618109387621386,0.004219963247352278,0.002620528860165073,0.9473684210526315,0.00018659511015094968,0.9473684210526315
30,Staphylococcus aureus,3,17,0.003653345140658902,-0.00010632807967880667,17,0.5755340310355007,0.5765877516273573,0.5790810480964808,0.579725125476534,0.0035470170609800955,0.0024932964691234145,0.8823529411764706,0.0006440773800533167,0.8823529411764706
30,Staphylococcus epidermidis,7,13,0.003653345140658902,0.002923027954655037,13,0.44413386645631686,0.45071023955163064,0.45071023955163064,0.45071023955163064,0.006576373095313939,0.0,1.0,0.0,1.0
50,Escherichia coli,8,12,0.004222437689798837,0.0007840845387471042,12,0.6141041300508095,0.6147120354577764,0.6191106522793555,0.6193139470462273,0.005006522228545941,0.004398616821578984,0.9166666666666666,0.00020329476687190132,0.9166666666666666
50,Klebsiella pneumoniae,1,19,0.004222437689798837,-0.0011136837911766406,19,0.5692261960125035,0.5704939493743226,0.5723349499111258,0.573851875125778,0.0031087538986221963,0.001841000536802996,0.7368421052631579,0.0015169252146523596,0.7368421052631579
50,Proteus mirabilis,1,19,0.004222437689798837,-0.0004799916800139973,19,0.5635162455694873,0.564917939563949,0.5672586915792721,0.5682758653154043,0.0037424460097848396,0.0023407520153232836,0.7894736842105263,0.0010171737361320719,0.7894736842105263
50,Staphylococcus aureus,3,17,0.004222437689798837,-0.0017741321003216896,17,0.5823348412353863,0.5828716430002461,0.5847831468248634,0.586624618840108,0.0024483055894771472,0.0019115038246173,0.7058823529411765,0.001841472015244568,0.7058823529411765
50,Staphylococcus epidermidis,7,13,0.004222437689798837,0.002912782876645945,13,0.44797645272935455,0.45511167329579927,0.45511167329579927,0.4557714925432025,0.007135220566444782,0.0,0.8461538461538461,0.0006598192474031637,0.8461538461538461
