method,pseudo_low,pseudo_high,clip,source_ess,auroc,prauc,brier,slope,n,positives,prevalence,n_target_pseudo_S,n_target_pseudo_R,n_target_ambiguous
baseline,,,,3790.0,0.702558001189768,0.1565928455085102,0.057078000819276484,0.3488706899870893,738,41,0.05555555555555555,,,
pseudo_class_conditional_weight,0.1,0.9,2.0,360.8172859596349,0.6769429961157574,0.18921558570995906,0.05335306635389247,0.31547146135290577,738,41,0.05555555555555555,630.0,1.0,107.0
pseudo_class_conditional_weight,0.1,0.9,5.0,210.90445374896385,0.6768730097630962,0.1788541495197188,0.05201586449588348,0.3427788153035673,738,41,0.05555555555555555,630.0,1.0,107.0
pseudo_class_conditional_weight,0.1,0.9,10.0,139.74388161140195,0.6409700108478846,0.1151577145993172,0.05552194651205088,0.2622066680530016,738,41,0.05555555555555555,630.0,1.0,107.0
pseudo_class_conditional_weight,0.1,0.9,20.0,101.56433171529777,0.6912552052349793,0.137031440996408,0.055096175277680494,0.32247920711235684,738,41,0.05555555555555555,630.0,1.0,107.0
pseudo_class_conditional_weight,0.2,0.8,2.0,356.51117996504627,0.6721839241347937,0.1522538550395401,0.05267470057551194,0.31260713410604185,738,41,0.05555555555555555,683.0,2.0,53.0
pseudo_class_conditional_weight,0.2,0.8,5.0,218.0816804092066,0.6664450432165727,0.15791578855738278,0.0535332137435041,0.3045795293181353,738,41,0.05555555555555555,683.0,2.0,53.0
pseudo_class_conditional_weight,0.2,0.8,10.0,142.4382341130252,0.6761031598838226,0.15334456835302301,0.05276272321128939,0.3400826873320178,738,41,0.05555555555555555,683.0,2.0,53.0
pseudo_class_conditional_weight,0.2,0.8,20.0,96.71712728569145,0.6726038422507612,0.11978279079048566,0.05523306563723923,0.302673171783196,738,41,0.05555555555555555,683.0,2.0,53.0
pseudo_class_conditional_weight,0.3,0.7,2.0,356.04763112502513,0.6762081394128145,0.18507915798159574,0.05247002325332457,0.3210723233744047,738,41,0.05555555555555555,705.0,5.0,28.0
pseudo_class_conditional_weight,0.3,0.7,5.0,209.87452985337202,0.6871260104279665,0.12900206288958163,0.054528971144639164,0.3201996666780726,738,41,0.05555555555555555,705.0,5.0,28.0
pseudo_class_conditional_weight,0.3,0.7,10.0,142.28791531411045,0.6840466109108724,0.13473114922076943,0.054627672765107896,0.3309760412756378,738,41,0.05555555555555555,705.0,5.0,28.0
pseudo_class_conditional_weight,0.3,0.7,20.0,97.19630796388927,0.6408300381425621,0.1089144466555142,0.05646529323373218,0.25342644596643166,738,41,0.05555555555555555,705.0,5.0,28.0
