method,k,ncomp,temperature,auroc,prauc,brier,slope,n,positives,prevalence,mean_support_distance
baseline_lgbm,,100,,0.702558001189768,0.1565928455085102,0.057078000819276484,0.3488706899870893,738,41,0.05555555555555555,
weighted_knn,25.0,100,13.012989054189454,0.5612555551667425,0.09459017959852764,0.09863390691785061,0.07635399569189548,738,41,0.05555555555555555,13.544119575702078
weighted_knn,50.0,100,13.370121965871583,0.5936592364488924,0.09122311314934578,0.09019015100297675,0.3819203075522455,738,41,0.05555555555555555,13.896775666187771
weighted_knn,100.0,100,13.644621382222901,0.596423697379011,0.09515425510206131,0.08431119533593885,0.5999789544512579,738,41,0.05555555555555555,14.233207266750698
weighted_knn,200.0,100,13.899397860036622,0.6136753333100046,0.10229459299359295,0.07815792450376721,1.0484280869286797,738,41,0.05555555555555555,14.547751709271253
weighted_knn,400.0,100,14.172588358388673,0.6478986597613465,0.12149160559116379,0.07441645204723688,2.1307608287876567,738,41,0.05555555555555555,14.853826896436816
class_balanced_knn,10.0,100,13.32215977715088,0.5666445043216572,0.1435743157101645,0.06836264263544915,5.649808611233221,738,41,0.05555555555555555,13.606365575150745
class_balanced_knn,25.0,100,13.728221903310548,0.5680092381985513,0.10005081835422154,0.0687601798773346,6.378651305956399,738,41,0.05555555555555555,14.01828685658411
class_balanced_knn,50.0,100,14.02673626946045,0.5789271092137034,0.09930663666519907,0.06900269336607064,8.961202793890292,738,41,0.05555555555555555,14.33160588679275
class_balanced_knn,100.0,100,14.348215589986573,0.5901599188158309,0.10207126608354938,0.0691354596205723,15.157505363898927,738,41,0.05555555555555555,14.646295169268843
