method,selection_rule,requested_coverage,actual_coverage,mean_confidence,mean_support,auroc,prauc,brier,slope,n,positives,prevalence
baseline,confidence,0.2,0.2005420054200542,0.9981477932651035,,0.16095890410958907,0.011751275852806876,0.013505994318975563,-1.7438297424826914,148,2,0.013513513513513514
baseline,confidence,0.3,0.2994579945799458,0.997129529936945,,0.47962962962962963,0.028322111551563604,0.02256581966673417,-0.319055720466355,221,5,0.02262443438914027
baseline,confidence,0.4,0.3997289972899729,0.9956817271597983,,0.49156746031746024,0.027521315294409952,0.02363749789108562,-0.1634371516748205,295,7,0.023728813559322035
baseline,confidence,0.5,0.5,0.9934505557117915,,0.5967496190959878,0.06547597989612605,0.029561379755761657,0.21963885201796482,369,11,0.02981029810298103
baseline,confidence,0.6,0.6002710027100271,0.9902154670267984,,0.5944055944055944,0.05420539882629593,0.03123415390934842,0.22298883603874467,443,14,0.03160270880361174
baseline,confidence,0.7,0.7005420054200542,0.9847002318368827,,0.5679890219560878,0.05402776433676587,0.030488177875522257,0.1429314004575386,517,16,0.030947775628626693
baseline,confidence,0.8,0.7994579945799458,0.9750225477471796,,0.6202784891165174,0.10585160515006933,0.03475432641031799,0.34759779330962004,590,22,0.03728813559322034
baseline,confidence,0.9,0.8997289972899729,0.95586019928181,,0.6677181913774974,0.15115857500362762,0.04261034922869227,0.3680997441615443,664,30,0.045180722891566265
baseline,confidence,1.0,1.0,0.9045834172406845,,0.702558001189768,0.1565928455085102,0.0570780008192765,0.3488706899870832,738,41,0.05555555555555555
knn_25,confidence,0.2,0.2005420054200542,0.9503185714615988,15.098497989628763,0.6027972027972028,0.0777992277992278,0.03284834083766351,0.01666066694893757,148,5,0.033783783783783786
knn_25,confidence,0.3,0.2994579945799458,0.9115538018586135,14.566789428055017,0.6134199134199134,0.07394308714703665,0.04710818592859294,0.06560365281644158,221,11,0.049773755656108594
knn_25,confidence,0.4,0.3997289972899729,0.8687304298523247,14.286913056195793,0.5909498207885304,0.0709136739631924,0.05222556506252883,0.06927157089623551,295,16,0.05423728813559322
knn_25,confidence,0.5,0.5,0.8236997452592185,14.063114094876338,0.5351879699248121,0.05540688053850136,0.05843117029614967,0.05250058897588562,369,19,0.051490514905149054
knn_25,confidence,0.6,0.6002710027100271,0.781230225129012,13.952270463594736,0.552903739061257,0.0797220112435435,0.06389042554110096,0.06557021088145865,443,24,0.05417607223476298
knn_25,confidence,0.7,0.7005420054200542,0.7394611705705688,13.837601520899879,0.5614754098360656,0.09307111995815605,0.07042613516087408,0.08234394451984671,517,29,0.05609284332688588
knn_25,confidence,0.8,0.7994579945799458,0.6975602607161852,13.673777159189774,0.5332102256333313,0.08417053795404282,0.07531678618339122,0.07108463972944518,590,31,0.05254237288135593
knn_25,confidence,0.9,0.8997289972899729,0.6520665498617852,13.57947872268148,0.538859868271633,0.08713814707360114,0.08496082808433934,0.06674879099182342,664,35,0.05271084337349398
knn_25,confidence,1.0,1.0,0.599087184099623,13.544119575702078,0.5612555551667425,0.09459017959852764,0.09863390691785061,0.07635399569189541,738,41,0.05555555555555555
knn_25,support,0.2,0.2005420054200542,0.5938536238807594,9.228308452271126,0.5131712259371833,0.07498572795767092,0.08975856015456211,-0.042298798629999926,148,7,0.0472972972972973
knn_25,support,0.3,0.2994579945799458,0.5912063682280843,9.772858378639048,0.5175576519916143,0.05376974932978016,0.09080464590506147,-0.0303704659775132,221,9,0.04072398190045249
knn_25,support,0.4,0.3997289972899729,0.57205696513134,10.260787324614444,0.5180952380952382,0.08122985943511843,0.10085566174922544,0.004512518448722069,295,15,0.05084745762711865
knn_25,support,0.5,0.5,0.5697009657244569,10.70957566584352,0.5221589110477999,0.09160565623235419,0.09911614264905622,0.02971765430899548,369,18,0.04878048780487805
knn_25,support,0.6,0.6002710027100271,0.5716009766457787,11.155123339883362,0.5313245823389021,0.09120421661807981,0.09995580724316197,0.0009648606654602439,443,24,0.05417607223476298
knn_25,support,0.7,0.7005420054200542,0.5802470303687854,11.602844008550884,0.5671283210853589,0.10717772484263198,0.09872120994298077,0.03838550174584116,517,29,0.05609284332688588
knn_25,support,0.8,0.7994579945799458,0.5777700868389755,12.077101514299038,0.5743974756542083,0.10191480726234384,0.09975977202251805,0.05189071503147277,590,33,0.05593220338983051
knn_25,support,0.9,0.8997289972899729,0.5868799620214494,12.642676549733403,0.5788780377015671,0.09432826447143211,0.09745602702143771,0.06678661036265654,664,35,0.05271084337349398
knn_25,support,1.0,1.0,0.599087184099623,13.544119575702078,0.5612555551667425,0.09459017959852764,0.09863390691785061,0.07635399569189553,738,41,0.05555555555555555
