method,keep_fraction,n_source,positives_source,source_prevalence,domain_auroc,auroc,prauc,brier,slope,n,positives,prevalence
baseline,1.0,3790,726,0.19155672823218997,0.9943518458931292,0.702558001189768,0.1565928455085102,0.057078000819276484,0.3488706899870893,738,41,0.05555555555555555
global_target_like_pruning,0.1,379,83,0.21899736147757257,0.9943518458931292,0.6596563670084333,0.12589543539727902,0.05616094796239964,0.29988821650928527,738,41,0.05555555555555555
class_stratified_target_like_pruning,0.1,379,73,0.19261213720316622,0.9943518458931292,0.6614760121776254,0.1397102799738725,0.054231173155583075,0.3168906234787971,738,41,0.05555555555555555
global_target_like_pruning,0.2,758,172,0.22691292875989447,0.9943518458931292,0.6259929313783812,0.14848570216853443,0.06459694822573346,0.22698894159602517,738,41,0.05555555555555555
class_stratified_target_like_pruning,0.2,758,145,0.19129287598944592,0.9943518458931292,0.6059418413409385,0.11118736889766824,0.05914331548884573,0.1806745923054854,738,41,0.05555555555555555
global_target_like_pruning,0.3,1137,262,0.23043095866314864,0.9943518458931292,0.6283724673688631,0.15899785751760862,0.0641131972264417,0.2220358336096043,738,41,0.05555555555555555
class_stratified_target_like_pruning,0.3,1137,218,0.1917326297273527,0.9943518458931292,0.6121356335514574,0.17994817691767273,0.059219455889115494,0.19593982881794084,738,41,0.05555555555555555
global_target_like_pruning,0.5,1895,401,0.21160949868073878,0.9943518458931292,0.6358960002799453,0.13448921835804623,0.05918920311547132,0.20341345306131267,738,41,0.05555555555555555
class_stratified_target_like_pruning,0.5,1895,363,0.19155672823218997,0.9943518458931292,0.6408300381425622,0.14538058452481245,0.062336741022770856,0.20369321313943717,738,41,0.05555555555555555
global_target_like_pruning,0.75,2842,573,0.2016185784658691,0.9943518458931292,0.6934947685201386,0.18584406036124507,0.05473216132432154,0.32945298422880165,738,41,0.05555555555555555
class_stratified_target_like_pruning,0.75,2842,544,0.19141449683321604,0.9943518458931292,0.6670049340378627,0.17434182938849965,0.0566975026509305,0.28775685736621454,738,41,0.05555555555555555
