budget_n,held_cluster,n_tasks,observed_mean_delta_prauc,predicted_mean_delta_prauc,prediction_error_mean,direction_accuracy,mean_gain_vs_random,mean_gain_vs_hybrid,mean_regret,policy_hybrid_fraction,oracle_hybrid_fraction,n_descriptors_outside_training_range,max_abs_z_vs_train_clusters,min_descriptor_percentile,max_descriptor_percentile,nearest_training_cluster_distance_z,mean_training_cluster_distance_z,nearest_training_cluster,domain_auc_svd,centroid_distance_svd,covariance_distance_svd,source_to_target_nn_distance,source_internal_diversity,selected_alpha,n_train_clusters,failure_rank_by_regret,ood_rank_by_nearest_distance
20,DRIAMS-A->DRIAMS-C|Klebsiella pneumoniae,1,0.0104808711979213,-0.0004790810790665,-0.0109599522769878,0.0,0.0,-0.010480871197921515,0.0104808711979214,0.0,1.0,0,0.9407902512840396,33.333333333333336,83.33333333333333,1.1686432312302077,2.198297557361791,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,0.9926792422484404,0.5369187593460083,0.7660956986186117,11.283856003002096,8.537282455761114,100.0,6,1.0,5.0
20,DRIAMS-A->DRIAMS-B|Escherichia coli,1,-0.0072652944238296,0.0020515484776062,0.0093168429014358,0.0,-0.007265294423829727,0.0,0.0072652944238297,1.0,0.0,0,1.3824216187182483,16.666666666666668,83.33333333333333,1.899421179105993,2.585270805096394,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,0.9942292239415216,0.8213404417037964,0.7121804839896885,12.199859769671376,8.379811144072734,100.0,6,2.0,4.0
20,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,7,-0.004520999091333243,9.873864371844384e-05,0.004619737735051687,0.2857142857142857,-0.003740838634488613,0.0007801604568446237,0.004165472410404886,0.8571428571428571,0.14285714285714285,5,3.466733633548696,0.0,100.0,2.762698157787228,5.318933895362261,DRIAMS-A->DRIAMS-B|Escherichia coli,0.9994191285956922,0.90505336863654,0.79987465490877,13.182748506404222,8.212566459231324,100.0,6,3.0,3.0
20,DRIAMS-A->DRIAMS-C|Proteus mirabilis,1,-0.0009487299359429,0.0034057032774525,0.0043544332133954,0.0,-0.0009487299359429713,0.0,0.000948729935943,1.0,0.0,3,3.8759913184855783,0.0,83.33333333333333,3.8810885757332008,5.478371259734986,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,0.9853551912568306,0.3598484098911285,0.5053771404032915,11.119237328878516,9.592021888201351,100.0,6,4.0,1.0
20,DRIAMS-A->DRIAMS-C|Escherichia coli,7,0.003695949367578943,0.009272541835636713,0.005576592468057772,0.7142857142857143,0.003695949367578991,0.0,0.0003198400154102857,1.0,0.7142857142857143,1,1.2897306065512446,0.0,66.66666666666667,0.8113469641965447,2.3501050797532788,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,0.9932775169625102,0.46731471163885935,0.672644106500195,10.775170906838037,8.512616841644286,1.0,6,5.0,6.0
20,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,2,0.00564299669829545,0.0016861105626248,-0.00395688613567065,1.0,0.00564299669829553,0.0,0.0,1.0,1.0,0,0.5967783455934264,16.666666666666668,50.0,0.7704335056134358,2.0480553997245714,DRIAMS-A->DRIAMS-C|Escherichia coli,0.9914888444837071,0.5535149872303009,0.6564709016942178,11.206093775827707,8.497927969308876,1.0,6,6.0,7.0
20,DRIAMS-B->DRIAMS-C|Staphylococcus aureus,1,-0.0003546477656377,-0.0062953736910439,-0.0059407259254062005,1.0,0.0,0.0003546477656377889,0.0,0.0,0.0,1,3.7803954887057643,33.333333333333336,100.0,3.304239431992147,4.261251093889171,DRIAMS-A->DRIAMS-C|Proteus mirabilis,0.9922841958437064,0.5828742980957031,0.7033335002769913,11.805748193017369,10.475410621878744,1.0,6,6.0,2.0
30,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,7,-0.007112864049019457,0.009559636978064058,0.016672501027083515,0.14285714285714285,-0.007112864049019467,0.0,0.0076193364908577425,1.0,0.14285714285714285,5,3.466733633548696,0.0,100.0,2.762698157787228,5.318933895362261,DRIAMS-A->DRIAMS-B|Escherichia coli,0.9994191285956922,0.90505336863654,0.79987465490877,13.182748506404222,8.212566459231324,100.0,6,1.0,3.0
30,DRIAMS-A->DRIAMS-B|Escherichia coli,1,0.0074040083680383,0.0047711059122844,-0.0026329024557538994,1.0,0.0074040083680383395,0.0,0.0,1.0,1.0,0,1.3824216187182483,16.666666666666668,83.33333333333333,1.899421179105993,2.585270805096394,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis,0.9942292239415216,0.8213404417037964,0.7121804839896885,12.199859769671376,8.379811144072734,100.0,6,2.0,4.0
30,DRIAMS-A->DRIAMS-C|Escherichia coli,7,0.004846914267586657,0.007229296241014986,0.002382381973428329,1.0,0.004846914267586743,0.0,0.0,1.0,1.0,1,1.2897306065512446,0.0,66.66666666666667,0.8113469641965447,2.3501050797532788,DRIAMS-A->DRIAMS-C|Staphylococcus aureus,0.9932775169625102,0.46731471163885935,0.672644106500195,10.775170906838037,8.512616841644286,100.0,6,2.0,6.0
