rep,kol,n,auroc,prauc
0,source,0,0.589,0.1464
0,recal,100,0.5885,0.1459
0,head,100,0.5745,0.138
0,full,100,0.5679,0.1297
0,local,100,0.6126,0.1955
0,pooled,100,0.58,0.1372
0,recal,500,0.5885,0.1459
0,head,500,0.5564,0.1355
0,full,500,0.5652,0.1366
0,local,500,0.549,0.1666
0,pooled,500,0.611,0.2282
1,source,0,0.6417,0.1807
1,recal,100,0.6454,0.1806
1,head,100,0.6397,0.1759
1,full,100,0.6044,0.1485
1,local,100,0.5404,0.1106
1,pooled,100,0.6025,0.1845
1,recal,500,0.6454,0.1806
1,head,500,0.6241,0.1556
1,full,500,0.6495,0.2065
1,local,500,0.6515,0.2504
1,pooled,500,0.6618,0.2879
2,source,0,0.6222,0.1953
2,recal,100,0.6236,0.195
2,head,100,0.6015,0.1803
2,full,100,0.5614,0.139
2,local,100,0.5356,0.1156
2,pooled,100,0.5877,0.1641
2,recal,500,0.6236,0.195
2,head,500,0.5736,0.1545
2,full,500,0.616,0.1948
2,local,500,0.6034,0.2058
2,pooled,500,0.6183,0.2332
