rep,yontem,reg,auroc,prauc,egim,site
0,none,,0.6274630541871922,0.10145593872722619,0.23680692813510493,0.9910866150304841
0,sinkhorn,1.0,0.49045566502463056,0.08593468031199278,0.022537508958429386,0.9910866150304841
0,sinkhorn,10.0,0.5280172413793103,0.105310229050077,0.12656444309510687,0.9910866150304841
0,sinkhorn_l1l2,1.0,0.6690270935960592,0.10626134880902734,0.4417124616306307,0.9910866150304841
0,sinkhorn_l1l2,10.0,0.6976600985221675,0.1273669798505599,0.5651792477690468,0.9910866150304841
1,none,,0.6493226600985222,0.16753070103198073,0.3427441738281049,0.9908259456264775
1,sinkhorn,1.0,0.47075123152709364,0.11932813059981885,-0.020231752881654606,0.9908259456264775
1,sinkhorn,10.0,0.42980295566502463,0.19088919591721076,-0.09112401251977381,0.9908259456264775
1,sinkhorn_l1l2,1.0,0.6391625615763548,0.27393856497406677,0.578094817066107,0.9908259456264775
1,sinkhorn_l1l2,10.0,0.6708743842364532,0.29182854361130245,0.6563833822819903,0.9908259456264775
2,none,,0.6348522167487685,0.12295912803770123,0.2806990428466819,0.9914726421550331
2,sinkhorn,1.0,0.38177339901477836,0.049101253716354425,-0.26634443209537495,0.9914726421550331
2,sinkhorn,10.0,0.3682266009852217,0.054398345875426794,-0.32001961580908667,0.9914726421550331
2,sinkhorn_l1l2,1.0,0.5689655172413792,0.10415643732469876,0.26239969141447106,0.9914726421550331
2,sinkhorn_l1l2,10.0,0.6302339901477833,0.1136041131474313,0.40678396975572323,0.9914726421550331
3,none,,0.726908866995074,0.15363909113733418,0.42488251306821867,0.9918175702998632
3,sinkhorn,1.0,0.5141625615763548,0.1556148428605235,0.11800815143326762,0.9918175702998632
3,sinkhorn,10.0,0.5449507389162562,0.12102171570382539,0.15144004423195007,0.9918175702998632
3,sinkhorn_l1l2,1.0,0.6567118226600985,0.16891829209610115,0.45635875722403896,0.9918175702998632
3,sinkhorn_l1l2,10.0,0.6622536945812807,0.19896036066186343,0.5627250221605049,0.9918175702998632
4,none,,0.7213601848794982,0.16086888054533738,0.4482376586683056,0.9926795212765958
4,sinkhorn,1.0,0.44899306701881814,0.06504675057445572,-0.1425510203034945,0.9926795212765958
4,sinkhorn,10.0,0.49554308352591614,0.06577201214006126,-0.028406029761134006,0.9926795212765958
4,sinkhorn_l1l2,1.0,0.709144932320898,0.15512122693673042,0.641433543991826,0.9926795212765958
4,sinkhorn_l1l2,10.0,0.6269395840211291,0.14687030471698528,0.4485062545226675,0.9926795212765958
