rep,yontem,n_unlab,reg,reg_cl,auroc,prauc,egim,dom_once,dom_sonra
0,raw6000,-1,,,0.7004310344827586,0.11669085848130835,0.3149454557531729,,
0,svd_none,100,,,0.4852216748768473,0.05968905396079899,-0.02841135456260502,0.9856199999999999,0.9856199999999999
0,sinkhorn,100,0.05,,0.4491995073891626,0.06094192007028741,-0.15785493457755145,0.9856199999999999,0.92119
0,sinkhorn,100,0.5,,0.4744458128078818,0.05471839575917775,-0.06299346160964785,0.9856199999999999,0.99998
0,sinkhorn_l1l2,100,0.05,0.1,0.6176108374384236,0.1854889803038617,0.28599930501774723,0.9856199999999999,0.9914799999999999
0,sinkhorn_l1l2,100,0.05,1.0,0.6422413793103449,0.0914119845873332,0.35971900605238677,0.9856199999999999,0.9919199999999999
0,sinkhorn_l1l2,100,0.5,0.1,0.6918103448275862,0.11389713169345542,0.4314442458510728,0.9856199999999999,0.99092
0,sinkhorn_l1l2,100,0.5,1.0,0.6930418719211823,0.10067614298647518,0.43220620742012056,0.9856199999999999,0.99232
0,svd_none,250,,,0.5603448275862069,0.07680019818937533,0.102378277955154,0.988536,0.988536
0,sinkhorn,250,0.05,,0.5591133004926109,0.06509500645335574,0.11170745480850572,0.988536,0.943068
0,sinkhorn,250,0.5,,0.5708128078817734,0.07072216135068378,0.14977908694078185,0.988536,0.999864
0,sinkhorn_l1l2,250,0.05,0.1,0.6336206896551724,0.11865486774390488,0.32120132780226723,0.988536,0.997592
0,sinkhorn_l1l2,250,0.05,1.0,0.6474753694581281,0.11274353601077014,0.4258839367095276,0.988536,0.9974719999999999
0,sinkhorn_l1l2,250,0.5,0.1,0.5886699507389164,0.1194679294715773,0.29552008198906216,0.988536,0.997544
0,sinkhorn_l1l2,250,0.5,1.0,0.6157635467980296,0.11065014088168763,0.32639792426349706,0.988536,0.9979279999999999
0,svd_none,492,,,0.5471059113300493,0.1293563961924172,0.09165320852992626,0.9880081300813008,0.9880081300813008
0,sinkhorn,492,0.05,,0.4621305418719212,0.052250353158023954,-0.13074410709480952,0.9880081300813008,0.9655386178861789
0,sinkhorn,492,0.5,,0.49168719211822665,0.1049076362885769,0.03411321737883575,0.9880081300813008,1.0
0,sinkhorn_l1l2,492,0.05,0.1,0.5652709359605911,0.12377329934293557,0.20351137725135213,0.9880081300813008,0.9986951219512195
0,sinkhorn_l1l2,492,0.05,1.0,0.5357142857142857,0.06740571930253528,0.11172125037032626,0.9880081300813008,0.9985853658536585
0,sinkhorn_l1l2,492,0.5,0.1,0.4898399014778325,0.05760800947143069,-0.025389432944614144,0.9880081300813008,0.998589430894309
0,sinkhorn_l1l2,492,0.5,1.0,0.5080049261083743,0.07002968403296786,0.013471343916581632,0.9880081300813008,0.9988048780487806
0,svd_none,492,,,0.5544950738916256,0.0853090846303897,0.13447484294168874,0.9892154471544715,0.9892154471544715
0,sinkhorn,492,0.05,,0.3842364532019704,0.04560263487855092,-0.33418037655258886,0.9892154471544715,0.9678922764227642
0,sinkhorn,492,0.5,,0.5110837438423645,0.07854724462480363,0.08281429637964637,0.9892154471544715,0.9999634146341463
0,sinkhorn_l1l2,492,0.05,0.1,0.6012931034482758,0.19600459927033806,0.3251083422055109,0.9892154471544715,0.9978943089430894
0,sinkhorn_l1l2,492,0.05,1.0,0.5240147783251232,0.0621040064130446,0.0711780537859465,0.9892154471544715,0.9978455284552845
0,sinkhorn_l1l2,492,0.5,0.1,0.5979064039408867,0.10166104426917386,0.26520231454201676,0.9892154471544715,0.997979674796748
0,sinkhorn_l1l2,492,0.5,1.0,0.5486453201970444,0.07219249261699774,0.1166117661080494,0.9892154471544715,0.9978983739837398
1,raw6000,-1,,,0.7576970443349753,0.2454639486729639,0.4695886837781216,,
1,svd_none,100,,,0.6376231527093597,0.11222762524595917,0.30098404680094204,0.9904200000000001,0.9904200000000001
1,sinkhorn,100,0.05,,0.5563423645320197,0.07708552702432317,0.12615180168088494,0.9904200000000001,0.91519
1,sinkhorn,100,0.5,,0.5329433497536945,0.07466254324163797,0.06569925816949117,0.9904200000000001,0.9999
1,sinkhorn_l1l2,100,0.05,0.1,0.6650246305418719,0.26773275869266916,0.47806023687015886,0.9904200000000001,0.99092
1,sinkhorn_l1l2,100,0.05,1.0,0.6062192118226601,0.2270360792201434,0.3910345835764178,0.9904200000000001,0.9924200000000001
1,sinkhorn_l1l2,100,0.5,0.1,0.6373152709359606,0.2619601291900045,0.4280469589511317,0.9904200000000001,0.99034
1,sinkhorn_l1l2,100,0.5,1.0,0.6277709359605911,0.23092350501601874,0.4122323443060786,0.9904200000000001,0.9921
1,svd_none,250,,,0.6413177339901478,0.204194948926543,0.35985357798410716,0.9822000000000001,0.9822000000000001
1,sinkhorn,250,0.05,,0.6197660098522167,0.10845333115283724,0.3442267444406401,0.9822000000000001,0.945148
1,sinkhorn,250,0.5,,0.5692733990147784,0.07624899873651443,0.1556898796300772,0.9822000000000001,0.999984
1,sinkhorn_l1l2,250,0.05,0.1,0.7259852216748769,0.2806783010784871,0.5281114988722293,0.9822000000000001,0.994848
1,sinkhorn_l1l2,250,0.05,1.0,0.6936576354679803,0.3068910244020175,0.5615529507956462,0.9822000000000001,0.9954319999999999
1,sinkhorn_l1l2,250,0.5,0.1,0.7139778325123153,0.27169395462957735,0.5891142139149276,0.9822000000000001,0.994736
1,sinkhorn_l1l2,250,0.5,1.0,0.6687192118226601,0.280898617907827,0.5262243953801533,0.9822000000000001,0.995064
1,svd_none,492,,,0.7093596059113301,0.18580550394816053,0.4271328347306141,0.9904878048780488,0.9904878048780488
1,sinkhorn,492,0.05,,0.5344827586206897,0.08248751534754607,0.12822833373218984,0.9904878048780488,0.9629349593495935
1,sinkhorn,492,0.5,,0.5372536945812807,0.06910896912127075,0.05186080661789859,0.9904878048780488,1.0
1,sinkhorn_l1l2,492,0.05,0.1,0.6447044334975369,0.23695502640504051,0.472571584602568,0.9904878048780488,0.997609756097561
1,sinkhorn_l1l2,492,0.05,1.0,0.6825738916256159,0.2804364747893434,0.5920405152614762,0.9904878048780488,0.996979674796748
1,sinkhorn_l1l2,492,0.5,0.1,0.6453201970443349,0.2273112128706888,0.5009577472928259,0.9904878048780488,0.9971991869918699
1,sinkhorn_l1l2,492,0.5,1.0,0.6579433497536946,0.3344238123266618,0.6016647259432366,0.9904878048780488,0.997089430894309
1,svd_none,492,,,0.6576354679802956,0.1842173389035708,0.33694100416453776,0.9899065040650407,0.9899065040650407
1,sinkhorn,492,0.05,,0.5123152709359605,0.08465845522027043,0.05213937555971687,0.9899065040650407,0.9657012195121951
1,sinkhorn,492,0.5,,0.5880541871921182,0.0769505283697781,0.1716464371979348,0.9899065040650407,1.0
1,sinkhorn_l1l2,492,0.05,0.1,0.6548645320197044,0.25761970902902853,0.49293832616456434,0.9899065040650407,0.9972073170731708
1,sinkhorn_l1l2,492,0.05,1.0,0.6133004926108374,0.2001265796795657,0.43904019651569426,0.9899065040650407,0.9969390243902438
1,sinkhorn_l1l2,492,0.5,0.1,0.6828817733990148,0.3251798704753339,0.5959427557206263,0.9899065040650407,0.9971504065040651
1,sinkhorn_l1l2,492,0.5,1.0,0.6988916256157636,0.307805276873059,0.6682207551902153,0.9899065040650407,0.9967032520325203
2,raw6000,-1,,,0.6831896551724138,0.19886310951964128,0.3222948368403051,,
2,svd_none,100,,,0.6560960591133005,0.19847711012905483,0.39355659816784627,0.9811000000000001,0.9811000000000001
2,sinkhorn,100,0.05,,0.5778940886699507,0.14995203851452554,0.3117025659447639,0.9811000000000001,0.89351
2,sinkhorn,100,0.5,,0.6274630541871922,0.09316252245841078,0.27525655526927056,0.9811000000000001,1.0
2,sinkhorn_l1l2,100,0.05,0.1,0.6810344827586207,0.11046786506330555,0.3063601627941595,0.9811000000000001,0.9953000000000001
2,sinkhorn_l1l2,100,0.05,1.0,0.541871921182266,0.10986816166374996,0.1565824874153847,0.9811000000000001,0.99436
2,sinkhorn_l1l2,100,0.5,0.1,0.6816502463054187,0.11336826781494064,0.3520096117176184,0.9811000000000001,0.99534
2,sinkhorn_l1l2,100,0.5,1.0,0.584975369458128,0.12142781267647074,0.25999769740011797,0.9811000000000001,0.9941599999999999
2,svd_none,250,,,0.6687192118226601,0.12191299870951702,0.34103053016628365,0.984368,0.984368
2,sinkhorn,250,0.05,,0.5640394088669951,0.08133876809652985,0.14790075239150863,0.984368,0.931792
2,sinkhorn,250,0.5,,0.5637315270935961,0.07779782232632781,0.17215938693381483,0.984368,1.0
2,sinkhorn_l1l2,250,0.05,0.1,0.7463054187192117,0.22526183206296552,0.6088678248194593,0.984368,0.998096
2,sinkhorn_l1l2,250,0.05,1.0,0.7099753694581281,0.15358940191913006,0.542677913837511,0.984368,0.998
2,sinkhorn_l1l2,250,0.5,0.1,0.7235221674876847,0.18362692735143551,0.6145028232589209,0.984368,0.99756
2,sinkhorn_l1l2,250,0.5,1.0,0.6530172413793103,0.11469223472824408,0.35403427822057854,0.984368,0.9979439999999999
2,svd_none,492,,,0.625307881773399,0.0985488052429919,0.22528141288695785,0.9834796747967479,0.9834796747967479
2,sinkhorn,492,0.05,,0.5467980295566502,0.12990917746638675,0.18281409979050497,0.9834796747967479,0.958410569105691
2,sinkhorn,492,0.5,,0.5775862068965517,0.07844296478053438,0.08931201532925419,0.9834796747967479,1.0
2,sinkhorn_l1l2,492,0.05,0.1,0.604679802955665,0.13570278696747679,0.3127537820811304,0.9834796747967479,0.9980487804878049
2,sinkhorn_l1l2,492,0.05,1.0,0.5332512315270936,0.1994319753660302,0.23216561979593453,0.9834796747967479,0.9978414634146342
2,sinkhorn_l1l2,492,0.5,0.1,0.5858990147783251,0.20019539401548064,0.3449499884456113,0.9834796747967479,0.998081300813008
2,sinkhorn_l1l2,492,0.5,1.0,0.5785098522167488,0.16959416412083578,0.28528768376986635,0.9834796747967479,0.998060975609756
2,svd_none,492,,,0.5720443349753694,0.08931501000184908,0.130294120900796,0.9850975609756099,0.9850975609756099
2,sinkhorn,492,0.05,,0.5649630541871922,0.11528719211123603,0.16442891773767035,0.9850975609756099,0.9577215447154472
2,sinkhorn,492,0.5,,0.6317733990147784,0.08375331908811762,0.2891330707276363,0.9850975609756099,1.0
2,sinkhorn_l1l2,492,0.05,0.1,0.603448275862069,0.12327187118249783,0.2973458884811146,0.9850975609756099,0.9978536585365854
2,sinkhorn_l1l2,492,0.05,1.0,0.49261083743842365,0.09366440719895454,0.08281072013206435,0.9850975609756099,0.9982073170731707
2,sinkhorn_l1l2,492,0.5,0.1,0.5711206896551724,0.09833011063398567,0.23280706163901776,0.9850975609756099,0.9977764227642276
2,sinkhorn_l1l2,492,0.5,1.0,0.6690270935960592,0.14065086273613456,0.4439576969979607,0.9850975609756099,0.9979430894308943
3,raw6000,-1,,,0.8066502463054187,0.18067118409965924,0.5381952587030225,,
3,svd_none,100,,,0.6927339901477833,0.18571990905266106,0.4075176600475515,0.99034,0.99034
3,sinkhorn,100,0.05,,0.6930418719211823,0.14225973215321214,0.619710863883666,0.99034,0.8788699999999999
3,sinkhorn,100,0.5,,0.5698891625615763,0.0906669442201816,0.16848664461586385,0.99034,0.99932
3,sinkhorn_l1l2,100,0.05,0.1,0.7222906403940886,0.27991276415387484,0.5626094241158212,0.99034,0.9957400000000001
3,sinkhorn_l1l2,100,0.05,1.0,0.7610837438423645,0.29022540707013067,0.7260849182304542,0.99034,0.99466
3,sinkhorn_l1l2,100,0.5,0.1,0.7613916256157636,0.29612516856124244,0.6794923472624902,0.99034,0.99576
3,sinkhorn_l1l2,100,0.5,1.0,0.7484605911330049,0.20482340103945426,0.6372259180712753,0.99034,0.9944
3,svd_none,250,,,0.6557881773399015,0.12410663928350345,0.31938675541026745,0.9888239999999999,0.9888239999999999
3,sinkhorn,250,0.05,,0.5658866995073891,0.07205271288252099,0.1352984312803035,0.9888239999999999,0.9314560000000001
3,sinkhorn,250,0.5,,0.645628078817734,0.10060909933267063,0.3964090834195223,0.9888239999999999,0.9997119999999999
3,sinkhorn_l1l2,250,0.05,0.1,0.7346059113300492,0.19964812103531582,0.5807176090930932,0.9888239999999999,0.998632
3,sinkhorn_l1l2,250,0.05,1.0,0.6875,0.22340347696692378,0.5261085674649064,0.9888239999999999,0.998496
3,sinkhorn_l1l2,250,0.5,0.1,0.7179802955665026,0.20735910224497817,0.5118471355693027,0.9888239999999999,0.998016
3,sinkhorn_l1l2,250,0.5,1.0,0.7161330049261084,0.21972477619839426,0.5905210176176765,0.9888239999999999,0.998456
3,svd_none,492,,,0.6742610837438423,0.1087455518288149,0.3104342034590805,0.9886910569105691,0.9886910569105691
3,sinkhorn,492,0.05,,0.7333743842364532,0.16122702465352756,0.6230555256033156,0.9886910569105691,0.9479512195121951
3,sinkhorn,492,0.5,,0.5665024630541873,0.12706851120359458,0.24320573799620196,0.9886910569105691,0.9999308943089431
3,sinkhorn_l1l2,492,0.05,0.1,0.6955049261083744,0.3019716578524612,0.6086082577695116,0.9886910569105691,0.9987764227642276
3,sinkhorn_l1l2,492,0.05,1.0,0.6702586206896552,0.23114129875954578,0.5573189087915532,0.9886910569105691,0.9991422764227642
3,sinkhorn_l1l2,492,0.5,0.1,0.7225985221674877,0.19914651358511481,0.5903494714017503,0.9886910569105691,0.9989024390243902
3,sinkhorn_l1l2,492,0.5,1.0,0.6631773399014778,0.1789239135336176,0.4616281665202523,0.9886910569105691,0.9990772357723577
3,svd_none,492,,,0.6607142857142857,0.09261432022933505,0.28919576681233117,0.989630081300813,0.989630081300813
3,sinkhorn,492,0.05,,0.686884236453202,0.1831491733585474,0.6038719059925669,0.989630081300813,0.948719512195122
3,sinkhorn,492,0.5,,0.6564039408866995,0.14377691226167746,0.43690680962686,0.989630081300813,0.9998617886178862
3,sinkhorn_l1l2,492,0.05,0.1,0.6927339901477833,0.1973009346978406,0.4700320981920993,0.989630081300813,0.9989878048780487
3,sinkhorn_l1l2,492,0.05,1.0,0.6148399014778325,0.18037298997962697,0.36040033555864265,0.989630081300813,0.99930081300813
3,sinkhorn_l1l2,492,0.5,0.1,0.6779556650246306,0.22077821628240646,0.5190968646072415,0.989630081300813,0.999020325203252
3,sinkhorn_l1l2,492,0.5,1.0,0.5966748768472907,0.19719028540160927,0.34936126393695943,0.989630081300813,0.9992357723577237
4,raw6000,-1,,,0.7296137339055794,0.21498261317299525,0.4009857069512672,,
4,svd_none,100,,,0.6526906569825025,0.18682720628520222,0.3613838099206469,0.9853000000000001,0.9853000000000001
4,sinkhorn,100,0.05,,0.5830307032023769,0.06979834622064285,0.24969848583382998,0.9853000000000001,0.9087
4,sinkhorn,100,0.5,,0.5295477055133708,0.07316010797054472,0.12161990351934115,0.9853000000000001,0.99986
4,sinkhorn_l1l2,100,0.05,0.1,0.6375041267745131,0.16035642782944806,0.3571393555188956,0.9853000000000001,0.9932399999999999
4,sinkhorn_l1l2,100,0.05,1.0,0.5840211290855067,0.13162277934062552,0.2958169725735639,0.9853000000000001,0.99414
4,sinkhorn_l1l2,100,0.5,0.1,0.5642126114229118,0.12025106171038386,0.23149839515170895,0.9853000000000001,0.9933000000000001
4,sinkhorn_l1l2,100,0.5,1.0,0.6101023440079234,0.1112170125111792,0.2969318516592721,0.9853000000000001,0.9925999999999999
4,svd_none,250,,,0.7319247276328822,0.13566983190643186,0.46401099988085925,0.988392,0.988392
4,sinkhorn,250,0.05,,0.58435127104655,0.14196910416094033,0.3327295294729124,0.988392,0.947764
4,sinkhorn,250,0.5,,0.5609111918124794,0.10477354963648298,0.19611899877275377,0.988392,0.999976
4,sinkhorn_l1l2,250,0.05,0.1,0.6483988114889402,0.17398619666828172,0.40743921759160834,0.988392,0.9983759999999999
4,sinkhorn_l1l2,250,0.05,1.0,0.6503796632551997,0.20566798674215672,0.5451827481624941,0.988392,0.9981279999999999
4,sinkhorn_l1l2,250,0.5,0.1,0.625288874215913,0.23957179680412102,0.48350840424883296,0.988392,0.998008
4,sinkhorn_l1l2,250,0.5,1.0,0.6596236381644107,0.18164640119103032,0.4940513468997425,0.988392,0.9981279999999999
4,svd_none,492,,,0.6262793000990426,0.09603549158478213,0.24461770453454035,0.9891056910569105,0.9891056910569105
4,sinkhorn,492,0.05,,0.5952459557609773,0.08178725967993718,0.2004208770145454,0.9891056910569105,0.9614654471544716
4,sinkhorn,492,0.5,,0.48200726312314296,0.054918968013760144,-0.11599702843440246,0.9891056910569105,1.0
4,sinkhorn_l1l2,492,0.05,0.1,0.5797292835919444,0.12922510700347145,0.1785474128904609,0.9891056910569105,0.9982560975609756
