cift,hedef,metrik,strateji,n,deger,kaynak
Escherichia coli/Ceftriaxone,DRIAMS-B,prauc,recal,25,0.634 [0.597-0.679],0.634 [0.598-0.680]
Escherichia coli/Ceftriaxone,DRIAMS-B,prauc,recal,50,0.634 [0.599-0.680],0.634 [0.598-0.680]
Escherichia coli/Ceftriaxone,DRIAMS-B,prauc,recal,100,0.634 [0.597-0.680],0.634 [0.598-0.680]
Escherichia coli/Ceftriaxone,DRIAMS-B,prauc,finetune,25,0.576 [0.537-0.619],0.634 [0.598-0.680]
Escherichia coli/Ceftriaxone,DRIAMS-B,prauc,finetune,50,0.596 [0.564-0.624],0.634 [0.598-0.680]
Escherichia coli/Ceftriaxone,DRIAMS-B,prauc,finetune,100,0.642 [0.601-0.686],0.634 [0.598-0.680]
Escherichia coli/Ceftriaxone,DRIAMS-B,prauc,local,25,0.321 [0.287-0.355],0.634 [0.598-0.680]
Escherichia coli/Ceftriaxone,DRIAMS-B,prauc,local,50,0.361 [0.312-0.413],0.634 [0.598-0.680]
Escherichia coli/Ceftriaxone,DRIAMS-B,prauc,local,100,0.419 [0.375-0.460],0.634 [0.598-0.680]
Escherichia coli/Ceftriaxone,DRIAMS-B,prauc,pooled,25,0.661 [0.608-0.720],0.634 [0.598-0.680]
Escherichia coli/Ceftriaxone,DRIAMS-B,prauc,pooled,50,0.662 [0.622-0.709],0.634 [0.598-0.680]
Escherichia coli/Ceftriaxone,DRIAMS-B,prauc,pooled,100,0.686 [0.653-0.723],0.634 [0.598-0.680]
Escherichia coli/Ceftriaxone,DRIAMS-B,auroc,recal,25,0.819 [0.803-0.834],0.819 [0.804-0.834]
Escherichia coli/Ceftriaxone,DRIAMS-B,auroc,recal,50,0.819 [0.803-0.834],0.819 [0.804-0.834]
Escherichia coli/Ceftriaxone,DRIAMS-B,auroc,recal,100,0.819 [0.804-0.834],0.819 [0.804-0.834]
Escherichia coli/Ceftriaxone,DRIAMS-B,auroc,finetune,25,0.785 [0.766-0.804],0.819 [0.804-0.834]
Escherichia coli/Ceftriaxone,DRIAMS-B,auroc,finetune,50,0.795 [0.778-0.812],0.819 [0.804-0.834]
Escherichia coli/Ceftriaxone,DRIAMS-B,auroc,finetune,100,0.818 [0.801-0.836],0.819 [0.804-0.834]
Escherichia coli/Ceftriaxone,DRIAMS-B,auroc,local,25,0.596 [0.562-0.628],0.819 [0.804-0.834]
Escherichia coli/Ceftriaxone,DRIAMS-B,auroc,local,50,0.603 [0.563-0.642],0.819 [0.804-0.834]
Escherichia coli/Ceftriaxone,DRIAMS-B,auroc,local,100,0.655 [0.613-0.695],0.819 [0.804-0.834]
Escherichia coli/Ceftriaxone,DRIAMS-B,auroc,pooled,25,0.840 [0.813-0.868],0.819 [0.804-0.834]
