cift,hedef,strateji,n,fark,anlamli
Escherichia coli/Ceftriaxone,DRIAMS-B,recal,25,0.000 [0.000-0.000],hayir
Escherichia coli/Ceftriaxone,DRIAMS-B,recal,50,0.000 [0.000-0.000],hayir
Escherichia coli/Ceftriaxone,DRIAMS-B,recal,100,0.000 [0.000-0.000],hayir
Escherichia coli/Ceftriaxone,DRIAMS-B,finetune,25,-0.058 [-0.107--0.015],EVET
Escherichia coli/Ceftriaxone,DRIAMS-B,finetune,50,-0.039 [-0.081--0.004],EVET
Escherichia coli/Ceftriaxone,DRIAMS-B,finetune,100,0.007 [-0.018-0.034],hayir
Escherichia coli/Ceftriaxone,DRIAMS-B,local,25,-0.313 [-0.379--0.263],EVET
Escherichia coli/Ceftriaxone,DRIAMS-B,local,50,-0.274 [-0.350--0.208],EVET
Escherichia coli/Ceftriaxone,DRIAMS-B,local,100,-0.216 [-0.294--0.153],EVET
Escherichia coli/Ceftriaxone,DRIAMS-B,pooled,25,0.027 [-0.011-0.068],hayir
Escherichia coli/Ceftriaxone,DRIAMS-B,pooled,50,0.028 [0.012-0.046],EVET
Escherichia coli/Ceftriaxone,DRIAMS-B,pooled,100,0.052 [0.027-0.077],EVET
Escherichia coli/Ceftriaxone,DRIAMS-C,recal,25,-0.022 [-0.066-0.000],hayir
Escherichia coli/Ceftriaxone,DRIAMS-C,recal,50,0.000 [0.000-0.000],hayir
Escherichia coli/Ceftriaxone,DRIAMS-C,recal,100,0.000 [0.000-0.000],hayir
Escherichia coli/Ceftriaxone,DRIAMS-C,recal,200,0.000 [0.000-0.000],hayir
Escherichia coli/Ceftriaxone,DRIAMS-C,recal,400,0.000 [0.000-0.000],hayir
Escherichia coli/Ceftriaxone,DRIAMS-C,finetune,25,-0.030 [-0.056--0.006],EVET
Escherichia coli/Ceftriaxone,DRIAMS-C,finetune,50,-0.036 [-0.052--0.021],EVET
Escherichia coli/Ceftriaxone,DRIAMS-C,finetune,100,-0.004 [-0.022-0.014],hayir
Escherichia coli/Ceftriaxone,DRIAMS-C,finetune,200,-0.048 [-0.071--0.025],EVET
Escherichia coli/Ceftriaxone,DRIAMS-C,finetune,400,-0.018 [-0.041-0.004],hayir
Escherichia coli/Ceftriaxone,DRIAMS-C,local,25,-0.127 [-0.168--0.080],EVET
Escherichia coli/Ceftriaxone,DRIAMS-C,local,50,-0.132 [-0.164--0.096],EVET
Escherichia coli/Ceftriaxone,DRIAMS-C,local,100,-0.079 [-0.114--0.042],EVET
Escherichia coli/Ceftriaxone,DRIAMS-C,local,200,-0.045 [-0.086--0.002],EVET
Escherichia coli/Ceftriaxone,DRIAMS-C,local,400,0.006 [-0.036-0.040],hayir
Escherichia coli/Ceftriaxone,DRIAMS-C,pooled,25,-0.012 [-0.020--0.003],EVET
Escherichia coli/Ceftriaxone,DRIAMS-C,pooled,50,-0.018 [-0.030--0.005],EVET
