site,species,drug,n,n_direncli,direnc_orani,n_tur_toplam,eksiklik_orani
DRIAMS-A,Escherichia coli,Ertapenem,4983,35.0,0.0070238811960666265,7320,0.31926229508196724
DRIAMS-A,Escherichia coli,Ceftriaxone,4961,1086.0,0.21890747833098165,7320,0.3222677595628415
DRIAMS-A,Escherichia coli,Colistin,4930,18.0,0.0036511156186612576,7320,0.32650273224043713
DRIAMS-A,Escherichia coli,Meropenem,4928,3.0,0.0006087662337662338,7320,0.326775956284153
DRIAMS-A,Escherichia coli,Imipenem,4923,5.0,0.0010156408693885843,7320,0.32745901639344266
DRIAMS-A,Escherichia coli,Ciprofloxacin,4911,1466.0,0.29851354103034006,7320,0.3290983606557377
DRIAMS-A,Escherichia coli,Cefepime,4890,839.0,0.17157464212678936,7320,0.3319672131147541
DRIAMS-A,Escherichia coli,Cotrimoxazole,4888,1595.0,0.3263093289689034,7320,0.33224043715846996
DRIAMS-A,Escherichia coli,Tobramycin,4876,636.0,0.13043478260869565,7320,0.333879781420765
DRIAMS-A,Escherichia coli,Ampicillin-Amoxicillin,4866,2913.0,0.5986436498150431,7320,0.3352459016393443
DRIAMS-A,Escherichia coli,Amikacin,4858,331.0,0.06813503499382462,7320,0.3363387978142076
DRIAMS-A,Escherichia coli,Levofloxacin,4858,1443.0,0.29703581720872785,7320,0.3363387978142076
DRIAMS-A,Escherichia coli,Amoxicillin-Clavulanic acid,4826,1177.0,0.24388727724823872,7320,0.34071038251366115
DRIAMS-A,Escherichia coli,Ceftazidime,4822,871.0,0.18063044379925342,7320,0.3412568306010929
DRIAMS-A,Escherichia coli,Piperacillin-Tazobactam,4799,350.0,0.07293186080433424,7320,0.34439890710382515
DRIAMS-A,Staphylococcus epidermidis,Vancomycin,4777,2.0,0.0004186728072011723,9387,0.49110471929263877
DRIAMS-A,Staphylococcus epidermidis,Daptomycin,4761,3.0,0.000630119722747322,9387,0.4928092042186002
DRIAMS-A,Staphylococcus epidermidis,Rifampicin,4758,436.0,0.09163514081546868,9387,0.49312879514221797
DRIAMS-A,Staphylococcus epidermidis,Ciprofloxacin,4679,2687.0,0.5742680059841847,9387,0.5015446894641525
DRIAMS-A,Staphylococcus epidermidis,Oxacillin,4664,3324.0,0.7126929674099486,9387,0.5031426440822414
DRIAMS-A,Staphylococcus epidermidis,Fusidic acid,4589,2407.0,0.5245151449117454,9387,0.5111324171726856
DRIAMS-A,Staphylococcus epidermidis,Cotrimoxazole,4545,1565.0,0.34433443344334436,9387,0.5158197507190796
DRIAMS-A,Staphylococcus epidermidis,Linezolid,4407,2.0,0.0004538234626730202,9387,0.530520933205497
DRIAMS-A,Staphylococcus epidermidis,Ampicillin-Amoxicillin,4371,4344.0,0.9938229238160604,9387,0.5343560242889103
DRIAMS-A,Staphylococcus epidermidis,Penicillin,4371,4344.0,0.9938229238160604,9387,0.5343560242889103
