site,yontem,n_cal,auroc,prauc,brier,egim,kesisim
DRIAMS-B,ham,0,0.826,0.642,0.13,0.77,0.659
DRIAMS-B,platt,25,0.825,0.632,0.134,1.081,-0.038
DRIAMS-B,isotonic,25,0.79,0.523,0.143,0.218,-0.866
DRIAMS-B,platt,50,0.834,0.647,0.127,1.277,0.375
DRIAMS-B,isotonic,50,0.813,0.555,0.132,0.348,-0.741
DRIAMS-B,platt,100,0.828,0.629,0.12,1.007,-0.019
DRIAMS-B,isotonic,100,0.809,0.554,0.129,0.284,-0.899
DRIAMS-C,ham,0,0.673,0.357,0.133,0.398,-0.37
DRIAMS-C,platt,25,0.602,0.31,0.14,-0.384,-2.006
DRIAMS-C,isotonic,25,0.633,0.264,0.144,0.129,-1.178
DRIAMS-C,platt,50,0.602,0.31,0.133,-3.623,-7.704
DRIAMS-C,isotonic,50,0.649,0.285,0.136,0.341,-1.014
DRIAMS-C,platt,100,0.67,0.355,0.129,0.927,-0.063
DRIAMS-C,isotonic,100,0.655,0.302,0.135,0.209,-1.186
DRIAMS-C,platt,200,0.67,0.354,0.129,1.035,0.071
DRIAMS-C,isotonic,200,0.655,0.304,0.132,0.35,-1.009
DRIAMS-C,platt,400,0.669,0.357,0.127,0.999,0.002
DRIAMS-C,isotonic,400,0.655,0.318,0.129,0.473,-0.823
DRIAMS-D,ham,0,0.762,0.458,0.074,0.69,0.336
DRIAMS-D,platt,25,0.688,0.402,0.082,0.554,-0.916
DRIAMS-D,isotonic,25,0.708,0.292,0.083,0.273,-1.015
DRIAMS-D,platt,50,0.761,0.456,0.075,0.917,-0.059
DRIAMS-D,isotonic,50,0.726,0.364,0.08,0.245,-1.26
DRIAMS-D,platt,100,0.762,0.456,0.072,1.032,0.082
DRIAMS-D,isotonic,100,0.739,0.366,0.075,0.269,-1.535
DRIAMS-D,platt,200,0.764,0.461,0.072,1.087,0.201
DRIAMS-D,isotonic,200,0.749,0.38,0.074,0.39,-1.297
DRIAMS-D,platt,400,0.762,0.455,0.072,1.028,0.059
DRIAMS-D,isotonic,400,0.748,0.392,0.072,0.477,-1.139
