site,yontem,n_cal,auroc,prauc,brier,egim,kesisim
DRIAMS-B,ham,0,0.803,0.722,0.14,0.616,0.082
DRIAMS-B,platt,25,0.803,0.72,0.147,1.064,-0.162
DRIAMS-B,isotonic,25,0.778,0.609,0.164,0.281,-0.773
DRIAMS-B,platt,50,0.812,0.731,0.142,1.231,0.23
DRIAMS-B,isotonic,50,0.79,0.643,0.15,0.326,-0.676
DRIAMS-B,platt,100,0.797,0.721,0.14,1.016,0.154
DRIAMS-B,isotonic,100,0.789,0.654,0.148,0.328,-0.68
DRIAMS-C,ham,0,0.811,0.684,0.113,0.754,-0.233
DRIAMS-C,platt,25,0.811,0.684,0.123,0.971,0.039
DRIAMS-C,isotonic,25,0.776,0.569,0.133,0.277,-0.663
DRIAMS-C,platt,50,0.81,0.682,0.117,0.954,-0.08
DRIAMS-C,isotonic,50,0.79,0.591,0.126,0.26,-0.911
DRIAMS-C,platt,100,0.812,0.684,0.113,1.069,0.026
DRIAMS-C,isotonic,100,0.799,0.62,0.116,0.341,-0.901
DRIAMS-C,platt,200,0.81,0.681,0.113,0.995,-0.096
DRIAMS-C,isotonic,200,0.8,0.625,0.114,0.42,-0.87
DRIAMS-C,platt,400,0.812,0.684,0.11,1.032,-0.023
DRIAMS-C,isotonic,400,0.805,0.634,0.111,0.443,-0.865
DRIAMS-D,ham,0,0.72,0.501,0.131,0.591,-0.139
DRIAMS-D,platt,25,0.72,0.502,0.137,1.765,2.371
DRIAMS-D,isotonic,25,0.693,0.397,0.148,0.219,-0.899
DRIAMS-D,platt,50,0.719,0.501,0.138,2.094,1.69
DRIAMS-D,isotonic,50,0.696,0.406,0.147,0.239,-0.977
DRIAMS-D,platt,100,0.72,0.502,0.132,0.969,0.004
DRIAMS-D,isotonic,100,0.704,0.425,0.136,0.221,-1.038
DRIAMS-D,platt,200,0.719,0.499,0.13,0.987,-0.054
DRIAMS-D,isotonic,200,0.71,0.438,0.131,0.31,-1.025
DRIAMS-D,platt,400,0.719,0.499,0.13,1.002,0.02
DRIAMS-D,isotonic,400,0.712,0.452,0.13,0.467,-0.768
