site,yontem,n_cal,auroc,prauc,brier,egim,kesisim
DRIAMS-B,ham,0,0.557,0.209,0.11,0.163,-1.471
DRIAMS-B,platt,25,0.508,0.171,0.113,0.251,-1.397
DRIAMS-B,isotonic,25,0.523,0.131,0.123,0.214,-1.603
DRIAMS-B,platt,50,0.509,0.187,0.108,-0.189,-3.036
DRIAMS-B,isotonic,50,0.53,0.131,0.114,0.222,-1.709
DRIAMS-B,platt,100,0.528,0.211,0.104,2.713,3.294
DRIAMS-B,isotonic,100,0.544,0.154,0.107,1.021,-0.09
DRIAMS-C,ham,0,0.566,0.215,0.145,0.156,-0.885
DRIAMS-C,platt,25,0.502,0.178,0.14,-0.762,-2.945
DRIAMS-C,isotonic,25,0.55,0.173,0.146,0.118,-1.466
DRIAMS-C,platt,50,0.524,0.191,0.131,0.708,-0.302
DRIAMS-C,isotonic,50,0.56,0.18,0.141,0.083,-1.529
DRIAMS-C,platt,100,0.521,0.194,0.13,0.055,-1.633
DRIAMS-C,isotonic,100,0.546,0.174,0.137,0.138,-1.467
DRIAMS-C,platt,200,0.545,0.23,0.134,1.362,0.706
DRIAMS-C,isotonic,200,0.564,0.195,0.139,0.264,-1.205
DRIAMS-D,ham,0,0.638,0.253,0.052,0.465,0.218
DRIAMS-D,platt,25,0.531,0.174,0.058,0.065,-2.849
DRIAMS-D,isotonic,25,0.591,0.094,0.058,0.136,-2.253
DRIAMS-D,platt,50,0.598,0.224,0.053,0.339,-1.911
DRIAMS-D,isotonic,50,0.61,0.133,0.058,0.092,-2.117
DRIAMS-D,platt,100,0.569,0.203,0.052,0.674,-1.129
DRIAMS-D,isotonic,100,0.603,0.16,0.052,0.213,-2.079
DRIAMS-D,platt,200,0.627,0.243,0.05,-0.421,-3.979
DRIAMS-D,isotonic,200,0.619,0.186,0.051,0.213,-2.137
DRIAMS-D,platt,400,0.643,0.256,0.05,1.232,0.63
DRIAMS-D,isotonic,400,0.627,0.207,0.05,0.516,-1.3
