site,yontem,n_cal,auroc,prauc,brier,egim,kesisim
DRIAMS-B,ham,0,0.673,0.297,0.106,0.661,0.812
DRIAMS-B,platt,25,0.621,0.269,0.109,-1.59,-5.874
DRIAMS-B,isotonic,25,0.63,0.188,0.112,0.114,-1.478
DRIAMS-B,platt,50,0.652,0.309,0.099,1.111,0.141
DRIAMS-B,isotonic,50,0.663,0.215,0.105,0.53,-0.787
DRIAMS-B,platt,100,0.684,0.351,0.103,1.623,1.11
DRIAMS-B,isotonic,100,0.696,0.281,0.109,0.954,-0.253
DRIAMS-C,ham,0,0.721,0.253,0.085,0.583,0.089
DRIAMS-C,platt,25,0.624,0.213,0.09,-1.062,-4.932
DRIAMS-C,isotonic,25,0.657,0.164,0.092,0.148,-1.598
DRIAMS-C,platt,50,0.659,0.234,0.085,-5.938,-17.252
DRIAMS-C,isotonic,50,0.669,0.172,0.089,0.237,-1.48
DRIAMS-C,platt,100,0.722,0.249,0.08,1.022,-0.074
DRIAMS-C,isotonic,100,0.704,0.184,0.086,0.371,-1.345
DRIAMS-C,platt,200,0.713,0.27,0.081,1.036,0.092
DRIAMS-C,isotonic,200,0.705,0.196,0.085,0.413,-1.235
DRIAMS-D,ham,0,0.524,0.154,0.142,0.063,-1.501
DRIAMS-D,platt,25,0.499,0.148,0.139,-0.083,-1.776
DRIAMS-D,isotonic,25,0.513,0.153,0.148,0.058,-1.829
DRIAMS-D,platt,50,0.486,0.145,0.133,-0.097,-1.969
DRIAMS-D,isotonic,50,0.517,0.153,0.137,0.368,-1.148
DRIAMS-D,platt,100,0.487,0.145,0.129,0.128,-1.567
DRIAMS-D,isotonic,100,0.511,0.152,0.133,0.235,-1.3
DRIAMS-D,platt,200,0.45,0.151,0.129,-2.809,-6.862
DRIAMS-D,isotonic,200,0.501,0.152,0.131,0.357,-1.158
