site,yontem,n_cal,auroc,prauc,brier,egim,kesisim
DRIAMS-B,ham,0,0.823,0.513,0.041,0.788,-0.574
DRIAMS-B,platt,25,0.789,0.484,0.051,0.424,-2.122
DRIAMS-B,isotonic,25,0.783,0.339,0.054,0.309,-1.404
DRIAMS-B,platt,50,0.815,0.514,0.05,1.193,2.119
DRIAMS-B,isotonic,50,0.738,0.318,0.05,0.313,-0.111
DRIAMS-B,platt,100,0.825,0.534,0.044,1.13,0.303
DRIAMS-B,isotonic,100,0.808,0.394,0.049,0.372,-1.336
DRIAMS-B,platt,200,0.845,0.552,0.041,1.405,0.428
DRIAMS-B,isotonic,200,0.836,0.466,0.042,0.966,-0.623
DRIAMS-C,ham,0,0.703,0.157,0.057,0.349,-1.508
DRIAMS-C,platt,25,0.631,0.134,0.062,0.401,-1.816
DRIAMS-C,isotonic,25,0.65,0.093,0.065,0.215,-2.045
DRIAMS-C,platt,50,0.631,0.137,0.055,-2.612,-9.595
DRIAMS-C,isotonic,50,0.628,0.089,0.055,0.13,-2.004
DRIAMS-C,platt,100,0.654,0.139,0.053,0.838,-0.842
DRIAMS-C,isotonic,100,0.664,0.1,0.058,0.178,-2.082
DRIAMS-C,platt,200,0.682,0.163,0.052,1.23,0.648
DRIAMS-C,isotonic,200,0.689,0.112,0.054,0.613,-0.921
