Escherichia coli/Ciprofloxacin: kaynak n=4,911 direnc=0.299

DRIAMS-B: n=213 direnc=0.277
  ham      : AUROC 0.803 PR-AUC 0.722 Brier 0.140 egim 0.62
  platt     n_cal=  25: AUROC 0.803 PR-AUC 0.720 Brier 0.147 egim 1.06
  isotonic  n_cal=  25: AUROC 0.778 PR-AUC 0.609 Brier 0.164 egim 0.28
  platt     n_cal=  50: AUROC 0.812 PR-AUC 0.731 Brier 0.142 egim 1.23
  isotonic  n_cal=  50: AUROC 0.790 PR-AUC 0.643 Brier 0.150 egim 0.33
  platt     n_cal= 100: AUROC 0.797 PR-AUC 0.721 Brier 0.140 egim 1.02
  isotonic  n_cal= 100: AUROC 0.789 PR-AUC 0.654 Brier 0.148 egim 0.33

DRIAMS-C: n=889 direnc=0.215
  ham      : AUROC 0.811 PR-AUC 0.684 Brier 0.113 egim 0.75
  platt     n_cal=  25: AUROC 0.811 PR-AUC 0.684 Brier 0.123 egim 0.97
  isotonic  n_cal=  25: AUROC 0.776 PR-AUC 0.569 Brier 0.133 egim 0.28
  platt     n_cal=  50: AUROC 0.810 PR-AUC 0.682 Brier 0.117 egim 0.95
  isotonic  n_cal=  50: AUROC 0.790 PR-AUC 0.591 Brier 0.126 egim 0.26
  platt     n_cal= 100: AUROC 0.812 PR-AUC 0.684 Brier 0.113 egim 1.07
  isotonic  n_cal= 100: AUROC 0.799 PR-AUC 0.620 Brier 0.116 egim 0.34
  platt     n_cal= 200: AUROC 0.810 PR-AUC 0.681 Brier 0.113 egim 0.99
  isotonic  n_cal= 200: AUROC 0.800 PR-AUC 0.625 Brier 0.114 egim 0.42
  platt     n_cal= 400: AUROC 0.812 PR-AUC 0.684 Brier 0.110 egim 1.03
  isotonic  n_cal= 400: AUROC 0.805 PR-AUC 0.634 Brier 0.111 egim 0.44

DRIAMS-D: n=1,939 direnc=0.191
  ham      : AUROC 0.720 PR-AUC 0.501 Brier 0.131 egim 0.59
  platt     n_cal=  25: AUROC 0.720 PR-AUC 0.502 Brier 0.137 egim 1.76
  isotonic  n_cal=  25: AUROC 0.693 PR-AUC 0.397 Brier 0.148 egim 0.22
  platt     n_cal=  50: AUROC 0.719 PR-AUC 0.501 Brier 0.138 egim 2.09
  isotonic  n_cal=  50: AUROC 0.696 PR-AUC 0.406 Brier 0.147 egim 0.24
  platt     n_cal= 100: AUROC 0.720 PR-AUC 0.502 Brier 0.132 egim 0.97
  isotonic  n_cal= 100: AUROC 0.704 PR-AUC 0.425 Brier 0.136 egim 0.22
  platt     n_cal= 200: AUROC 0.719 PR-AUC 0.499 Brier 0.130 egim 0.99
  isotonic  n_cal= 200: AUROC 0.710 PR-AUC 0.438 Brier 0.131 egim 0.31
  platt     n_cal= 400: AUROC 0.719 PR-AUC 0.499 Brier 0.130 egim 1.00
  isotonic  n_cal= 400: AUROC 0.712 PR-AUC 0.452 Brier 0.130 egim 0.47

=== YENIDEN KALIBRASYON ===
    site   yontem  n_cal  auroc  prauc  brier  egim  kesisim
DRIAMS-B      ham      0  0.803  0.722  0.140 0.616    0.082
DRIAMS-B    platt     25  0.803  0.720  0.147 1.064   -0.162
DRIAMS-B isotonic     25  0.778  0.609  0.164 0.281   -0.773
DRIAMS-B    platt     50  0.812  0.731  0.142 1.231    0.230
DRIAMS-B isotonic     50  0.790  0.643  0.150 0.326   -0.676
DRIAMS-B    platt    100  0.797  0.721  0.140 1.016    0.154
DRIAMS-B isotonic    100  0.789  0.654  0.148 0.328   -0.680
DRIAMS-C      ham      0  0.811  0.684  0.113 0.754   -0.233
DRIAMS-C    platt     25  0.811  0.684  0.123 0.971    0.039
DRIAMS-C isotonic     25  0.776  0.569  0.133 0.277   -0.663
DRIAMS-C    platt     50  0.810  0.682  0.117 0.954   -0.080
DRIAMS-C isotonic     50  0.790  0.591  0.126 0.260   -0.911
DRIAMS-C    platt    100  0.812  0.684  0.113 1.069    0.026
DRIAMS-C isotonic    100  0.799  0.620  0.116 0.341   -0.901
DRIAMS-C    platt    200  0.810  0.681  0.113 0.995   -0.096
DRIAMS-C isotonic    200  0.800  0.625  0.114 0.420   -0.870
DRIAMS-C    platt    400  0.812  0.684  0.110 1.032   -0.023
DRIAMS-C isotonic    400  0.805  0.634  0.111 0.443   -0.865
DRIAMS-D      ham      0  0.720  0.501  0.131 0.591   -0.139
DRIAMS-D    platt     25  0.720  0.502  0.137 1.765    2.371
DRIAMS-D isotonic     25  0.693  0.397  0.148 0.219   -0.899
DRIAMS-D    platt     50  0.719  0.501  0.138 2.094    1.690
DRIAMS-D isotonic     50  0.696  0.406  0.147 0.239   -0.977
DRIAMS-D    platt    100  0.720  0.502  0.132 0.969    0.004
DRIAMS-D isotonic    100  0.704  0.425  0.136 0.221   -1.038
DRIAMS-D    platt    200  0.719  0.499  0.130 0.987   -0.054
DRIAMS-D isotonic    200  0.710  0.438  0.131 0.310   -1.025
DRIAMS-D    platt    400  0.719  0.499  0.130 1.002    0.020
DRIAMS-D isotonic    400  0.712  0.452  0.130 0.467   -0.768

kayit: outputs/recal/Escherichia_coli__Ciprofloxacin.csv
