Escherichia coli/Ceftriaxone: kaynak n=4,961 direnc=0.219

DRIAMS-B: n=213 direnc=0.211
  ham      : AUROC 0.826 PR-AUC 0.642 Brier 0.130 egim 0.77
  platt     n_cal=  25: AUROC 0.825 PR-AUC 0.632 Brier 0.134 egim 1.08
  isotonic  n_cal=  25: AUROC 0.790 PR-AUC 0.523 Brier 0.143 egim 0.22
  platt     n_cal=  50: AUROC 0.834 PR-AUC 0.647 Brier 0.127 egim 1.28
  isotonic  n_cal=  50: AUROC 0.813 PR-AUC 0.555 Brier 0.132 egim 0.35
  platt     n_cal= 100: AUROC 0.828 PR-AUC 0.629 Brier 0.120 egim 1.01
  isotonic  n_cal= 100: AUROC 0.809 PR-AUC 0.554 Brier 0.129 egim 0.28

DRIAMS-C: n=916 direnc=0.165
  ham      : AUROC 0.673 PR-AUC 0.357 Brier 0.133 egim 0.40
  platt     n_cal=  25: AUROC 0.602 PR-AUC 0.310 Brier 0.140 egim -0.38
  isotonic  n_cal=  25: AUROC 0.633 PR-AUC 0.264 Brier 0.144 egim 0.13
  platt     n_cal=  50: AUROC 0.602 PR-AUC 0.310 Brier 0.133 egim -3.62
  isotonic  n_cal=  50: AUROC 0.649 PR-AUC 0.285 Brier 0.136 egim 0.34
  platt     n_cal= 100: AUROC 0.670 PR-AUC 0.355 Brier 0.129 egim 0.93
  isotonic  n_cal= 100: AUROC 0.655 PR-AUC 0.302 Brier 0.135 egim 0.21
  platt     n_cal= 200: AUROC 0.670 PR-AUC 0.354 Brier 0.129 egim 1.03
  isotonic  n_cal= 200: AUROC 0.655 PR-AUC 0.304 Brier 0.132 egim 0.35
  platt     n_cal= 400: AUROC 0.669 PR-AUC 0.357 Brier 0.127 egim 1.00
  isotonic  n_cal= 400: AUROC 0.655 PR-AUC 0.318 Brier 0.129 egim 0.47

DRIAMS-D: n=1,994 direnc=0.099
  ham      : AUROC 0.762 PR-AUC 0.458 Brier 0.074 egim 0.69
  platt     n_cal=  25: AUROC 0.688 PR-AUC 0.402 Brier 0.082 egim 0.55
  isotonic  n_cal=  25: AUROC 0.708 PR-AUC 0.292 Brier 0.083 egim 0.27
  platt     n_cal=  50: AUROC 0.761 PR-AUC 0.456 Brier 0.075 egim 0.92
  isotonic  n_cal=  50: AUROC 0.726 PR-AUC 0.364 Brier 0.080 egim 0.24
  platt     n_cal= 100: AUROC 0.762 PR-AUC 0.456 Brier 0.072 egim 1.03
  isotonic  n_cal= 100: AUROC 0.739 PR-AUC 0.366 Brier 0.075 egim 0.27
  platt     n_cal= 200: AUROC 0.764 PR-AUC 0.461 Brier 0.072 egim 1.09
  isotonic  n_cal= 200: AUROC 0.749 PR-AUC 0.380 Brier 0.074 egim 0.39
  platt     n_cal= 400: AUROC 0.762 PR-AUC 0.455 Brier 0.072 egim 1.03
  isotonic  n_cal= 400: AUROC 0.748 PR-AUC 0.392 Brier 0.072 egim 0.48

=== YENIDEN KALIBRASYON ===
    site   yontem  n_cal  auroc  prauc  brier   egim  kesisim
DRIAMS-B      ham      0  0.826  0.642  0.130  0.770    0.659
DRIAMS-B    platt     25  0.825  0.632  0.134  1.081   -0.038
DRIAMS-B isotonic     25  0.790  0.523  0.143  0.218   -0.866
DRIAMS-B    platt     50  0.834  0.647  0.127  1.277    0.375
DRIAMS-B isotonic     50  0.813  0.555  0.132  0.348   -0.741
DRIAMS-B    platt    100  0.828  0.629  0.120  1.007   -0.019
DRIAMS-B isotonic    100  0.809  0.554  0.129  0.284   -0.899
DRIAMS-C      ham      0  0.673  0.357  0.133  0.398   -0.370
DRIAMS-C    platt     25  0.602  0.310  0.140 -0.384   -2.006
DRIAMS-C isotonic     25  0.633  0.264  0.144  0.129   -1.178
DRIAMS-C    platt     50  0.602  0.310  0.133 -3.623   -7.704
DRIAMS-C isotonic     50  0.649  0.285  0.136  0.341   -1.014
DRIAMS-C    platt    100  0.670  0.355  0.129  0.927   -0.063
DRIAMS-C isotonic    100  0.655  0.302  0.135  0.209   -1.186
DRIAMS-C    platt    200  0.670  0.354  0.129  1.035    0.071
DRIAMS-C isotonic    200  0.655  0.304  0.132  0.350   -1.009
DRIAMS-C    platt    400  0.669  0.357  0.127  0.999    0.002
DRIAMS-C isotonic    400  0.655  0.318  0.129  0.473   -0.823
DRIAMS-D      ham      0  0.762  0.458  0.074  0.690    0.336
DRIAMS-D    platt     25  0.688  0.402  0.082  0.554   -0.916
DRIAMS-D isotonic     25  0.708  0.292  0.083  0.273   -1.015
DRIAMS-D    platt     50  0.761  0.456  0.075  0.917   -0.059
DRIAMS-D isotonic     50  0.726  0.364  0.080  0.245   -1.260
DRIAMS-D    platt    100  0.762  0.456  0.072  1.032    0.082
DRIAMS-D isotonic    100  0.739  0.366  0.075  0.269   -1.535
DRIAMS-D    platt    200  0.764  0.461  0.072  1.087    0.201
DRIAMS-D isotonic    200  0.749  0.380  0.074  0.390   -1.297
DRIAMS-D    platt    400  0.762  0.455  0.072  1.028    0.059
DRIAMS-D isotonic    400  0.748  0.392  0.072  0.477   -1.139

kayit: outputs/recal/Escherichia_coli__Ceftriaxone.csv
