strategy,metric,mean,median,ci_low,ci_high
always_random,prauc,0.5516693556001193,0.5484162839436872,0.4505217848803953,0.6537686405961717
always_random,auroc,0.6782550115522887,0.6686243644150797,0.6384139368083056,0.7208909721817005
always_random,brier,0.19250188552515074,0.1995106222581398,0.16724040767231205,0.21826107054039107
always_hybrid,prauc,0.5534544956949164,0.5488519700186103,0.45465018242436345,0.6531728954896978
always_hybrid,auroc,0.681062844482921,0.6712288205348329,0.6425063570777779,0.7229789774999319
always_hybrid,brier,0.19099649760082615,0.1993312905820151,0.16536906462497952,0.21704666396871883
selective_policy_v2,prauc,0.555322700740778,0.5484162839436872,0.45540058316056586,0.6564779078597469
selective_policy_v2,auroc,0.6807323164350135,0.6712288205348329,0.6412573226367805,0.7228823693701867
selective_policy_v2,brier,0.19190024775365927,0.1993312905820151,0.16637858821006365,0.21786437158983468
oracle_random_hybrid,prauc,0.5561212634667166,0.5521182881277064,0.45642973314529495,0.65701090036133
oracle_random_hybrid,auroc,0.6820090694583582,0.6712288205348329,0.6429745199465485,0.7240478946771809
oracle_random_hybrid,brier,0.19108937639858894,0.1993312905820151,0.16538139190465767,0.21717024463590498
