strategy,metric,mean,median,ci_low,ci_high
always_random,prauc,0.5576842767143839,0.5553031629708712,0.4564699794390835,0.6599607674702802
always_random,auroc,0.683815974278442,0.6694718770143333,0.64343064510442,0.7265321933616771
always_random,brier,0.18925820151526584,0.19946629085827142,0.16504488416775942,0.2140896521212187
always_hybrid,prauc,0.5596829999896256,0.5482732627324888,0.4611968339673218,0.6599497574436626
always_hybrid,auroc,0.6860301165741753,0.6739497550156754,0.6464789611773468,0.7282900050877047
always_hybrid,brier,0.18802128295147708,0.19850370487906627,0.16355214838297127,0.21299363670026006
selective_policy_v2,prauc,0.5619067144041827,0.5587759415860657,0.46260775497599066,0.6625918643359846
selective_policy_v2,auroc,0.686349458197195,0.6739497550156754,0.646173634771072,0.7285793020515351
selective_policy_v2,brier,0.18823070348167997,0.19850370487906627,0.16400837020885328,0.2129761953027369
oracle_random_hybrid,prauc,0.5628730294535084,0.5587759415860657,0.46354706859902667,0.6633366237705031
oracle_random_hybrid,auroc,0.687725251066271,0.6739497550156754,0.6483360557362584,0.7295413472762291
oracle_random_hybrid,brier,0.18770903681373802,0.19779577785062838,0.16332504325051078,0.21255058756472528
