bin,mz_approx,consistent_sign,median_abs_smd,smd__DRIAMS-A,smd__DRIAMS-C,selected
285,2855.1099999999997,True,0.72895026,0.7184121,0.73948836,True
274,2822.1099999999997,True,0.66827846,0.58457136,0.7519855,True
284,2852.1099999999997,True,0.65614384,0.78666395,0.52562374,True
880,4640.11,True,0.611572,0.2531458,0.96999824,True
286,2858.1099999999997,True,0.60981834,0.4294118,0.7902249,True
881,4643.11,True,0.60183996,0.24412918,0.95955074,True
273,2819.1099999999997,True,0.5953944,0.4706787,0.72011006,True
340,3020.1099999999997,True,0.5557104,0.5605797,0.55084103,True
339,3017.1099999999997,True,0.53180707,0.4882509,0.5753632,True
1336,6008.11,True,0.5295192,0.48780587,0.57123256,True
1335,6005.11,True,0.52612185,0.4295032,0.62274057,True
879,4637.11,True,0.50078934,0.23158185,0.7699969,True
1356,6068.11,True,0.49316323,0.35917345,0.627153,True
882,4646.11,True,0.46551457,0.179224,0.7518051,True
1908,7724.11,True,0.4621166,0.5518361,0.37239715,True
1649,6947.11,True,0.45996457,0.4153365,0.50459266,True
545,3635.1099999999997,True,0.45129967,0.33930728,0.563292,True
1421,6263.11,True,0.44853163,0.39334282,0.5037204,True
1909,7727.11,True,0.44813022,0.5285779,0.36768252,True
1337,6011.11,True,0.4447974,0.47657868,0.41301614,True
341,3023.1099999999997,True,0.44312632,0.4749715,0.41128114,True
1357,6071.11,True,0.44302776,0.31249875,0.5735568,True
816,4448.11,True,0.43769777,-0.24338469,-0.6320108,True
4590,15770.11,True,0.42076617,0.28730863,0.5542237,True
1010,5030.11,True,0.41997737,0.3803875,0.45956725,True
2357,9071.11,True,0.41961622,0.46604276,0.37318972,True
629,3887.1099999999997,True,0.41877964,0.22483593,0.61272335,True
1910,7730.11,True,0.415739,0.44036993,0.39110807,True
1531,6593.11,True,0.41213492,0.28602982,0.53824,True
660,3980.1099999999997,True,0.4086374,0.30629387,0.5109809,True
1355,6065.11,True,0.40254968,0.2820219,0.5230775,True
1628,6884.11,True,0.39671004,0.34183013,0.45158994,True
817,4451.11,True,0.39511374,-0.21533047,-0.574897,True
334,3002.1099999999997,True,0.39132118,0.16042736,0.62221503,True
404,3212.1099999999997,True,0.38854063,-0.39012772,-0.3869535,True
1650,6950.11,True,0.38598615,0.38951465,0.38245764,True
1623,6869.11,True,0.38493308,0.26532704,0.50453913,True
58,2174.1099999999997,True,0.38484302,0.031904433,0.7377816,True
1629,6887.11,True,0.38366857,0.30736333,0.4599738,True
1622,6866.11,True,0.38200668,0.2673291,0.49668425,True
1019,5057.11,True,0.3803596,-0.38402528,-0.37669393,True
791,4373.11,True,0.37970284,-0.230738,-0.5286677,True
4270,14810.11,True,0.37847987,0.24622817,0.5107316,True
546,3638.1099999999997,True,0.37842,0.3669841,0.3898559,True
171,2513.1099999999997,True,0.37810493,0.33727792,0.41893196,True
683,4049.1099999999997,True,0.3769763,-0.35547757,-0.39847502,True
528,3584.1099999999997,True,0.3764051,-0.44761315,-0.30519703,True
12,2036.11,True,0.3758238,-0.4080973,-0.3435503,True
1654,6962.11,True,0.37432405,0.38919258,0.35945553,True
137,2411.1099999999997,True,0.37349752,0.25573662,0.4912584,True
2040,8120.11,True,0.37187266,-0.36222193,-0.38152337,True
686,4058.1099999999997,True,0.37133682,-0.5183421,-0.22433153,True
1685,7055.11,True,0.3712568,0.21793191,0.5245817,True
1420,6260.11,True,0.37060294,0.32113484,0.42007104,True
1655,6965.11,True,0.36933443,0.33991542,0.39875343,True
136,2408.1099999999997,True,0.3679449,0.30337846,0.43251133,True
2830,10490.11,True,0.36720744,-0.2687867,-0.46562818,True
1262,5786.11,True,0.36679888,-0.37429267,-0.35930505,True
2084,8252.11,True,0.36517185,0.20684776,0.523496,True
1422,6266.11,True,0.3646882,0.3621285,0.36724788,True
2829,10487.11,True,0.36450124,-0.2819635,-0.447039,True
1686,7058.11,True,0.36188307,0.21836351,0.5054026,True
2703,10109.11,True,0.36086968,-0.3210009,-0.40073845,True
1532,6596.11,True,0.36039227,0.23167947,0.48910508,True
1258,5774.11,True,0.35933113,-0.31741393,-0.40124837,True
529,3587.1099999999997,True,0.35893458,-0.32297322,-0.3948959,True
1648,6944.11,True,0.35845676,0.44382113,0.2730924,True
2299,8897.11,True,0.3577828,-0.22257103,-0.49299458,True
11,2033.11,True,0.35769057,-0.4392699,-0.27611127,True
2039,8117.11,True,0.35750824,-0.38194025,-0.3330762,True
333,2999.1099999999997,True,0.35621837,0.15807779,0.55435896,True
3181,11543.11,True,0.35559878,-0.27955475,-0.4316428,True
682,4046.1099999999997,True,0.35539827,-0.41380227,-0.29699427,True
1725,7175.11,True,0.35489377,-0.3085499,-0.40123764,True
