bin,mz_approx,consistent_sign,median_abs_smd,selected,selection_sites,target_excluded,smd__DRIAMS-A,smd__DRIAMS-B
284,2852.1099999999997,True,1.0199358,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.78666395,1.2532078
283,2849.1099999999997,True,0.9069314,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.32286716,1.4909956
285,2855.1099999999997,True,0.8245446,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.7184121,0.9306771
1463,6389.11,True,0.71124244,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.15668456,1.2658004
1462,6386.11,True,0.68095905,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.062163696,1.2997544
999,4997.11,True,0.67547274,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.63534826,0.7155972
282,2846.1099999999997,True,0.66929674,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.12342674,1.2151667
2567,9701.11,True,0.6640149,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.34422126,0.98380846
786,4358.11,True,0.64904153,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.1472781,1.150805
2357,9071.11,True,0.64857876,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.46604276,0.8311148
2681,10043.11,True,0.63547975,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.009023079,1.2619364
1001,5003.11,True,0.621683,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.6657315,0.5776346
260,2780.1099999999997,True,0.6205857,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.31776202,0.9234094
2773,10319.11,True,0.6177513,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.17431523,1.0611874
2680,10040.11,True,0.61726,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.063314505,1.1712054
2679,10037.11,True,0.60091746,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.093521304,1.1083136
54,2162.1099999999997,True,0.60057586,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,-0.47411323,-0.7270385
259,2777.1099999999997,True,0.59924424,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.15802583,1.0404626
3140,11420.11,True,0.59300345,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.14515051,1.0408564
1000,5000.11,True,0.59231776,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.6787464,0.5058891
3146,11438.11,True,0.58590364,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.020899907,1.1509074
1867,7601.11,True,0.5814562,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.17037968,0.99253273
3525,12575.11,True,0.57989794,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.19964306,0.9601528
827,4481.11,True,0.57231426,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.25128883,0.8933397
3141,11423.11,True,0.570116,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.13993451,1.0002974
1990,7970.11,True,0.5663235,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.12271807,1.009929
60,2180.1099999999997,True,0.56505185,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,-0.4257631,-0.70434064
27,2081.1099999999997,True,0.5608568,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,-0.44458207,-0.6771316
55,2165.1099999999997,True,0.5601754,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,-0.47678775,-0.64356303
2772,10316.11,True,0.5529348,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.15821247,0.94765717
61,2183.1099999999997,True,0.55134547,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,-0.25655058,-0.8461404
787,4361.11,True,0.5505239,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.07487063,1.0261772
2771,10313.11,True,0.5413153,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.11183253,0.9707981
380,3140.1099999999997,True,0.54127073,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.0025829582,1.0799586
3145,11435.11,True,0.54112875,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.003539622,1.0787178
3730,13190.11,True,0.5382775,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.04447007,1.032085
3729,13187.11,True,0.53738844,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.055835806,1.018941
2774,10322.11,True,0.53448266,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.14389876,0.92506653
629,3887.1099999999997,True,0.53440696,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.22483593,0.843978
3109,11327.11,True,0.53347695,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.3058061,0.7611478
3108,11324.11,True,0.5313492,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.39478952,0.66790885
4156,14468.11,True,0.5217141,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.002024796,1.0414034
2206,8618.11,True,0.52031964,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.120883845,0.91975546
3139,11417.11,True,0.5185546,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.13831396,0.8987953
1674,7022.11,True,0.51684237,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,-0.3650579,-0.6686268
3107,11321.11,True,0.5158313,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.41721094,0.61445165
2356,9068.11,True,0.5128682,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.43148002,0.59425646
628,3884.1099999999997,True,0.5076703,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.08018045,0.93516016
28,2084.1099999999997,True,0.50658876,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,-0.37637928,-0.63679826
998,4994.11,True,0.50276184,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.4756636,0.52986014
4528,15584.11,True,0.501783,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.042863518,0.9607025
3524,12572.11,True,0.50119495,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.17729193,0.82509804
3045,11135.11,True,0.49453378,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.1773015,0.8117661
163,2489.1099999999997,True,0.4936246,True,DRIAMS-A|DRIAMS-B,DRIAMS-C,0.09147613,0.89577305
