site,cluster,n,fraction,resistance_rate
DRIAMS-A,0,24,0.0063324538258575196,0.20833333333333334
DRIAMS-A,1,288,0.07598944591029023,0.04861111111111111
DRIAMS-A,2,1757,0.4635883905013193,0.18725099601593626
DRIAMS-A,3,1582,0.41741424802110816,0.2307206068268015
DRIAMS-A,4,23,0.006068601583113457,0.0
DRIAMS-A,5,19,0.005013192612137203,0.21052631578947367
DRIAMS-A,6,73,0.01926121372031662,0.0684931506849315
DRIAMS-A,7,24,0.0063324538258575196,0.16666666666666666
DRIAMS-C,0,127,0.17208672086720866,0.007874015748031496
DRIAMS-C,1,49,0.06639566395663957,0.04081632653061224
DRIAMS-C,2,31,0.04200542005420054,0.03225806451612903
DRIAMS-C,3,129,0.17479674796747968,0.031007751937984496
DRIAMS-C,4,80,0.10840108401084012,0.0875
DRIAMS-C,5,307,0.4159891598915989,0.08469055374592833
DRIAMS-C,6,15,0.02032520325203252,0.0
DRIAMS-C,7,0,0.0,
