site,cluster,n,fraction,resistance_rate
DRIAMS-A,0,106,0.027968337730870714,0.04716981132075472
DRIAMS-A,1,2212,0.5836411609498681,0.2115732368896926
DRIAMS-A,2,499,0.1316622691292876,0.050100200400801605
DRIAMS-A,3,161,0.04248021108179419,0.11180124223602485
DRIAMS-A,4,55,0.014511873350923483,0.05454545454545454
DRIAMS-A,5,363,0.09577836411609499,0.33608815426997246
DRIAMS-A,6,317,0.08364116094986808,0.15141955835962145
DRIAMS-A,7,77,0.020316622691292877,0.4805194805194805
DRIAMS-C,0,30,0.04065040650406504,0.06666666666666667
DRIAMS-C,1,299,0.4051490514905149,0.03678929765886288
DRIAMS-C,2,91,0.12330623306233063,0.08791208791208792
DRIAMS-C,3,51,0.06910569105691057,0.0
DRIAMS-C,4,31,0.04200542005420054,0.03225806451612903
DRIAMS-C,5,142,0.19241192411924118,0.09154929577464789
DRIAMS-C,6,62,0.08401084010840108,0.03225806451612903
DRIAMS-C,7,32,0.04336043360433604,0.125
