code,site,y,p,support_distance,support_stratum
28010102990_B12,DRIAMS-C,0,0.0364714533088014,0.026376353204250337,low_support
28010102990_D11,DRIAMS-C,0,0.026528721387002286,0.020217774249613286,high_support
28010102990_D9,DRIAMS-C,0,0.049350674771983176,0.022094018384814264,medium_support
28010105020_C3,DRIAMS-C,0,0.001278490514293922,0.014292292483150958,high_support
28010201730_F9,DRIAMS-C,0,0.0027222367154944166,0.03334546964615583,low_support
28010202660_A3,DRIAMS-C,0,0.024587410278335522,0.02032704260200262,high_support
28010205600_E3,DRIAMS-C,0,0.00024620454936661066,0.016710480395704507,high_support
28010305960_A5,DRIAMS-C,0,0.002248058439624829,0.02861057370901108,low_support
28010309840_B3,DRIAMS-C,0,0.004260837599667501,0.023701472394168376,medium_support
28010312660_A10,DRIAMS-C,0,0.0013645449594897026,0.014974673464894294,high_support
28010312830_A8,DRIAMS-C,0,0.0006015648066135104,0.034297003597021106,low_support
28010312830_A9,DRIAMS-C,0,0.0021365010360479093,0.03032516222447157,low_support
28010401850_B6,DRIAMS-C,0,0.04477344470487057,0.0272225895896554,low_support
28010411300_C4,DRIAMS-C,0,0.0021184196094960407,0.04584559183567762,low_support
28010413780_B1,DRIAMS-C,0,0.0065748762367358925,0.031212075054645537,low_support
28010505890_A10,DRIAMS-C,0,0.005980478622036384,0.03381273970007896,low_support
28010510170_C10,DRIAMS-C,0,0.0004923168172280461,0.016719665937125684,high_support
28010510180_A2,DRIAMS-C,0,0.16231110563289058,0.023495926707983016,medium_support
28010604540_C6,DRIAMS-C,0,0.03377789892155255,0.02497802469879389,medium_support
28010809230_B6,DRIAMS-C,0,0.05510712915431806,0.01900805179029703,high_support
28010809230_B7,DRIAMS-C,0,0.015956667014626336,0.020560958422720432,medium_support
28010811270_E4,DRIAMS-C,0,0.00935036655583154,0.03195887822657824,low_support
28010811340_E8,DRIAMS-C,0,0.005477784164441271,0.02205926291644573,medium_support
28010811340_E9,DRIAMS-C,0,0.0018762831993926312,0.014990558475255966,high_support
28010904980_C10,DRIAMS-C,0,0.016255051265308535,0.021630433201789857,medium_support
28010910430_C6,DRIAMS-C,0,0.028844991205825492,0.017819955572485925,high_support
28010913110_A2,DRIAMS-C,0,0.0010749664101481278,0.013487561978399754,high_support
28011005160_B7,DRIAMS-C,0,0.027063633909707584,0.014262180123478175,high_support
28011106890_C8,DRIAMS-C,0,0.00034112199314725796,0.0212898263707757,medium_support
28011503430_C10,DRIAMS-C,0,0.007612866585565585,0.018962899036705495,high_support
28011503430_D10,DRIAMS-C,0,0.002820773925317672,0.022356487065553664,medium_support
28011503680_D11,DRIAMS-C,0,0.007258643787557508,0.019077859073877334,high_support
28011509420_F7,DRIAMS-C,0,0.029464060279667338,0.027224598824977873,low_support
28011509420_F8,DRIAMS-C,0,0.030466401918116576,0.02448801975697279,medium_support
28011511860_C11,DRIAMS-C,0,0.010489950589610735,0.02147803734987974,medium_support
28011513230_B9,DRIAMS-C,0,0.006992228556584293,0.01790211834013462,high_support
28011513930_E10,DRIAMS-C,0,0.05233519127880077,0.021113327331840993,medium_support
28011513930_E6,DRIAMS-C,0,0.04696398354115107,0.017553034611046313,high_support
28011513950_F2,DRIAMS-C,0,0.0901613736021316,0.015690879430621862,high_support
28011601630_E1,DRIAMS-C,1,0.08771513899258963,0.02779372427612543,low_support
28011601630_E4,DRIAMS-C,1,0.008341528904297709,0.028650584816932678,low_support
28011608910_F3,DRIAMS-C,0,0.08067908426800643,0.023376351781189443,medium_support
28011610930_E11,DRIAMS-C,0,0.002413933761766127,0.014999801013618707,high_support
28011612740_D6,DRIAMS-C,0,0.0028928711997272994,0.024458407796919344,medium_support
28011707170_F9,DRIAMS-C,0,0.0026335704741913845,0.01445176536217332,high_support
28011802980_C3,DRIAMS-C,0,0.0005377205867389961,0.018518019653856754,high_support
28011909270_B10,DRIAMS-C,0,0.14640128295976343,0.017629311233758927,high_support
28011909830_F4,DRIAMS-C,0,0.0018727050863522217,0.023369826562702655,medium_support
28011909830_F5,DRIAMS-C,0,0.004246149111794198,0.02518381513655186,medium_support
28011910160_D12,DRIAMS-C,0,0.0026438019227045147,0.015862900856882335,high_support
28012004610_C7,DRIAMS-C,0,0.054919498763642216,0.024294421076774597,medium_support
28012103010_E5,DRIAMS-C,0,0.044367150069900246,0.026009786687791348,medium_support
28012205590_C3,DRIAMS-C,0,0.0038035919926036384,0.027533760853111745,low_support
28012205610_C5,DRIAMS-C,0,0.05026553395754107,0.017775866948068143,high_support
28012206170_E3,DRIAMS-C,0,0.013595960275379572,0.024465864151716234,medium_support
28012206250_E5,DRIAMS-C,0,0.012075570025469119,0.02008205223828554,high_support
28012209900_A1,DRIAMS-C,0,0.0369799968752048,0.015593166183680295,high_support
28012304040_A7,DRIAMS-C,0,0.006918405791672326,0.022970558516681193,medium_support
28012309730_A12,DRIAMS-C,0,0.013720213286810742,0.02327180691063404,medium_support
28012402400_B5,DRIAMS-C,0,0.06647642037469209,0.025236443243920804,medium_support
28012402430_B6,DRIAMS-C,0,0.0020515706593036945,0.02531918529421091,medium_support
28012603470_C2,DRIAMS-C,0,0.010477130430197637,0.027997647039592267,low_support
28012608340_D9,DRIAMS-C,0,0.00043007039456453676,0.020879221335053443,medium_support
28012612620_G9,DRIAMS-C,0,0.025632121099607524,0.01927369050681591,high_support
28012612620_A10,DRIAMS-C,0,0.19321216137667446,0.028100754506886004,low_support
28012612620_A11,DRIAMS-C,0,0.5664022698320189,0.03064613286405802,low_support
28012612620_A12,DRIAMS-C,0,0.055201300295229946,0.03645238094031811,low_support
28012612630_G10,DRIAMS-C,0,0.0727396521835009,0.02095165979117155,medium_support
28012612630_B1,DRIAMS-C,0,0.642793334807006,0.024651155062019824,medium_support
28012612630_B2,DRIAMS-C,0,0.09016470418080827,0.031232400983572006,low_support
28012612630_B3,DRIAMS-C,0,0.024692122370962008,0.03542388528585434,low_support
28012701910_E3,DRIAMS-C,0,0.02094262746223169,0.02557086069136858,medium_support
28012702220_E8,DRIAMS-C,0,0.01076321012453763,0.015236885473132133,high_support
28012702220_E9,DRIAMS-C,0,0.004752472054018431,0.021818803809583186,medium_support
28012702670_E11,DRIAMS-C,0,0.14879814920653367,0.02512881588190794,medium_support
28012703350_F7,DRIAMS-C,0,0.06018653692977824,0.027649791724979878,low_support
28012703350_B5,DRIAMS-C,0,0.012097246514265716,0.027010918222367765,low_support
28012704350_G9,DRIAMS-C,0,0.03502552298881891,0.020660321414470672,medium_support
28012904720_G12,DRIAMS-C,0,0.0020406481174802906,0.025059976801276206,medium_support
28012906070_A7,DRIAMS-C,0,0.0017342993361966603,0.01616053991019726,high_support
28012906350_B1,DRIAMS-C,0,0.004353028090388555,0.02463435661047697,medium_support
28012909350_B8,DRIAMS-C,0,0.08779888180750238,0.01907165311276913,high_support
28013005400_A9,DRIAMS-C,0,0.014343341900623646,0.01695962157100439,high_support
28013005820_C12,DRIAMS-C,0,0.0007381358482382384,0.028815255500376225,low_support
28013008780_B3,DRIAMS-C,0,0.04094156439967413,0.016424580384045838,high_support
28013008780_B5,DRIAMS-C,0,0.00490506508952801,0.022085172310471534,medium_support
28013009980_G5,DRIAMS-C,1,0.05379473894137978,0.03071854282170534,low_support
28013009980_A2,DRIAMS-C,1,0.6349919238670256,0.01982609760016203,high_support
28013010330_B6,DRIAMS-C,0,0.0024102545710464568,0.023930164985358715,medium_support
28013010860_A4,DRIAMS-C,0,0.0404990385390743,0.02548286337405443,medium_support
28013012980_F10,DRIAMS-C,0,0.0016358266174200916,0.019718368537724018,high_support
28013102900_D1,DRIAMS-C,0,0.004475623412110784,0.02488284595310688,medium_support
28013102900_D2,DRIAMS-C,0,0.003111237871882067,0.018972825445234775,high_support
28013106160_D7,DRIAMS-C,0,0.0029003336270656166,0.017942968383431436,high_support
28013109040_D12,DRIAMS-C,0,0.0016717228675581868,0.019356677122414113,high_support
28013109040_E1,DRIAMS-C,0,0.008731771756344438,0.0212364187464118,medium_support
