predictor,median_cut,n_low,n_high,mean_delta_low,mean_delta_high,high_minus_low,mannwhitney_p
source_internal_diversity,8.369790204515958,10,10,-0.003148482579155284,0.008539466661304052,0.011687949240459336,0.014019277113959953
prevalence_ratio,0.8833317291371623,10,10,-0.0023135804347349095,0.007704564516883677,0.010018144951618586,0.053902557169387175
target_n,406.0,10,10,-0.0007923752358139563,0.006183359317962723,0.00697573455377668,0.10410988966022681
target_positives,124.0,10,10,0.003661270785597077,0.0017297132965516896,-0.0019315574890453873,0.6231762238821174
source_n,4425.5,10,10,0.00404040850986052,0.0013505755722882464,-0.0026898329375722734,0.9097218891455553
target_prevalence,0.3480466130114017,10,10,0.006911095185229357,-0.0015201111030805896,-0.008431206288309947,0.053902557169387175
prevalence_absolute_shift,0.05763635468854836,10,10,0.006937312223816054,-0.0015463281416672862,-0.00848364036548334,0.04515456962427901
source_only_brier_mean,0.1995501645145245,10,10,0.007327800116580843,-0.0019368160344320773,-0.00926461615101292,0.0211339281291611
source_prediction_sd,0.4256644359208418,10,10,0.0073718790144998644,-0.0019808949323510965,-0.00935277394685096,0.009108496398030965
centroid_distance_svd,0.5535149872303009,10,10,0.00854400675757401,-0.003153022675425243,-0.011697029432999254,0.04515456962427901
diversity_ratio,1.2029520142261865,10,10,0.008646820084738108,-0.00325583600258934,-0.011902656087327448,0.03763531378731424
source_only_auroc_mean,0.6672093271912013,10,10,0.008822139368163555,-0.0034311552860147865,-0.012253294654178341,0.00728455700947966
covariance_distance_svd,0.7077569921333399,10,10,0.008966052860202306,-0.00357506877805354,-0.012541121638255846,0.011329696684474665
target_internal_diversity,10.560162548432736,10,10,0.009081386875421918,-0.003690402793273151,-0.012771789668695068,0.00728455700947966
source_to_target_nn_distance,11.33948385821217,10,10,0.009590975400304843,-0.004199991318156076,-0.01379096671846092,0.00579535854433471
source_prevalence,0.29461196177200066,10,10,0.009689735892349505,-0.004298751810200737,-0.013988487702550241,0.0028272720911168077
target_prediction_mean,0.1776309527605901,10,10,0.009689735892349505,-0.004298751810200737,-0.013988487702550241,0.0028272720911168077
prediction_mean_shift,-0.09567860890231118,10,10,0.009689735892349505,-0.004298751810200737,-0.013988487702550241,0.0028272720911168077
source_positives,1321.5,10,10,0.009689735892349505,-0.004298751810200737,-0.013988487702550241,0.0028272720911168077
source_positive_rate_model,0.29461196177200066,10,10,0.009689735892349505,-0.004298751810200737,-0.013988487702550241,0.0028272720911168077
source_prediction_mean,0.2943740833525178,10,10,0.009689735892349505,-0.004298751810200737,-0.013988487702550241,0.0028272720911168077
target_to_source_nn_distance,13.043492515563411,10,10,0.009726651925430008,-0.004335667843281241,-0.01406231976871125,0.0028272720911168077
source_prediction_entropy,0.08122033538760619,10,10,0.009837820431848478,-0.004446836349699711,-0.014284656781548189,0.0036105143123296027
source_only_prauc_mean,0.5432002124923003,10,10,0.009855682291180803,-0.0044646982090320335,-0.014320380500212837,0.0017062493689195964
target_positive_rate_model,0.10684507126841769,10,10,0.009855682291180803,-0.0044646982090320335,-0.014320380500212837,0.0017062493689195964
target_prediction_sd,0.15681043848663676,10,10,0.00998862615790815,-0.004597642075759383,-0.014586268233667533,0.0007685389131627665
prediction_sd_shift,-0.24874585565893617,10,10,0.00998862615790815,-0.004597642075759383,-0.014586268233667533,0.0007685389131627665
target_prediction_entropy,0.325870189038977,10,10,0.010088337069481982,-0.004697352987333213,-0.014785690056815196,0.0017062493689195964
entropy_shift,0.19743460624290132,10,10,0.01025023063319384,-0.0048592465510450735,-0.015109477184238914,0.0005828399431792743
domain_auc_svd,0.994029286901815,10,10,0.010254283468313277,-0.00486329938616451,-0.015117582854477786,0.0010079762403767444
