subset,predictor,outcome,n,spearman_rho,spearman_p,pearson_r,pearson_p,abs_spearman_rho
pooled,domain_auc_svd,delta_prauc,60,-0.6191937073435861,1.3354954142561161e-07,-0.6842561146393592,1.6665124586283344e-09,0.6191937073435861
pooled,prediction_mean_shift,delta_prauc,60,-0.5783035568586324,1.3041279887647132e-06,-0.5562138986439455,3.946796331415399e-06,0.5783035568586324
pooled,source_internal_diversity,delta_prauc,60,0.5644128525880393,2.6411253818766855e-06,0.3617260448223395,0.004513804151281892,0.5644128525880393
pooled,centroid_distance_svd,delta_prauc,60,-0.5609461052242031,3.1341694429003082e-06,-0.5883309508642127,7.676366165024538e-07,0.5609461052242031
pooled,target_to_source_nn_distance,delta_prauc,60,-0.5569405394624117,3.8103999667086698e-06,-0.5315381591340271,1.2424506413833333e-05,0.5569405394624117
pooled,entropy_shift,delta_prauc,60,-0.5505983936729086,5.1651112559280565e-06,-0.5375173372299656,9.488297363911579e-06,0.5505983936729086
pooled,target_prediction_entropy,delta_prauc,60,-0.5440893493099976,7.012675286912683e-06,-0.5503004624397682,5.238649557951786e-06,0.5440893493099976
pooled,prediction_sd_shift,delta_prauc,60,-0.5382478992407185,9.177577487823019e-06,-0.5036278097544674,4.097380723162828e-05,0.5382478992407185
pooled,target_positive_rate_model,delta_prauc,60,-0.5153262149128778,2.516629736966555e-05,-0.500323944543684,4.687082047487591e-05,0.5153262149128778
pooled,target_prediction_mean,delta_prauc,60,-0.5067040688666113,3.610680541986574e-05,-0.5124518181495874,2.8415398092160885e-05,0.5067040688666113
pooled,source_to_target_nn_distance,delta_prauc,60,-0.5006957202239242,4.6170158655340886e-05,-0.5393275184513526,8.735685460409159e-06,0.5006957202239242
pooled,target_prediction_sd,delta_prauc,60,-0.4963563573153168,5.49845269468798e-05,-0.45294699298350394,0.0002791145666242208,0.4963563573153168
pooled,covariance_distance_svd,delta_prauc,60,-0.49084870439285366,6.840471591273769e-05,-0.5790236856872905,1.2561620727712927e-06,0.49084870439285366
pooled,source_prediction_entropy,delta_prauc,60,-0.4620655434218012,0.0002019767081266503,-0.505828504288111,3.743461517913469e-05,0.4620655434218012
pooled,source_prediction_mean,delta_prauc,60,-0.4398596835211328,0.00043718249818888044,-0.4727115574551847,0.0001368446807342659,0.4398596835211328
pooled,source_positive_rate_model,delta_prauc,60,-0.4398596835211328,0.00043718249818888044,-0.47281060388229373,0.00013634171954310503,0.4398596835211328
pooled,diversity_ratio,delta_prauc,60,-0.4117387805974736,0.0010811527853992068,-0.41326647056711113,0.0010312974603994478,0.4117387805974736
pooled,source_only_prauc_mean,delta_prauc,60,-0.39922138759187553,0.0015787445100265327,-0.40170617587190766,0.0014661322825406072,0.39922138759187553
pooled,target_internal_diversity,delta_prauc,60,-0.3740197030072714,0.0032415140491288187,-0.2426468149129261,0.0617593479572915,0.3740197030072714
pooled,target_n,delta_prauc,60,0.37109334567159175,0.003511364320053071,0.27372057978346054,0.03432540953355501,0.37109334567159175
pooled,source_only_auroc_mean,delta_prauc,60,-0.34397795979383594,0.007122793766138061,-0.3102360650092091,0.015848885959375423,0.34397795979383594
pooled,source_prediction_sd,delta_prauc,60,-0.28024463040053954,0.03010060378795315,-0.21194267685375826,0.10401485505859273,0.28024463040053954
pooled,source_only_brier_mean,delta_prauc,60,-0.2623645573973363,0.042852606289084494,-0.11107495395157588,0.3981651582543274,0.2623645573973363
pooled,source_n,delta_prauc,60,-0.04449520047765493,0.7356832103075333,-0.33187861536718744,0.00958317112892923,0.04449520047765493
