predictor,ridge_coefficient,abs_coefficient,alpha
source_prediction_sd,0.002213734490646457,0.002213734490646457,10.0
prediction_mean_shift,-0.0021585447773993906,0.0021585447773993906,10.0
domain_auc_svd,-0.002039903222084982,0.002039903222084982,10.0
covariance_distance_svd,-0.0020192337767735375,0.0020192337767735375,10.0
source_prediction_entropy,-0.0018042959043114177,0.0018042959043114177,10.0
target_prediction_entropy,-0.001352255200234765,0.001352255200234765,10.0
target_to_source_nn_distance,-0.0010594398940499015,0.0010594398940499015,10.0
prediction_sd_shift,-0.0010214261878110636,0.0010214261878110636,10.0
entropy_shift,-0.0009407427215111252,0.0009407427215111252,10.0
source_to_target_nn_distance,-0.0006522810714896223,0.0006522810714896223,10.0
target_internal_diversity,0.0006119207493111003,0.0006119207493111003,10.0
source_only_prauc_mean,-0.0004938757858332288,0.0004938757858332288,10.0
source_only_brier_mean,0.00043837260987072637,0.00043837260987072637,10.0
source_n,-0.00042191331957266125,0.00042191331957266125,10.0
source_positive_rate_model,0.0004182708362968945,0.0004182708362968945,10.0
source_prediction_mean,0.00041613391249586794,0.00041613391249586794,10.0
centroid_distance_svd,-0.00040000972064295926,0.00040000972064295926,10.0
target_positive_rate_model,-0.0003699765834246975,0.0003699765834246975,10.0
diversity_ratio,0.0003472757469949557,0.0003472757469949557,10.0
target_prediction_mean,-0.0003357637121571989,0.0003357637121571989,10.0
target_n,-0.00022428567508333026,0.00022428567508333026,10.0
source_internal_diversity,0.00014306818834004546,0.00014306818834004546,10.0
source_only_auroc_mean,0.00013092591110492035,0.00013092591110492035,10.0
target_prediction_sd,0.00012042589964822858,0.00012042589964822858,10.0
