predictor,n,beta_per_1sd,se_hc3,p_hc3,r_squared
domain_auc_svd,20,-0.009773713064815007,,,0.7335087041835207
centroid_distance_svd,20,-0.008403546240066763,,,0.5422646456654324
covariance_distance_svd,20,-0.008270604002136708,,,0.5252433428601483
source_positives,20,-0.007955255183682116,,,0.4859530729235604
prediction_mean_shift,20,-0.007944795713683901,,,0.48467606292172105
target_prediction_entropy,20,-0.007860329930381474,,,0.47442509514865217
source_to_target_nn_distance,20,-0.007703595626188105,,,0.45569373531321655
entropy_shift,20,-0.0076777395301664934,,,0.4526399177367665
target_to_source_nn_distance,20,-0.007592334708998559,,,0.44262587045357416
target_prediction_mean,20,-0.007319711028791611,,,0.4114091766073522
source_prediction_entropy,20,-0.007225105561969818,,,0.40084317713986384
prediction_sd_shift,20,-0.007193671488598687,,,0.3973628890844437
target_positive_rate_model,20,-0.0071464800497088275,,,0.39216648325505665
source_positive_rate_model,20,-0.00675348758497512,,,0.3502211050917394
source_prevalence,20,-0.00675348758497512,,,0.3502211050917394
source_prediction_mean,20,-0.006752072834945527,,,0.3500743887722739
target_prediction_sd,20,-0.006469761609964961,,,0.321412423641258
diversity_ratio,20,-0.005902976700089285,,,0.2675643454250429
source_only_prauc_mean,20,-0.00573785285118811,,,0.2528045670931738
target_prevalence,20,-0.00554170370708953,,,0.23581569504172617
source_internal_diversity,20,0.005166788419725938,,,0.20498753727093655
source_n,20,-0.004740456517232672,,,0.17255455876373826
source_only_auroc_mean,20,-0.0044313206942896205,,,0.1507830296166056
prevalence_ratio,20,0.004286268559050745,,,0.14107331131055345
prevalence_absolute_shift,20,-0.004144754245084267,,,0.13191180813704928
target_n,20,0.003909744244592576,,,0.11737694490562
target_internal_diversity,20,-0.00346589572777575,,,0.09223953169473476
source_prediction_sd,20,-0.00302732685167128,,,0.07037278369432554
source_only_brier_mean,20,-0.0015865619687095843,,,0.01932859075203497
target_positives,20,5.7816864912601294e-05,,,2.5668612676388314e-05
