source,target,species,drug,mean_delta_prauc,median_delta_prauc,min_delta_prauc,max_delta_prauc,positive_budget_fraction,significant_positive_budget_fraction,mean_delta_auroc,mean_delta_brier,transfer_id,source_n,target_n,source_positives,target_positives,source_prevalence,target_prevalence,prevalence_absolute_shift,prevalence_ratio,domain_auc_svd,centroid_distance_svd,covariance_distance_svd,source_to_target_nn_distance,target_to_source_nn_distance,source_internal_diversity,target_internal_diversity,diversity_ratio,source_positive_rate_model,target_positive_rate_model,source_prediction_entropy,target_prediction_entropy,entropy_shift,source_prediction_mean,target_prediction_mean,prediction_mean_shift,source_prediction_sd,target_prediction_sd,prediction_sd_shift,source_only_auroc_mean,source_only_prauc_mean,source_only_brier_mean
DRIAMS-A,DRIAMS-B,Escherichia coli,Amoxicillin-Clavulanic acid,0.0065765651652003,0.0026629879341739,0.0018163248755024,0.0152503826859246,1.0,0.0,0.013235294117647,-0.006245719607135267,DRIAMS-A->DRIAMS-B|Escherichia coli|Amoxicillin-Clavulanic acid,4826,213,1177,76,0.2438872772482387,0.3568075117370892,0.1129202344888504,1.463001743112313,0.9942292239415216,0.8213404417037964,0.7121804839896885,12.199859769671376,12.868364848329428,8.379811144072734,10.50305495665107,1.2533760935746343,0.2438872772482387,0.0140845070422535,0.14861701744899,0.3399926830723432,0.1913756656233532,0.2431360558689699,0.1257594879334438,-0.1173765679355261,0.3864085378440607,0.0982655137128196,-0.288143024131241,0.6410990712074304,0.5131369575206184,0.2748022784826231
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Amoxicillin-Clavulanic acid,-0.0019874028518225,-0.0026968731036351,-0.0055921384550818,0.0023268030032494,0.3333333333333333,0.0,-0.00021645453982409996,-0.0014456498881599332,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Amoxicillin-Clavulanic acid,4262,220,3006,129,0.7053026748005631,0.5863636363636363,0.1189390384369267,0.8313645436399927,0.9994880764472504,0.9185713529586792,0.7998564673671007,13.192700684478954,13.995125647458163,8.246063873002587,10.738918861259114,1.3023084742792344,0.7053026748005631,0.75,0.0822318280376865,0.3721527418338234,0.2899209137961369,0.7055532581682018,0.7193873660400126,0.0138341078718108,0.4369993608029183,0.290905862930417,-0.1460934978725013,0.712153079710145,0.7954840382379822,0.2537391268065863
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Cefepime,-0.011017983275316834,-0.0107547162779716,-0.0138335620566652,-0.0084656714913137,0.0,0.3333333333333333,-0.0036074608262108027,-0.00010435966543746661,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Cefepime,4261,220,3006,129,0.7054681999530626,0.5863636363636363,0.1191045635894263,0.8311694792233714,0.9992330012161036,0.9226214289665222,0.8059718127041214,13.249262015580628,14.077804283662276,8.242995247984123,10.731493460481817,1.301892472048467,0.7054681999530626,0.7681818181818182,0.0820125958879113,0.365510675341121,0.2834980794532096,0.705721112548971,0.7241904456043122,0.0184693330553412,0.436978858982672,0.2929266338627128,-0.1440522251199592,0.7131473894463024,0.8002429000669679,0.2554767121381681
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Ciprofloxacin,0.002452463151746667,0.0022031804143643,0.0008915516245497,0.004262657416326,1.0,0.0,0.0044804683102555,-0.012465480648472632,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Ciprofloxacin,4679,220,2687,94,0.5742680059841847,0.4272727272727272,0.1469952787114574,0.7440301789762154,0.999393809866133,0.9011023640632628,0.7968549406103177,13.086288299293544,13.701012411767788,8.171675860109836,10.638081979318098,1.3018237827136612,0.5742680059841847,0.5136363636363637,0.0764660548832095,0.3467811728828761,0.2703151179996665,0.5743048317426744,0.5135391904305461,-0.0607656413121283,0.4785888038034384,0.3780354557845387,-0.1005533480188997,0.914049307666329,0.920228500081984,0.1234990341745976
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Clindamycin,-0.009560867096493867,-0.0126876546371947,-0.0135544805749672,-0.0024404660773197,0.0,0.0,-0.0034421930949708663,0.00020529640551063323,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Clindamycin,4192,216,2125,89,0.5069179389312977,0.412037037037037,0.0948809018942606,0.8128278867102398,0.9995516150692678,0.9042452573776244,0.7971723828110981,13.281214346275984,13.90878902276357,8.251635692115048,10.732690229239289,1.300674269889913,0.5069179389312977,0.5092592592592593,0.1836813696604487,0.5627148199557317,0.3790334502952829,0.5069880853896693,0.4874447649337228,-0.0195433204559465,0.4537203098416921,0.2406684060846716,-0.2130519037570205,0.6780924072069905,0.6196567678182054,0.2407828948192759
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Erythromycin,-0.005983866988705667,-0.0110505642800014,-0.0193700744003127,0.0124690377141971,0.3333333333333333,0.3333333333333333,0.0018299447839399332,-0.0013149625493661665,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Erythromycin,4232,216,2591,97,0.6122400756143668,0.449074074074074,0.1631660015402927,0.7334934316794601,0.9993873836028844,0.8977175951004028,0.8084371524301323,13.253133959254155,13.949786238537897,8.245121218407762,10.707201270924674,1.2986105343145422,0.6122400756143668,0.7546296296296297,0.2058966961855914,0.5842309518346555,0.378334255649064,0.6124933108723627,0.6220264029136976,0.0095330920413349,0.431874391300877,0.1872646815586486,-0.2446097097422284,0.6464996853261079,0.5732634674639822,0.2647391592053626
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Fusidic acid,-0.02060599177277207,-0.0262481168975882,-0.0350392455182551,-0.0005306129024729,0.0,0.3333333333333333,-0.017644300814032968,0.004555127986846533,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Fusidic acid,4589,218,2407,101,0.5245151449117454,0.463302752293578,0.0612123926181674,0.8832971874845158,0.9994082378883687,0.893692672252655,0.7946105959498119,13.130813639479332,13.7426601764259,8.16495491566287,10.654316595934947,1.3048837018679336,0.5245151449117454,0.5412844036697247,0.2280614126541484,0.5980007774830023,0.3699393648288538,0.5244954293117823,0.5255582474330267,0.0010628181212444,0.4376690478306393,0.2093112265364759,-0.2283578212941634,0.6991127995324372,0.6496455442158375,0.2240795678032514
DRIAMS-A,DRIAMS-B,Staphylococcus epidermidis,Oxacillin,-0.010351659957348634,-0.0100544576787303,-0.0171270225173418,-0.0038734996759738,0.0,0.3333333333333333,-0.002730629877369,-0.0008111701556930002,DRIAMS-A->DRIAMS-B|Staphylococcus epidermidis|Oxacillin,4664,220,3324,129,0.7126929674099486,0.5863636363636363,0.1263293310463122,0.8227436823104692,0.9994717760798378,0.8974229097366333,0.796219232488808,13.085826600466952,13.719141539010137,8.165518407337048,10.6172701402144,1.3002567149532545,0.7126929674099486,0.8,0.0971875542441963,0.3579251292217462,0.2607375749775498,0.7130062973132862,0.7528117941179658,0.0398054968046795,0.4289265433614199,0.2723891504422901,-0.1565373929191297,0.720480165366035,0.7946118089889899,0.2439472813758731
DRIAMS-A,DRIAMS-C,Escherichia coli,Amoxicillin-Clavulanic acid,-0.00038514749449470014,-0.0012828602876611,-0.0041078111325191,0.0042352289366961,0.3333333333333333,0.0,0.004164941338854367,0.0007704828837259222,DRIAMS-A->DRIAMS-C|Escherichia coli|Amoxicillin-Clavulanic acid,4826,902,1177,230,0.2438872772482387,0.2549889135254989,0.0111016362772601,1.0455195383806777,0.9942364575474862,0.4535341262817383,0.6427631261622219,10.64051394575224,11.10480353271882,8.379811144072734,9.553375372072546,1.1400466201234027,0.2438872772482387,0.0133037694013303,0.14861701744899,0.366726497049711,0.218109479600721,0.2431360558689699,0.1425248386679746,-0.1006112172009953,0.3864085378440607,0.1087393596385591,-0.2776691782055015,0.5697774327122154,0.3419095047165785,0.201337141231318
DRIAMS-A,DRIAMS-C,Escherichia coli,Cefepime,0.0043515622414668,0.0015081666073192,-0.0059033328819938,0.017449852999075,0.6666666666666666,0.3333333333333333,0.0063022700119474,-0.004390213571569633,DRIAMS-A->DRIAMS-C|Escherichia coli|Cefepime,4890,622,839,126,0.1715746421267893,0.202572347266881,0.0309977051400916,1.1806660049285438,0.9921129807534242,0.510299563407898,0.6352050586154934,10.800730241159233,11.075490736578056,8.362169704076459,9.637634180136432,1.1525279348777386,0.1715746421267893,0.0080385852090032,0.0316108546478367,0.1373383775218422,0.1057275228740054,0.1713513928012152,0.0469088014001573,-0.1244425914010579,0.3693651909002403,0.089039129337142,-0.2803260615630982,0.6730222734254993,0.4385354621172206,0.1691643233526048
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftazidime,0.0063586823847156665,0.0074861018465884,-0.0141030434874766,0.0256929887950352,0.6666666666666666,0.6666666666666666,-0.0016236731305224333,-0.0007206094907302667,DRIAMS-A->DRIAMS-C|Escherichia coli|Ceftazidime,4822,915,871,146,0.1806304437992534,0.1595628415300546,0.0210676022691987,0.8833662707898089,0.992367858607974,0.4452377259731293,0.6480576985783254,10.65829632380156,11.151797000749514,8.374368254993032,9.592063752784105,1.1454074457574812,0.1806304437992534,0.0054644808743169,0.0413732674838685,0.1353078493344577,0.0939345818505891,0.1803032902995235,0.0447864176025547,-0.1355168726969687,0.3744108973230881,0.0836182484347839,-0.2907926488883042,0.6413307240704501,0.3171627337436288,0.1381273624127524
DRIAMS-A,DRIAMS-C,Escherichia coli,Ceftriaxone,0.016261291229611567,0.0159273054824462,0.0149784343187782,0.0178781338876103,1.0,0.6666666666666666,0.009234245288833466,-0.0017829032465752333,DRIAMS-A->DRIAMS-C|Escherichia coli|Ceftriaxone,4961,916,1086,151,0.2189074783309816,0.1648471615720524,0.0540603167589292,0.7530449065920368,0.9939924423604553,0.4444908499717712,0.6428219507555718,10.641363873344304,11.069067791924208,8.363616211754112,9.52585326474827,1.1389634607289567,0.2189074783309816,0.0447598253275109,0.0470237073433752,0.1893088192897362,0.142285111946361,0.2186334564344066,0.0838950098931371,-0.1347384465412695,0.4025303590102695,0.1530669981356605,-0.249463360874609,0.6613963809569033,0.3540055709806917,0.1323837822371196
