katman,kosul,n_sinif,makro_auroc,detay
1_tur,Escherichia coli,4,0.996,"{""DRIAMS-A"": 0.996640955745732, ""DRIAMS-B"": 0.9938430583501007, ""DRIAMS-C"": 0.9962750371496712, ""DRIAMS-D"": 0.996791913104536}"
1_tur,Staphylococcus aureus,4,0.999,"{""DRIAMS-A"": 0.9992000254934584, ""DRIAMS-B"": 0.9986088174223767, ""DRIAMS-C"": 0.9979538819652878, ""DRIAMS-D"": 0.9985989925058947}"
1_tur,Klebsiella pneumoniae,4,0.997,"{""DRIAMS-A"": 0.9977759087201147, ""DRIAMS-B"": 0.9978376349596619, ""DRIAMS-C"": 0.9970482670168753, ""DRIAMS-D"": 0.9963549159198116}"
1_tur,Pseudomonas aeruginosa,4,0.996,"{""DRIAMS-A"": 0.995778494470005, ""DRIAMS-B"": 0.9972732645604987, ""DRIAMS-C"": 0.9933780040471172, ""DRIAMS-D"": 0.997700026150086}"
2_tur_yil,Escherichia coli | 2018,4,0.997,"{""DRIAMS-A"": 0.9975880391807886, ""DRIAMS-B"": 0.9947015425888664, ""DRIAMS-C"": 0.9976201418073494, ""DRIAMS-D"": 0.9977223105871452}"
2_tur_yil,Staphylococcus aureus | 2018,4,0.998,"{""DRIAMS-A"": 0.998656212506233, ""DRIAMS-B"": 0.9985021005359989, ""DRIAMS-C"": 0.9973737675998245, ""DRIAMS-D"": 0.9989589577932514}"
2_tur_yil,Klebsiella pneumoniae | 2018,4,0.997,"{""DRIAMS-A"": 0.9964347710018866, ""DRIAMS-B"": 0.9979296008159914, ""DRIAMS-C"": 0.9971170510061337, ""DRIAMS-D"": 0.9964328134004026}"
2_tur_yil,Pseudomonas aeruginosa | 2018,4,0.997,"{""DRIAMS-A"": 0.996807690411794, ""DRIAMS-B"": 0.9967038019982107, ""DRIAMS-C"": 0.9966777420760987, ""DRIAMS-D"": 0.9967245640789302}"
3_tur_direnc,Escherichia coli/Ceftriaxone | duyarli,4,0.997,"{""DRIAMS-A"": 0.9979285846387008, ""DRIAMS-B"": 0.9959438775510204, ""DRIAMS-C"": 0.9971408406828667, ""DRIAMS-D"": 0.9979320448947129}"
3_tur_direnc,Escherichia coli/Ceftriaxone | direncli,3,0.993,"{""DRIAMS-A"": 0.993546736590987, ""DRIAMS-C"": 0.9922060943887031, ""DRIAMS-D"": 0.9933812820887922}"
3_tur_direnc,Escherichia coli/Ciprofloxacin | duyarli,4,0.997,"{""DRIAMS-A"": 0.9976012786258425, ""DRIAMS-B"": 0.9953012003378072, ""DRIAMS-C"": 0.9970664627501981, ""DRIAMS-D"": 0.99731638737209}"
3_tur_direnc,Escherichia coli/Ciprofloxacin | direncli,3,0.996,"{""DRIAMS-A"": 0.9958426414833834, ""DRIAMS-C"": 0.9942933191795236, ""DRIAMS-D"": 0.996536378147533}"
