model,corank,ic_auroc,ic_prauc,B_auroc,B_prauc,C_auroc,C_prauc
lgbm,0,0.882,0.773,0.675,0.131,0.64,0.118
logreg,0,0.888,0.761,0.559,0.085,0.657,0.152
lgbm,2,0.884,0.773,0.703,0.215,0.642,0.1
logreg,2,0.89,0.761,0.567,0.09,0.664,0.153
lgbm,5,0.872,0.759,0.732,0.223,0.695,0.135
logreg,5,0.888,0.766,0.628,0.104,0.675,0.17
lgbm,10,0.875,0.762,0.745,0.228,0.659,0.131
logreg,10,0.891,0.774,0.612,0.104,0.678,0.168
lgbm,20,0.876,0.761,0.703,0.119,0.682,0.112
logreg,20,0.889,0.771,0.598,0.09,0.682,0.147
lgbm,40,0.872,0.75,0.695,0.16,0.651,0.123
logreg,40,0.889,0.751,0.64,0.099,0.669,0.137
